"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"1","2020_September_ABCO_1.1","2020_September",8.3774,"ABCO","HP",162.1785962,80.3368434214825,-0.42,-0.42,1.621785962,2.018732493,10.2444,1,1.1
"2","2020_September_ABCO_1.1","2020_September",7.7641,"ABCO","HP",200.409667924244,99.2749998423113,-0.42,-1.61,2.00409667924244,2.018732493,9.3392,1,1.1
"3","2020_September_ABCO_1.1","2020_September",7.7115,"ABCO","HP",189.954213183078,94.095782299908,-0.42,-2.14,1.89954213183078,2.018732493,8.8744,1,1.1
"4","2020_September_ABCO_1.1","2020_September",6.7417,"ABCO","HP",201.8732493,100,-0.42,-2.12,2.018732493,2.018732493,7.8948,1,1.1
"5","2020_September_ABCO_1.1","2020_September",6.958,"ABCO","HP",198.9374419,98.5457174686691,-0.42,-2.38,1.989374419,2.018732493,8.4558,1,1.1
"6","2020_September_ABCO_1.1","2020_September",7.5939,"ABCO","HP",187.0168753,92.6407416279696,-0.42,-2.38,1.870168753,2.018732493,8.281,1,1.1
"7","2020_September_ABCO_1.1","2020_September",7.5866,"ABCO","HP",162.739726,80.6148048660749,-0.42,-2.65,1.62739726,2.018732493,8.1806,1,1.1
"8","2020_September_ABCO_1.1","2020_September",7.4801,"ABCO","HP",166.3409338,82.3987003611379,-0.42,-2.79,1.663409338,2.018732493,7.9397,1,1.1
"9","2020_September_ABCO_1.1","2020_September",6.5752,"ABCO","HP",135.3348159,67.0394994727021,-0.42,-3.59,1.353348159,2.018732493,7.1229,1,1.1
"10","2020_September_ABCO_1.2","2020_September",7.7115,"ABCO","HP",218.778619133757,100,-0.32,-0.32,2.18778619133757,2.18778619133757,8.7257,1,1.2
"11","2020_September_ABCO_1.2","2020_September",7.565,"ABCO","HP",210.1469365,96.0546041162827,-0.32,-0.701,2.101469365,2.18778619133757,8.323,1,1.2
"12","2020_September_ABCO_1.2","2020_September",7.5097,"ABCO","HP",188.1926121,86.0196544091646,-0.32,-2.37,1.881926121,2.18778619133757,8.0803,1,1.2
"13","2020_September_ABCO_1.2","2020_September",6.4748,"ABCO","HP",175.3819444,80.1641152569736,-0.32,-2.79,1.753819444,2.18778619133757,6.9799,1,1.2
"14","2020_September_ABCO_1.2","2020_September",6.781,"ABCO","HP",174.0766551,79.5674896336982,-0.32,-2.58,1.740766551,2.18778619133757,7.7802,1,1.2
"15","2020_September_ABCO_1.2","2020_September",7.7234,"ABCO","HP",104.6282723,47.8238105324325,-0.32,-3.04,1.046282723,2.18778619133757,8.223,1,1.2
"16","2020_September_ABCO_1.2","2020_September",7.5703,"ABCO","HP",145.0300382,66.2907731908352,-0.32,-3.1,1.450300382,2.18778619133757,8.1014,1,1.2
"17","2020_September_ABCO_1.3","2020_September",7.6756,"ABCO","HP",203.970079649871,98.7055209096955,-1.16,-1.16,2.03970079649871,2.066450567,8.7654,1,1.3
"18","2020_September_ABCO_1.3","2020_September",7.8601,"ABCO","HP",186.206533591727,90.1093578357672,-1.16,-1.84,1.86206533591727,2.066450567,9.3455,1,1.3
"19","2020_September_ABCO_1.3","2020_September",7.4817,"ABCO","HP",182.586680960636,88.3576330721082,-1.16,-2.01,1.82586680960636,2.066450567,8.3163,1,1.3
"20","2020_September_ABCO_1.3","2020_September",6.5943,"ABCO","HP",206.6450567,100,-1.16,-2.56,2.066450567,2.066450567,7.3593,1,1.3
"21","2020_September_ABCO_1.3","2020_September",6.665,"ABCO","HP",169.1472868,81.8540203676694,-1.16,-3.14,1.691472868,2.066450567,7.5378,1,1.3
"22","2020_September_ABCO_1.3","2020_September",7.864,"ABCO","HP",191.0258443,92.4415262337122,-1.16,-3.03,1.910258443,2.066450567,9.0688,1,1.3
"23","2020_September_ABCO_1.3","2020_September",7.8285,"ABCO","HP",137.8303199,66.6990646188538,-1.16,-2.84,1.378303199,2.066450567,8.6213,1,1.3
"24","2020_September_ABCO_1.3","2020_September",7.3407,"ABCO","HP",124.056010199126,60.0333790608046,-1.16,-3.78,1.24056010199126,2.066450567,8.7817,1,1.3
"25","2020_September_ABCO_1.3","2020_September",6.6653,"ABCO","HP",175.3002493,84.8315716327513,-1.16,-3.67,1.753002493,2.066450567,7.4389,1,1.3
"26","2020_September_ABCO_1.4","2020_September",7.9639,"ABCO","HP",203.766154818024,100,-0.2,-0.2,2.03766154818024,2.03766154818024,9.5368,1,1.4
"27","2020_September_ABCO_1.4","2020_September",7.6335,"ABCO","HP",187.524462072383,92.0292490378761,-0.2,-1.64,1.87524462072383,2.03766154818024,8.4121,1,1.4
