"","hydration","ambient.humidity","ambient.temp","bins10lfm","bins20lfm","bins5lfm","bottle.wt","dry.wt","dw.flam.sample","fd","fh","fresh.wt","gd","gdw.gfw","gdw.gww","gdw.gww.saturated","glow","gr","gti","gww.gdw","gww.gdw.saturated","ignition","ignition.temp","ignition.temp.higher","individual","lfm","lfm.NAs.imputed","lfm.notes","lfm.outliers.out","max.mpa.sample","model","model.spp.gr","month","mpa","pfg","prop.ignite","prop.new","prop.new.lfm","ros","round","RWC","RWD","sample","sample.length","sample.wt","site","spp","start.temp","temp.change","temp.max","temp.max.higher","temp.start.higher","ttfg","tti","ttms","video.notes...56","video.notes...57","water.wt","ww.flam.sample","year","year.month","fh_nas_imputed","flam.index","mean.wt","dry.norm.fh","dry.norm.gd","dry.norm.fd","dry.norm.pfg","dry.norm.ttfg","dry.norm.tti","dry.norm.gti","ignition_num"
"1","hydrated",54,24,"(180,190]","(180,200]","(185,190]",7.2265,7.5939,3.5302785690134,NA,NA,8.281,NA,0.917026929114841,11.0521030417697,4.48709159078736,0,"(180,190]",0,1.870168753,2.018732493,0,NA,NA,"2020_September_ABCO_1.1",187.0168753,187.0168753,NA,187.0168753,-0.42,"HP","2020_September_HP_ABCO_(180,190]","September",2.38,NA,90,50,100,NA,6,92.6407416279696,7.35925837203037,1.1,10,3.8497,1,"ABCO",262.7,NA,NA,NA,223.6,NA,NA,NA,"NOGORI",NA,0.687100000000001,0.319421430986596,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2","hydrated",69,21,"(210,220]","(200,220]","(210,215]",7.2043,7.565,2.55263078216989,16,17,8.323,339,0.908927069566262,9.9802110817942,6.78642914331465,1,"(210,220]",313,2.101469365,2.101469365,2,239.7,225.7,"2020_September_ABCO_1.2",210.1469365,210.1469365,NA,210.1469365,-0.32,"HP","2020_September_HP_ABCO_(210,220]","September",0.701,10,100,60,100,0.625,2,100,0,1.2,10,2.8084,1,"ABCO",220.3,20.8,241.1,236.8,206.8,202,515,515,"gpe",NA,0.758,0.255769217830109,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"3","hydrated",51,26,"(170,180]","(160,180]","(170,175]",6.207,6.781,2.50306597516773,10,40,7.7802,NA,0.871571424899103,6.78642914331465,6.78642914331465,0,"(170,180]",NA,1.740766551,2.101469365,2,264.8,225.1,"2020_September_ABCO_1.2",174.0766551,174.0766551,NA,174.0766551,-0.32,"HP","2020_September_HP_ABCO_(170,180]","September",2.58,87,100,90,100,1,5,82.8356853539,17.1643146461,1.2,10,2.8719,1,"ABCO",269.7,-5.39999999999998,264.3,233.7,220.1,NA,418,421,NA,NA,0.9992,0.368834024832267,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"4","hydrated",50,26,"(120,130]","(120,140]","(125,130]",6.1659,6.6548,1.96271567244077,12,36,7.2854,221,0.913443325006177,10.5531240088804,5.11752028397566,1,"(120,130]",150,1.289834322,2.050323019,3,261.4,233.6,"2020_September_ABCO_1.5",128.9834322,128.9834322,NA,128.9834322,-0.16,"HP","2020_September_HP_ABCO_(120,130]","September",3.53,59,100,45,90,0.833333333333333,5,62.9088348541826,37.0911651458174,1.5,10,2.1487,1,"ABCO",265.9,-8.69999999999999,257.2,239.4,226.1,244,394,402,NA,NA,0.6306,0.185984327559228,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"5","hydrated",56,23,"(130,140]","(120,140]","(130,135]",6.1875,6.7118,4.78112105788423,20,NA,7.4148,234,0.905189620758483,9.54736842105264,4.99425412757291,1,"(130,140]",11,1.3408354,1.986086394,2,287.2,218.2,"2020_September_ABCO_1.6",134.08354,134.08354,NA,134.08354,-0.76,"HP","2020_September_HP_ABCO_(130,140]","September",2.57,203,100,75,40,0.5,4,67.5114337448102,32.4885662551898,1.6,10,5.2819,1,"ABCO",278.9,133.7,412.6,273.7,227,53,64,75,"2nd ignition:10:44:50 to10:45:12 w max temps332.2 and250","Missing lower",0.702999999999999,0.500778942115768,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"6","hydrated",52,25,"(140,150]","(140,160]","(140,145]",7.266,7.482,3.09246652461878,10,NA,7.7908,105,0.960363505673358,24.229274611399,4.99425412757291,1,"(140,150]",26,1.42962963,1.986086394,2,282.4,229.3,"2020_September_ABCO_1.6",142.962963,142.962963,NA,142.962963,-0.76,"HP","2020_September_HP_ABCO_(140,150]","September",3.59,69,100,100,50,1,6,71.982247817564,28.017752182436,1.6,10,3.2201,1,"ABCO",261,40.1,301.1,298.4,223,72,98,102,"2nd ignition:15:29:26 to15:29:29",NA,0.3088,0.127633475381219,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"7","hydrated",51,25,"(160,170]","(160,180]","(160,165]",7.2069,7.6794,3.16643716113167,12,NA,8.4583,NA,0.907912937587931,9.85928874053153,2.76384436482494,0,"(160,170]",NA,1.648465608,2.005041275,3,268.4,243.5,"2020_September_ABCO_2.1",164.8465608,164.8465608,NA,164.8465608,-0.507,"HP","2020_September_HP_ABCO_(160,170]","September",3.01,76,100,100,60,0.833333333333333,6,82.2160435575073,17.7839564424927,2.1,10,3.4876,2,"ABCO",245.1,25.3,270.4,241.8,209.8,NA,505,507,NA,NA,0.778899999999999,0.32116283886833,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"8","hydrated",50,26,"(150,160]","(140,160]","(155,160]",6.1884,6.6953,3.94158790322581,8,40,7.4896,207,0.893946272164067,8.42918292836459,6.93249696479158,1,"(150,160]",111,1.566975735,2.043324143,2,289.3,245.5,"2020_September_ABCO_2.2",156.6975735,156.6975735,NA,156.6975735,-0.376,"HP","2020_September_HP_ABCO_(150,160]","September",3.23,88,100,80,100,1.25,5,76.687575016824,23.312424983176,2.2,10,4.4092,2,"ABCO",269.4,28.4,297.8,305.5,221.6,19,130,131,"2nd ignition recorded;1st ignition:19:55:30 to19:56:03 (very little burned)",NA,0.794300000000001,0.467612096774194,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"9","hydrated",60,22,"(130,140]","(120,140]","(130,135]",7.2035,7.6984,3.21311609138941,9,35,8.3467,153,0.922328584949741,11.8747493444393,6.93249696479158,0,"(130,140]",0,1.309961608,2.043324143,2,245.3,205.7,"2020_September_ABCO_2.2",130.9961608,130.9961608,NA,130.9961608,-0.376,"HP","2020_September_HP_ABCO_(130,140]","September",2.58,144,100,55,100,1.11111111111111,6,64.1093393080904,35.8906606919096,2.2,10,3.4837,2,"ABCO",236.5,11.6,248.1,212,210.5,60,60,NA,"2nd ignition:10:20:37 to10:21:27 w/ max temps of251.2 and217.8; whole sample not engulfed","B0192 flame  continues",0.6483,0.270583908610588,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"10","hydrated",59,24,"(180,190]","(180,200]","(180,185]",7.2093,7.8117,3.47553511688199,3,NA,9.1802,393,0.850929173656347,5.70822067957618,5.65794622798754,1,"(180,190]",372,1.81633649837399,2.047480971,3,252.9,236.4,"2020_September_ABCO_2.3",227.1746348,181.633649837399,NA,NA,-0.35,"HP","2020_September_HP_ABCO_(180,190]","September",1.45,18,90,95,100,3.33333333333333,2,88.7107877484635,11.2892122515365,2.3,10,4.0844,2,"ABCO",245,8.09999999999999,253.1,235.1,222.7,139,511,511,NA,NA,1.3685,0.608864883118014,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
