hydration,bins10lfm,bins20lfm,bins5lfm,bottle_wt,dry_wt,dw_flam_sample,fd,fh,fh_old,fresh_wt,gd,gdw_gfw,gdw_gww,gdw_gww_saturated,glow_pre_ignition,gr,gti,gww_gdw,gww_gdw_saturated,ignition,ignition_num,ignition2,individual,lfm,lfm_NAs_imputed,lfm_notes,lfm_outliers_out,max_mpa_sample,model,model_spp_gr,model_spp_gr_sample,month,mpa,n,notes_flam,pfg,prop_ignite,prop_new,prop_new_flam,prop_new_lfm,ros,round,RWC,RWD,sample,sample_length,sample_wt,site,spp,start_temp,surface_temp_max_within_5_secs_of_flame_end,surface_temp_start,taller_temp_max,taller_temp_start,temp_at_ignition_lower,temp_at_ignition_taller,temp_change,total,ttfg,tti,water_wt,ww_flam_sample,year,year_month,flam_index,mean_wt,dry_norm_fh,dry_norm_gd,dry_norm_fd,dry_norm_pfg,dry_norm_ttfg,dry_norm_tti,dry_norm_gti
hydrated,"(90,100]","(80,100]","(90,95]",12.0823,15.9035,6.4206865728669165,30,60,above 56,19.3675,90,0.8211436685168452,4.591079676674364,1,NA,"(90,100]",NA,0.9065215115670473,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,90.65215115670473,90.65215115670473,NA,90.65215115670473,1,HP,"2021_August_HP_PIJE_(90,100]","2021_August_HP_PIJE_(90,100]_1.1",August,3.61,23,NA,60,65,NA,50,50,0.3333333333333333,10,51.90492688871593,48.09507311128407,1.1,14,7.8192,1,PIJE,NA,448.7,232,202.8,158.3,243.9,153.8,44.5,15,262,262,3.4640000000000004,1.398513427133084,2021,2021_August,2.0623696323540543,8.467408333333333,9.344795033844683,14.017192550767025,4.6723975169223415,9.344795033844683,40.80560498112178,40.80560498112178,NA
dry,"(10,20]","(0,20]","(10,15]",12.1982,14.0148,1.1345421925512444,11,34,34,14.2601,29,0.9827981570956725,57.13330615572761,1,NA,"(10,20]",NA,0.135032478256083,1.4494177073102295,1,1,1,2021_August_QUKE_1.1,13.5032478256083,13.5032478256083,NA,13.5032478256083,1,HP,"2021_August_HP_QUKE_(10,20]","2021_August_HP_QUKE_(10,20]_1.1",August,10,3,sample being scorched by pilot flame,18,33,NA,NA,NA,0.9090909090909091,10,9.316325968355306,90.6836740316447,1.1,NA,1.1544,1,QUKE,NA,324.7,257.2,263.7,220.8,257.1,217.1,42.89999999999998,1,3,3,0.2453000000000003,0.01985780744875565,2021,2021_August,20.798360997997285,1.815675,29.968034880698635,25.56097092765472,9.695540696696616,15.8654302309581,2.6442383718263502,2.6442383718263502,NA
hydrated,"(110,120]","(100,120]","(110,115]",12.1071,14.8906,7.908637937184352,24,47,47,17.9987,146,0.8273153061054409,4.790901193655287,1,NA,"(110,120]",NA,1.1166157715106888,1.5801950858130633,1,1,1,2021_August_ABCO_1.1,111.66157715106888,111.66157715106888,NA,111.66157715106888,1,HP,"2021_August_HP_ABCO_(110,120]","2021_August_HP_ABCO_(110,120]_1.1",August,3.35,20,NA,122,70,NA,10,10,0.4166666666666667,11,70.6631593488441,29.336840651155896,1.1,NA,9.5594,1,ABCO,NA,413.7,266.2,281.1,207.3,289.9,199.2,73.80000000000001,14,172,172,3.1081000000000003,1.650762062815648,2021,2021_August,2.540582422479027,7.1123666666666665,5.942869097473569,18.460827409173216,3.0346565604120355,15.42617084876118,21.748372016286254,21.748372016286254,NA
moderate,"(60,70]","(60,80]","(65,70]",7.2207,9.3211,2.498930634910265,NA,NA,NA,10.7149,NA,0.8699194579510774,6.687544841440663,1,NA,"(60,70]",NA,0.6635878880213297,1.1533327065902022,1,1,1,2021_August_CADE_1.1,66.35878880213298,66.35878880213298,NA,66.35878880213298,1,HP,"2021_August_HP_CADE_(60,70]","2021_August_HP_CADE_(60,70]_1.1",August,4.32,10,NA,NA,70,NA,70,75,NA,11,57.536553349224775,42.463446650775225,1.1,NA,2.8726,1,CADE,NA,283.2,255.6,228.8,207.7,266.6,211.7,21.100000000000023,7,NA,NA,1.3938000000000006,0.3736693650897349,2021,2021_August,NA,4.1872,NA,NA,NA,NA,NA,NA,NA
hydrated,"(100,110]","(100,120]","(100,105]",12.2488,16.0214,9.60108867802698,25,60,above 56,19.8234,164,0.8082064630688984,4.213940031562336,1,NA,"(100,110]",NA,1.007793033981869,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,100.7793033981869,100.7793033981869,NA,100.7793033981869,1,HP,"2021_August_HP_PIJE_(100,110]","2021_August_HP_PIJE_(100,110]_1.1",August,3.47,20,NA,139,70,NA,40,40,0.4,11,57.70345554995389,42.29654445004611,1.1,15.5,11.8795,1,PIJE,NA,505.6,235.5,333.6,191,259.6,204.7,142.60000000000002,14,289,289,3.8019999999999996,2.278411321973021,2021,2021_August,1.94527628785443,8.467408333333333,6.249291305611603,17.08139623533838,2.603871377338168,14.477524858000214,30.10075312202922,30.10075312202922,NA
hydrated,"(90,100]","(80,100]","(90,95]",12.0747,16.3011,10.926924645154928,52,52,52,20.2835,113,0.8036630758991299,4.093285456006431,1,NA,"(90,100]",NA,0.9422676509558954,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,94.22676509558954,94.22676509558954,NA,94.22676509558954,1,HP,"2021_August_HP_PIJE_(90,100]","2021_August_HP_PIJE_(90,100]_1.1",August,3.65,23,NA,61,65,NA,NA,NA,0.19230769230769232,12,53.95165245215533,46.04834754784467,1.1,16,13.5964,1,PIJE,NA,450.7,226.6,283.4,176.9,254.1,186.3,106.49999999999997,15,195,195,3.9823999999999984,2.669475354845071,2021,2021_August,2.3972860983310014,8.467408333333333,4.758887032597699,10.341427590068076,4.758887032597699,5.582540557470377,17.84582637224137,17.84582637224137,NA
hydrated,"(90,100]","(80,100]","(95,100]",12.2142,15.6149,5.237755937595789,13,52,52,18.9218,78,0.8252333287530784,4.721914784239015,1,NA,"(90,100]",NA,0.9724174434675215,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,97.24174434675214,97.24174434675214,NA,97.24174434675214,1,HP,"2021_August_HP_PIJE_(90,100]","2021_August_HP_PIJE_(90,100]_1.1",August,3.66,23,NA,65,65,NA,30,30,0.7692307692307693,13,55.67794659527029,44.32205340472971,1.1,10.5,6.347,1,PIJE,NA,456.5,287.9,266.6,227,271.7,206.3,39.60000000000002,15,194,194,3.3069000000000006,1.109244062404211,2021,2021_August,2.405368298989373,8.467408333333333,9.927915813478855,14.891873720218282,2.4819789533697136,12.409894766848568,37.03876284259419,37.03876284259419,NA
hydrated,"(150,160]","(140,160]","(155,160]",12.1684,14.2638,5.578638428620335,35,34,34,17.526,110,0.8138651146867512,4.372448041199191,1,1,"(150,160]",11,1.5568387897298848,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,155.68387897298848,155.68387897298848,NA,155.68387897298848,1,HP,"2021_August_HP_PIJE_(150,160]","2021_August_HP_PIJE_(150,160]_1.1",August,0.98,4,thermocouple turned off,64,50,NA,NA,75,0.2857142857142857,2,89.14030447965827,10.859695520341731,1.1,12.5,6.8545,1,PIJE,NA,NA,241,NA,191.1,NA,NA,NA,2,188,199,3.2622,1.2758615713796644,2021,2021_August,2.132679937091516,8.467408333333333,6.0946771214940725,19.71807304012788,6.27393233094978,11.472333405165312,33.6999793776731,35.671786681685894,1.9718073040127881
hydrated,"(140,150]","(140,160]","(140,145]",7.2409,8.0951,5.778332853546764,14,60,above 46,9.2958,95,0.8708341401493148,6.741983842758394,1,NA,"(140,150]",NA,1.4056427066260815,1.5801950858130633,1,1,1,2021_August_ABCO_1.1,140.56427066260815,140.56427066260815,NA,140.56427066260815,1,HP,"2021_August_HP_ABCO_(140,150]","2021_August_HP_ABCO_(140,150]_1.1",August,0.93,13,NA,81,69,NA,15,5,0.7142857142857143,3,88.95374496768741,11.046255032312587,1.1,NA,6.6354,1,ABCO,NA,263.5,232.2,222.2,184.6,222.1,176,37.599999999999994,9,169,169,1.2006999999999994,0.857067146453236,2021,2021_August,2.732350008457965,7.1123666666666665,10.38361782208025,16.440728218293728,2.4228441584853915,14.017884059808337,29.247190198859368,29.247190198859368,NA
hydrated,"(170,180]","(160,180]","(170,175]",12.1873,15.2406,5.361678816129722,20,49,49,20.5732,87,0.7407987090000584,2.8580054757529165,1,NA,"(170,180]",NA,1.7465037827923886,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,174.65037827923885,174.65037827923885,NA,174.65037827923885,1,HP,"2021_August_HP_PIJE_(170,180]","2021_August_HP_PIJE_(170,180]_1.1",August,0.26,1,NA,67,100,NA,NA,100,0.5,3,100,0,1.1,10,7.2377,1,PIJE,NA,388.7,221,231.8,188.3,260.5,206.8,43.5,1,210,210,5.332599999999999,1.8760211838702778,2021,2021_August,2.25117200476186,8.467408333333333,9.138928622988685,16.22626102449011,3.7301749481586466,12.496086076331466,39.16683695566579,39.16683695566579,NA
