individual,spp,year_month,month,timing,dry_wt,model,rwc,lfm,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample,location,pos_mpa,water_potential,n,sd_fall_spp,mean_po_fall_spp,tlp,po,swc_sat,rwc_new
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.1385,EPI,65.4221558440297,80.1507040149148,-0.3,-2.1,0.801507040149148,1.22513089,0.3865,St. Marys,1,local,2.1,-2.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,85.68676483000125
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.026,EPI,69.0297125999712,84.5704332340469,-0.3,-1.1,0.845704332340469,1.22513089,0.174,St. Marys,1,local,1.1,-1.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,90.41176759655943
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.2495,EPI,91.9291574633303,112.6252505,-0.3,-4.2,1.126252505,1.22513089,0.5305,St. Marys,1,local,4.2,-4.2,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,120.40434918347908
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.242,EPI,62.3984601269828,76.44628099,-0.3,-0.4,0.7644628099,1.22513089,0.427,St. Marys,1,local,0.4,-0.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,81.72647491779226
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.273,EPI,51.42606680989,63.003663,-0.3,-6.3,0.63003663,1.22513089,0.445,St. Marys,1,local,6.3,-6.3,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,67.35536663414783
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.173,EPI,93.4192975086931,114.4508671,-0.3,-4.7,1.144508671,1.22513089,0.371,St. Marys,1,local,4.7,-4.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,122.35606229937184
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.774,EPI,39.968307606708,48.96640827,-0.3,-7.2,0.4896640827,1.22513089,1.153,St. Marys,1,local,7.2,-7.2,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,52.34854966739344
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.635,EPI,64.9135204320903,79.52755906,-0.3,-4,0.7952755906,1.22513089,1.14,St. Marys,1,local,4,-4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,85.02057885118751
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.084,EPI,54.9602412517995,67.3334892794319,-0.3,-5,0.673334892794319,1.22513089,0.218,St. Marys,1,local,5,-5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,71.98425680698277
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.3915,EPI,51.2886007143286,62.83524904,-0.3,-2.7,0.6283524904,1.22513089,0.6375,St. Marys,1,local,2.7,-2.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,67.17532021332133
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.3,EPI,54.6880341903713,67,-0.3,-0.5,0.67,1.22513089,0.501,St. Marys,1,local,0.5,-0.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,71.62773320795499
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.317,EPI,77.5041117361754,94.95268139,-0.3,-3.4,0.9495268139,1.22513089,0.618,St. Marys,1,local,3.4,-3.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,101.51112432810258
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.353,EPI,17.5734243710074,21.52974504,-0.3,-8.2,0.2152974504,1.22513089,0.429,St. Marys,1,local,8.2,-8.2,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,23.016818414334512
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.216,EPI,72.5546058919468,88.88888889,-0.3,-0.9,0.8888888889,1.22513089,0.408,St. Marys,1,local,0.9,-0.9,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,95.02850176961901
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.191,EPI,100,122.513089,-0.3,-0.5,1.22513089,1.22513089,0.425,St. Marys,1,local,0.5,-0.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,130.9751470652902
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.144,EPI,71.9157580047243,88.1062166093525,-0.3,-0.3,0.881062166093525,1.22513089,0.373,St. Marys,1,local,0.3,-0.3,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,94.19176980980586
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.587,EPI,31.8430670211899,39.01192504,-0.3,-9.1,0.3901192504,1.22513089,0.816,St. Marys,1,local,9.1,-9.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,41.70650386110237
2016_December_ADFA_1,ADFA,2016_December,12,fall,0.409,EPI,53.0854909878242,65.03667482,-0.3,-3.1,0.6503667482,1.22513089,0.675,St. Marys,1,local,3.1,-3.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9353918796436095,69.52879989163408
