lfm,water_potential,mpa,year,month,year_month,plant,F.Group,spp
101.7971612,-2.844,2.844,2020,october,2020_october,1,Gymnosperm,CADE
110.8921645,-2.297,2.297,2020,october,2020_october,1,Gymnosperm,CADE
121.1375212,-1.271,1.271,2020,october,2020_october,1,Gymnosperm,CADE
135.02270030507134,-0.596,0.596,2020,october,2020_october,1,Gymnosperm,CADE
150.9893892,-0.336,0.336,2020,october,2020_october,1,Gymnosperm,CADE
78.23128909408004,-4.764,4.764,2020,october,2020_october,1,Gymnosperm,CADE
71.86846039,-4.22,4.22,2020,october,2020_october,1,Gymnosperm,CADE
87.37652528,-2.875,2.875,2020,october,2020_october,1,Gymnosperm,CADE
82.53697190182314,-4.448,4.448,2020,october,2020_october,1,Gymnosperm,CADE
91.27261187,-2.323,2.323,2020,october,2020_october,1,Gymnosperm,CADE
102.1771109,-0.124,0.124,2020,october,2020_october,9,Angiosperm,ARPA
109.7751873,-1.262,1.262,2020,october,2020_october,9,Angiosperm,ARPA
123.8226559,-0.895,0.895,2020,october,2020_october,9,Angiosperm,ARPA
47.46774194,-5.401,5.401,2020,october,2020_october,9,Angiosperm,ARPA
61.79002731786672,-7.407,7.407,2020,october,2020_october,9,Angiosperm,ARPA
77.61262291,-4.467,4.467,2020,october,2020_october,9,Angiosperm,ARPA
102.5211535,-2.783,2.783,2020,october,2020_october,6,Gymnosperm,CADE
116.957606,-1.784,1.784,2020,october,2020_october,6,Gymnosperm,CADE
127.8839221,-0.2,0.2,2020,october,2020_october,6,Gymnosperm,CADE
129.0838068,-0.673,0.673,2020,october,2020_october,6,Gymnosperm,CADE
120.4025257,-0.612,0.612,2020,october,2020_october,6,Gymnosperm,CADE
48.72182345,-1.949,1.949,2020,october,2020_october,6,Gymnosperm,CADE
56.22597980767147,-6.379,6.379,2020,october,2020_october,6,Gymnosperm,CADE
78.12413793,-3.761,3.761,2020,october,2020_october,6,Gymnosperm,CADE
84.16188209,-3.3,3.3,2020,october,2020_october,6,Gymnosperm,CADE
98.95144746,-2.949,2.949,2020,october,2020_october,6,Gymnosperm,CADE
101.98712570000001,-3.128,3.128,2020,october,2020_october,5,Angiosperm,ARPA
119.9227373,-0.998,0.998,2020,october,2020_october,5,Angiosperm,ARPA
125.0844912,-0.084,0.084,2020,october,2020_october,5,Angiosperm,ARPA
143.8068756,-1.382,1.382,2020,october,2020_october,5,Angiosperm,ARPA
78.99033605692841,-5.2,5.2,2020,october,2020_october,5,Angiosperm,ARPA
99.48361024,-2.108,2.108,2020,october,2020_october,5,Angiosperm,ARPA
137.9838577,-0.296,0.296,2020,september,2020_september,17,Angiosperm,CECO
157.0879459,-0.48,0.48,2020,september,2020_september,17,Angiosperm,CECO
93.15051798,-3.409,3.409,2020,september,2020_september,17,Angiosperm,CECO
141.2172573,-1.6,1.6,2020,september,2020_september,17,Angiosperm,CECO
133.110225,-1.86,1.86,2020,september,2020_september,17,Angiosperm,CECO
113.6588659,-2.15,2.15,2020,september,2020_september,17,Angiosperm,CECO
78.36448136,-4.56,4.56,2020,september,2020_september,17,Angiosperm,CECO
53.2193855756607,-7.589,7.589,2020,september,2020_september,17,Angiosperm,CECO
73.41677564,-3.192,3.192,2020,september,2020_september,17,Angiosperm,CECO
66.62670822,-7.133,7.133,2020,september,2020_september,17,Angiosperm,CECO
25.21434139,-10,10,2020,september,2020_september,17,Angiosperm,CECO
127.4073009,-0.29,0.29,2020,september,2020_september,15,Gymnosperm,CADE
105.1200243,-1.07,1.07,2020,september,2020_september,15,Gymnosperm,CADE
101.9001702,-1.45,1.45,2020,september,2020_september,15,Gymnosperm,CADE
107.8379568,-1.55,1.55,2020,september,2020_september,15,Gymnosperm,CADE
106.1617599,-1.77,1.77,2020,september,2020_september,15,Gymnosperm,CADE
107.7445845,-2.16,2.16,2020,september,2020_september,15,Gymnosperm,CADE
81.75943298,-3.78,3.78,2020,september,2020_september,15,Gymnosperm,CADE
83.14913162,-4.21,4.21,2020,september,2020_september,15,Gymnosperm,CADE
150.1568803,-0.43,0.43,2020,september,2020_september,22,Gymnosperm,CADE
130.6248827,-1.56,1.56,2020,september,2020_september,22,Gymnosperm,CADE
130.6775669,-1.78,1.78,2020,september,2020_september,22,Gymnosperm,CADE
118.1771808,-2.06,2.06,2020,september,2020_september,22,Gymnosperm,CADE
120.6222409,-2.05,2.05,2020,september,2020_september,22,Gymnosperm,CADE
101.5923567,-3.39,3.39,2020,september,2020_september,22,Gymnosperm,CADE
113.9964264,-3.51,3.51,2020,september,2020_september,22,Gymnosperm,CADE
95.55095706,-3.26,3.26,2020,september,2020_september,22,Gymnosperm,CADE
121.31302595392869,-3.487,3.487,2020,october,2020_october,4,Gymnosperm,PIJE
122.634041,-3.987,3.987,2020,october,2020_october,4,Gymnosperm,PIJE
127.30791151793596,-3.034,3.034,2020,october,2020_october,4,Gymnosperm,PIJE
144.3765621,-0.298,0.298,2020,october,2020_october,4,Gymnosperm,PIJE
141.8796592,-2.291,2.291,2020,october,2020_october,4,Gymnosperm,PIJE
112.1722846,-0.109,0.109,2020,october,2020_october,2,Angiosperm,ARPA
110.7378401,-1.859,1.859,2020,october,2020_october,2,Angiosperm,ARPA
145.1628825,-2.006,2.006,2020,october,2020_october,2,Angiosperm,ARPA
72.67358626,-5.802,5.802,2020,october,2020_october,2,Angiosperm,ARPA
82.86189684,-4.9,4.9,2020,october,2020_october,2,Angiosperm,ARPA
201.721319155212,-0.35,0.35,2020,september,2020_september,20,Gymnosperm,ABCO
NA,-1.45,NA,2020,september,2020_september,33,Gymnosperm,ABCO
204.7480971,-1.87,1.87,2020,september,2020_september,20,Gymnosperm,ABCO
179.6232339,-2.83,2.83,2020,september,2020_september,20,Gymnosperm,ABCO
202.7293578,-2.24,2.24,2020,september,2020_september,20,Gymnosperm,ABCO
181.5919108,-2.63,2.63,2020,september,2020_september,20,Gymnosperm,ABCO
132.9230027,-2.94,2.94,2020,september,2020_september,20,Gymnosperm,ABCO
118.0126404,-3.3,3.3,2020,september,2020_september,20,Gymnosperm,ABCO
105.6876457,-3.201,3.201,2020,october,2020_october,2,Gymnosperm,PIJE
122.9087452,-3.716,3.716,2020,october,2020_october,2,Gymnosperm,PIJE
133.1919406,-3.333,3.333,2020,october,2020_october,2,Gymnosperm,PIJE
138.1393476,-1.466,1.466,2020,october,2020_october,2,Gymnosperm,PIJE
146.9850587,-1.786,1.786,2020,october,2020_october,2,Gymnosperm,PIJE
141.1518325,-2.906,2.906,2020,october,2020_october,2,Gymnosperm,PIJE
169.1558442,-0.512,0.512,2020,october,2020_october,2,Gymnosperm,PIJE
174.4179014,-1.117,1.117,2020,october,2020_october,2,Gymnosperm,PIJE
123.5459286,-0.169,0.169,2020,october,2020_october,10,Angiosperm,CECO
75.3679047,-3.998,3.998,2020,october,2020_october,10,Angiosperm,CECO
80.06003431,-4.574,4.574,2020,october,2020_october,10,Angiosperm,CECO
93.60818153,-0.854,0.854,2020,october,2020_october,10,Angiosperm,CECO
102.1552915,-3.728,3.728,2020,october,2020_october,3,Angiosperm,QUKE
134.3013699,-1.369,1.369,2020,october,2020_october,3,Angiosperm,QUKE
163.2308846,-1.969,1.969,2020,october,2020_october,3,Angiosperm,QUKE
52.40929705,-3.4,3.4,2020,october,2020_october,3,Angiosperm,QUKE
109.1390261,-1.561,1.561,2020,october,2020_october,11,Angiosperm,CECO
100.4243827,-1.648,1.648,2020,october,2020_october,11,Angiosperm,CECO
125.7065217,-0.138,0.138,2020,october,2020_october,11,Angiosperm,CECO
60.05597015,-6.938,6.938,2020,october,2020_october,11,Angiosperm,CECO
70.38404727,-5.245,5.245,2020,october,2020_october,11,Angiosperm,CECO
82.25032708,-3.953,3.953,2020,october,2020_october,11,Angiosperm,CECO
114.66451959205595,-3.04,3.04,2021,august,2021_august,25,Gymnosperm,ABCO
120.08300863967474,-3.18,3.18,2021,august,2021_august,25,Gymnosperm,ABCO
122.82999999999996,-3.15,3.15,2021,august,2021_august,25,Gymnosperm,ABCO
135.9480959833072,-2.54,2.54,2021,august,2021_august,25,Gymnosperm,ABCO
139.5112877314621,-3,3,2021,august,2021_august,25,Gymnosperm,ABCO
147.70755885997505,-2.17,2.17,2021,august,2021_august,25,Gymnosperm,ABCO
142.9897489708612,-1.18,1.18,2021,august,2021_august,25,Gymnosperm,ABCO
142.14936629307616,-0.14,0.14,2021,august,2021_august,25,Gymnosperm,ABCO
134.9680171,-0.5,0.5,2020,september,2020_september,20,Gymnosperm,CADE
143.1248417,-1.19,1.19,2020,september,2020_september,20,Gymnosperm,CADE
129.9940488,-1.5,1.5,2020,september,2020_september,20,Gymnosperm,CADE
136.9347079,-1.68,1.68,2020,september,2020_september,20,Gymnosperm,CADE
139.9946614,-1.86,1.86,2020,september,2020_september,20,Gymnosperm,CADE
109.7335307,-2.04,2.04,2020,september,2020_september,20,Gymnosperm,CADE
96.23590162,-2.59,2.59,2020,september,2020_september,20,Gymnosperm,CADE
108.7252292,-2.58,2.58,2020,september,2020_september,20,Gymnosperm,CADE
90.79559038,-3.33,3.33,2020,september,2020_september,20,Gymnosperm,CADE
123.6203091,-1.777,1.777,2020,october,2020_october,1,Angiosperm,QUKE
75.14688602,-4.251,4.251,2020,october,2020_october,1,Angiosperm,QUKE
72.09042702,-6.166,6.166,2020,october,2020_october,1,Angiosperm,QUKE
104.16333979696591,-0.12,0.12,2021,august,2021_august,31,Angiosperm,ARPA
139.88997201042358,-1.71,1.71,2021,august,2021_august,31,Angiosperm,ARPA
136.22725036891302,-2.34,2.34,2021,august,2021_august,31,Angiosperm,ARPA
158.5608237547891,-0.97,0.97,2021,august,2021_august,31,Angiosperm,ARPA
68.7987382809077,-4.72,4.72,2021,august,2021_august,31,Angiosperm,ARPA
76.29470159071883,-5.85,5.85,2021,august,2021_august,31,Angiosperm,ARPA
86.24066711917001,-3.83,3.83,2021,august,2021_august,31,Angiosperm,ARPA
99.01816776188645,-1.46,1.46,2021,august,2021_august,31,Angiosperm,ARPA
