observation_id,update_datetime,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,observation_date,day_of_year,phenophase_status,intensity_category_id,intensity_value,abundance_value
5684717,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,392,Unripe seed cones,2015-04-06,96,1,61,11 to 100,-9999
5684725,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,392,Unripe seed cones,2015-04-13,103,1,61,11 to 100,-9999
5684733,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,392,Unripe seed cones,2015-04-20,110,1,61,11 to 100,-9999
5684718,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,393,Ripe seed cones,2015-04-06,96,1,62,3 to 10,-9999
5684726,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,393,Ripe seed cones,2015-04-13,103,1,62,3 to 10,-9999
5684734,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,393,Ripe seed cones,2015-04-20,110,1,62,3 to 10,-9999
5684712,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,480,Breaking needle buds (conifers),2015-04-06,96,1,39,Less than 3,-9999
5684720,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,480,Breaking needle buds (conifers),2015-04-13,103,1,39,Less than 3,-9999
5684728,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,480,Breaking needle buds (conifers),2015-04-20,110,1,39,Less than 3,-9999
5684713,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,485,Young needles (conifers),2015-04-06,96,1,44,3 to 10,-9999
5684721,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,485,Young needles (conifers),2015-04-13,103,1,44,3 to 10,-9999
5684729,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,485,Young needles (conifers),2015-04-20,110,1,44,3 to 10,-9999
5684714,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,490,Pollen cones (conifers),2015-04-06,96,1,54,3 to 10,-9999
5684722,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,490,Pollen cones (conifers),2015-04-13,103,1,54,3 to 10,-9999
5684730,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,490,Pollen cones (conifers),2015-04-20,110,1,54,3 to 10,-9999
5684719,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,491,Recent cone or seed drop,2015-04-06,96,1,63,3 to 10,-9999
5684727,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,491,Recent cone or seed drop,2015-04-13,103,1,63,3 to 10,-9999
5684735,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,491,Recent cone or seed drop,2015-04-20,110,1,63,3 to 10,-9999
5684715,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,495,Open pollen cones (conifers),2015-04-06,96,1,55,5-24%,-9999
5684723,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,495,Open pollen cones (conifers),2015-04-13,103,1,55,5-24%,-9999
5684731,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,495,Open pollen cones (conifers),2015-04-20,110,1,55,5-24%,-9999
5684716,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,503,Pollen release (conifers),2015-04-06,96,1,51,Some,-9999
5684724,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,503,Pollen release (conifers),2015-04-13,103,1,51,Some,-9999
5684732,-9999,20286,34.260235,-117.713882,2172,CA,40,Abies,concolor,white fir,Plantae,85311,503,Pollen release (conifers),2015-04-20,110,1,51,Some,-9999
6148929,2015-08-27 08:53:41,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,371,Breaking leaf buds,2015-08-06,218,1,39,-9999,-9999
6148964,2015-08-27 08:53:41,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,371,Breaking leaf buds,2015-08-11,223,1,39,-9999,-9999
6218155,2015-09-03 08:41:54,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,371,Breaking leaf buds,2015-08-24,236,1,39,-9999,-9999
6254951,-9999,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,371,Breaking leaf buds,2015-09-02,245,1,39,-9999,-9999
6148934,2015-08-27 08:53:41,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,390,Ripe fruits,2015-08-06,218,0,58,-9999,-9999
6148969,2015-08-27 08:53:41,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,390,Ripe fruits,2015-08-11,223,0,58,-9999,-9999
6218160,2015-09-03 08:41:54,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,390,Ripe fruits,2015-08-24,236,0,58,-9999,-9999
6254956,-9999,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,390,Ripe fruits,2015-09-02,245,0,58,-9999,-9999
6148930,2015-08-27 08:53:41,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,484,Young leaves (tree/shrub),2015-08-06,218,1,43,-9999,-9999
6148965,2015-08-27 08:53:41,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,484,Young leaves (tree/shrub),2015-08-11,223,1,43,-9999,-9999
6218156,2015-09-03 08:41:54,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,484,Young leaves (tree/shrub),2015-08-24,236,1,43,-9999,-9999
6254952,-9999,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,484,Young leaves (tree/shrub),2015-09-02,245,1,43,-9999,-9999
6148931,2015-08-27 08:53:41,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,500,Flowers or flower buds,2015-08-06,218,1,48,-9999,-9999
6148966,2015-08-27 08:53:41,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,500,Flowers or flower buds,2015-08-11,223,1,48,-9999,-9999
6218157,2015-09-03 08:41:54,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,500,Flowers or flower buds,2015-08-24,236,1,48,-9999,-9999
6254953,-9999,5977,40.544441,-121.577263,144,CA,761,Arctostaphylos,patula,greenleaf manzanita,Plantae,14531,500,Flowers or flower buds,2015-09-02,245,1,48,-9999,-9999
