flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,abco,lfm,189.33844339767043,14.211880544391017,NA
 fh,random,abco,lfm,200.29676839,27.69215818574181,NA
 gd,random,abco,lfm,200.43007067500002,17.75271737546937,NA
 prop ignite,random,abco,lfm,125.36159712780959,10.065608616462276,NA
 temp change,random,abco,lfm,107.99992619300497,16.8042512429162,NA
 tti,random,abco,lfm,200.36752318482436,28.124054697517845,NA
 fd,segmented,abco,lfm,187.69816030659427,16.386211652510163,0.5752850584095128
 fh,segmented,abco,lfm,200.29676839,24.276451336337722,0.9302146667840265
 gd,segmented,abco,lfm,135.94793172328679,34.505342081001935,0.8559921765052443
 lfm temp change,segmented,abco,lfm,NA,NA,0.8533104721135967
 prop ignite,segmented,abco,lfm,125.37489956986136,9.809783768923264,0.03964288138376375
 temp change,segmented,abco,lfm,118.44293338315333,8.507429583238393,NA
 tti,segmented,abco,lfm,176.29800631743817,35.66620852872691,1
 fd,random,abco,mpa,0.1956017377112939,0.07560613291624076,NA
 fh,random,abco,mpa,1.46810236517252,0.5224895345843078,NA
 gd,random,abco,mpa,0.194,0.2553053134471596,NA
 prop ignite,random,abco,mpa,0.1956,0.05620369918043034,NA
 temp change,random,abco,mpa,0.19519999999999998,0.05887167969782387,NA
 tti,random,abco,mpa,3.224510043026791,0.38131238943135887,NA
 fd,segmented,abco,mpa,0.26099988328177937,0.18654345678590228,0.8100885340532361
 fh,segmented,abco,mpa,1.6100000265580818,0.621799236902486,0.5617273476949828
 gd,segmented,abco,mpa,0.6499862908661426,0.9933649807716459,0.838609980029398
 prop ignite,segmented,abco,mpa,1.6599953950456259,0.5201205588320091,0.4241325840008995
 temp change,segmented,abco,mpa,2.636999887043294,0.40972476615484316,0.20741515633070332
 tti,segmented,abco,mpa,3.2100000218682063,0.3487378268331158,0.4745644479179828
