flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,arpa,lfm,36.646785406132835,5.380039969635201,NA
 fh,random,arpa,lfm,156.378726023746,14.072405999011957,NA
 gd,random,arpa,lfm,61.58783091718586,22.079610412205046,NA
 prop ignite,random,arpa,lfm,56.58802178,3.6527675536393973,NA
 temp change,random,arpa,lfm,145.4901561240171,9.07939411023932,NA
 tti,random,arpa,lfm,58.578958928177414,28.741999384018264,NA
 fd,segmented,arpa,lfm,110.07097563557672,12.41726726107298,0.009028096308968201
 fh,segmented,arpa,lfm,155.41225563597766,15.056230540232244,0.9588909323560242
 gd,segmented,arpa,lfm,68.45855166939573,22.976479464166975,0.8252058982065213
 lfm temp change,segmented,arpa,lfm,NA,NA,0.5621222478081761
 prop ignite,segmented,arpa,lfm,56.58802178,3.663552181787906,0.15493719964549899
 temp change,segmented,arpa,lfm,145.16288233054416,12.437985341241014,NA
 tti,segmented,arpa,lfm,58.578958928177414,28.92873370728772,0.45168662502094237
 fd,random,arpa,mpa,0.1264,0.05064955201531806,NA
 fh,random,arpa,mpa,0.11905000000000002,0.12203984326587614,NA
 gd,random,arpa,mpa,0.12460022102464131,0.05085689333438732,NA
 prop ignite,random,arpa,mpa,5.96,0.7507636777953673,NA
 temp change,random,arpa,mpa,2.1994489042699574,0.6031309841789436,NA
 tti,random,arpa,mpa,0.12654184741470376,0.06450404663883763,NA
 fd,segmented,arpa,mpa,5.9552000000000005,3.1343478835826306,0.1427546926500518
 fh,segmented,arpa,mpa,2.570000020721513,1.4366028185246242,1
 gd,segmented,arpa,mpa,0.16999968280750008,0.08679517028043054,1
 prop ignite,segmented,arpa,mpa,5.96,0.7698764082194697,5.8685502441079e-4
 temp change,segmented,arpa,mpa,2.2499999920032066,1.4861913050495201,0.6938224974299971
 tti,segmented,arpa,mpa,0.5600002798224741,0.42249535163667973,0.9182893158890375
