flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,cade,lfm,128.28147437682495,12.188529029792722,NA
 fh,random,cade,lfm,146.349703975,51.31952210546111,NA
 gd,random,cade,lfm,142.11172888000002,43.797036868686014,NA
 prop ignite,random,cade,lfm,108.39086390885988,3.5734988422447223,NA
 temp change,random,cade,lfm,63.70137445848303,11.867475643485234,NA
 tti,random,cade,lfm,142.11172888000002,22.682670475262963,NA
 fd,segmented,cade,lfm,115.36290276746436,14.122610511418484,0.8807315351417124
 fh,segmented,cade,lfm,88.80044923934982,23.128072848911977,0.41387818563806655
 gd,segmented,cade,lfm,133.21192008826756,28.919791100686826,0.9578475911704354
 prop ignite,segmented,cade,lfm,108.35947803238314,3.574803048409714,1.0727722139157224e-4
 temp change,segmented,cade,lfm,64.41097612904596,14.753203713588041,1
 tti,segmented,cade,lfm,127.29071623021159,17.933148029359586,0.7770083905819936
 fd,random,cade,mpa,0.30820000000000003,0.16967893703314835,NA
 fh,random,cade,mpa,0.3180304536308377,0.06371463227571367,NA
 gd,random,cade,mpa,0.30820000000000003,0.2808035468325052,NA
 prop ignite,random,cade,mpa,1.613513196973386,0.3689392350212005,NA
 temp change,random,cade,mpa,0.7035383614683979,0.45859454657236487,NA
 tti,random,cade,mpa,0.30820000000000003,0.11434043296927161,NA
 fd,segmented,cade,mpa,0.30820000000000003,0.23210995863090408,0.820215364663071
 fh,segmented,cade,mpa,0.33599921535604743,0.07969754841784632,0.06597643871305614
 gd,segmented,cade,mpa,4.194010886986929,0.9873741792860767,0.9855983452559436
 prop ignite,segmented,cade,mpa,1.74521272680275,0.390241901118405,0.010172184267060748
 temp change,segmented,cade,mpa,3.299996574543007,1.9822887892850192,1
 tti,segmented,cade,mpa,2.296999217336982,1.3033618949866805,0.5250768786066464
