flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,ceco,lfm,136.75278395999996,10.641640343350595,NA
 fh,random,ceco,lfm,136.75278395999996,139.68394486306423,NA
 gd,random,ceco,lfm,137.06055239499995,7.380502589816094,NA
 prop ignite,random,ceco,lfm,130.64261132448195,3.80748959571232,NA
 temp change,random,ceco,lfm,51.858785440000005,8.4407171909302825,NA
 tti,random,ceco,lfm,136.75278395999996,34.84905090655452,NA
 fd,segmented,ceco,lfm,51.81234580407992,13.023853498829274,0.2805559011125957
 fh,segmented,ceco,lfm,128.13506325601077,56.58907630811697,0.768925041199003
 gd,segmented,ceco,lfm,137.06055239499995,8.03133992906752,0.7998764027331763
 lfm temp change,segmented,ceco,lfm,NA,NA,0.171479708220003
 prop ignite,segmented,ceco,lfm,134.74360241385912,2.8887961532544892,6.81816640173808e-4
 temp change,segmented,ceco,lfm,125.7065176486892,11.714168799950556,NA
 tti,segmented,ceco,lfm,112.5228317057978,24.16753096229599,0.8659496782148538
 fd,random,ceco,mpa,0.17180032565542416,0.0966989415836952,NA
 fh,random,ceco,mpa,0.1718,0.1805486867615118,NA
 gd,random,ceco,mpa,0.1711,0.1307444764042069,NA
 prop ignite,random,ceco,mpa,0.9448778976313358,0.3686096962628489,NA
 temp change,random,ceco,mpa,0.16970000000000002,0.05935442746289325,NA
 tti,random,ceco,mpa,0.1718,0.0959428630209092,NA
 fd,segmented,ceco,mpa,7.841251559103991,1.109278945032855,0.9730141918279223
 fh,segmented,ceco,mpa,0.1990002882066104,0.11540113488159782,0.31126586433532283
 gd,segmented,ceco,mpa,6.062690250082995,1.3878412413549197,0.5678175257980684
 prop ignite,segmented,ceco,mpa,0.9448778393601125,0.36860963133130525,0.17117007797020178
 temp change,segmented,ceco,mpa,2.0029997246848406,1.0130967300834615,0.5940083371511193
 tti,segmented,ceco,mpa,0.3109969020280808,0.22539713813539947,0.3986852347354374
