flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,pije,lfm,88.612581928,17.795064118706332,NA
 fh,random,pije,lfm,169.79569469999998,13.80472450011085,NA
 gd,random,pije,lfm,158.19753204479207,13.952548146653909,NA
 prop ignite,random,pije,lfm,97.06291915390186,9.041477775813219,NA
 temp change,random,pije,lfm,155.39103451651923,13.092173372764487,NA
 tti,random,pije,lfm,169.88428564999998,34.135991187089424,NA
 fd,segmented,pije,lfm,158.50534508793146,16.433553943059735,0.13269680248578258
 fh,segmented,pije,lfm,158.50534508793146,16.433553943059735,0.13269680248578258
 gd,segmented,pije,lfm,158.04431127701113,13.81649868552325,0.49311164770874427
 lfm temp change,segmented,pije,lfm,NA,NA,1
 prop ignite,segmented,pije,lfm,95.61188510030127,9.380115836652099,0.6997153172114187
 temp change,segmented,pije,lfm,95.61188542837279,25.97770953278531,NA
 tti,segmented,pije,lfm,104.44667817767649,33.72825511656847,0.24673613494820879
 fd,random,pije,mpa,0.3316,6.72146896861896,NA
 fh,random,pije,mpa,1.3133069577556649,0.44977017426080257,NA
 gd,random,pije,mpa,0.3361,0.9018846880509576,NA
 prop ignite,random,pije,mpa,0.3316,0.7616708641950125,NA
 temp change,random,pije,mpa,0.3279,0.19075095837148776,NA
 tti,random,pije,mpa,1.1600611252125683,0.3670292952504777,NA
 fd,segmented,pije,mpa,1.3299998064806409,0.4472948583794271,1
 fh,segmented,pije,mpa,1.3299998064806409,0.4472948583794271,1
 gd,segmented,pije,mpa,0.5660002742216644,0.3899733641491494,0.605499065373266
 prop ignite,segmented,pije,mpa,4.050014574117971,0.6924864219870628,0.03559653358560989
 temp change,segmented,pije,mpa,2.7730002163304084,0.5847337615393925,0.5113926579677348
 tti,segmented,pije,mpa,1.1799997446707202,0.36682398266389366,0.8473206748553547
