flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,quke,lfm,21.054142788360124,4.351996688175109,NA
 fh,random,quke,lfm,141.20014455999996,8.038145565371158,NA
 gd,random,quke,lfm,21.089892719980018,4.191483951807275,NA
 prop ignite,random,quke,lfm,82.64072269171632,15.127750053005014,NA
 temp change,random,quke,lfm,138.3564098994506,7.476335767389362,NA
 tti,random,quke,lfm,67.92968175560391,20.4355175203157,NA
 fd,segmented,quke,lfm,35.898133099135485,10.329406386644003,0.36388962488466614
 fh,segmented,quke,lfm,86.31357547912408,29.375589024882437,0.4708348198387245
 gd,segmented,quke,lfm,21.089892719980018,4.225639424020237,0.3464989098360486
 prop ignite,segmented,quke,lfm,82.60493953179574,15.014432079293224,0.24185545650735538
 temp change,segmented,quke,lfm,138.10049564147448,8.914669605866507,0.7713256363488901
 tti,segmented,quke,lfm,67.93470180702806,20.56003666914928,0.0025617148256615397
 fd,random,quke,mpa,0.46,0.7253804544593295,NA
 fh,random,quke,mpa,NA,NA,NA
 gd,random,quke,mpa,0.46,1.0335335382109139,NA
 prop ignite,random,quke,mpa,4.959153330516833,1.0031783515879666,NA
 temp change,random,quke,mpa,NA,NA,NA
 tti,random,quke,mpa,0.46,2.0759549423028547,NA
 fd,segmented,quke,mpa,0.4899991815965574,1.3591097221424109,0.39114844881795086
 fh,segmented,quke,mpa,NA,NA,NA
 gd,segmented,quke,mpa,1.8499990711121892,1.5192501888895333,1
 prop ignite,segmented,quke,mpa,4.959999970064554,0.9536048696284614,0.01456966809049958
 temp change,segmented,quke,mpa,NA,NA,NA
 tti,segmented,quke,mpa,6.060011742183379,1.4225238297898877,0.01198532354988444
