model.spp.gr.sample,model.spp.bins5lfm_gr.sample,model.spp.bins5lfm_gr.sample_nodate,model.spp.bins10lfm_gr.sample_nodate,individual,sample,round,year.month.spp,model.spp.gr,model.spp.bins5lfm_gr,model.spp.bins5lfm_gr_nodate,model.spp.bins10lfm_gr_nodate,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,lfm.outliers.out,lfm.NAs.imputed,gr,precip.2month,precip.2mo,season,prop.ignite,ros,bins5lfm_gr,individual.bins5lfm_gr,prop.ignite.bins5,individual.bins5lfm_gr_nodate,prop.ignite.bins5_nodate,bins10lfm_gr,individual.bins10lfm_gr_nodate,prop.ignite.bins10_nodate,hydration,bins5lfm,bins10lfm,bins20lfm,temp.change,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,ww.outs,dw.outs,gww.gdw.saturated,gdw.gww.saturated,RWC,RWD,max.mpa.sample,tti.outs,gti.outs,gd.outs,fd.outs,pfg.outs,fh.outs,temp.max.outs,ignition.temp.outs,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,LFM,PC1...90,PC2...91,PC3...92,PC4...93,PC5...94,PC6...95,PC7...96,PC8...97,PC1...98,PC2...99,PC3...100,PC4...101,PC5...102,PC6...103,PC7...104,PC8...105
"2020_January_EPI_CEME_(230,240]_1","2020_January_EPI_CEME_(230,235]_1","EPI_CEME_(230,235]_1","EPI_CEME_(230,240]_1",2020_January_CEME_1,1,1,2020_January_CEME,"2020_January_EPI_CEME_(230,240]","2020_January_EPI_CEME_(230,235]","EPI_CEME_(230,235]","EPI_CEME_(230,240]",CEME,EPI,0.52,234.1517857,0,10.25,11,39,50,6,100,58,1,268.2,276.9,277.85,100,0.584,1,2020_January,2020,January,0.1792,0.5988,0.4196,St. Marys,NA,180.80913821630568,"(230,240]",2020_January,5.82,Wet,100,3.3333333333333335,"(230,235]","2020_January_EPI_CEME_(230,235]_1",100,"EPI_CEME_(230,235]_1",100,"(230,240]","EPI_CEME_(230,240]_1",100,hydrated,"(230,235]","(230,240]","(220,240]",8.699999999999989,0.29926519706078825,1.8080913821630569,0.4270734032411821,0.17477087508350034,0.40922912491649965,NA,0.17477087508350034,1.8080913821630569,0.40836543753439736,100,0,-0.043,50,39,100,3,58,4.25,276.9,NA,7.900509526851619,0.5233976525821596,58.64821581457925,572.1777152641879,34.33066291585127,331.86307485322897,62.939548679060664,286.08885763209395,223.14930895303328,180.80913821630568,-0.44368278964746954,1.989630962881126,0.5253317417839221,0.08182260187015264,-0.08488554579219035,-1.3635544589475646,-0.04752046490865785,-0.07095277695881014,-0.2799520857352654,2.1553107277258494,-1.122809448849696,0.24987952372170857,0.07229516766494581,-1.0546983999537751,-0.07009170875171522,0.07281143932437159
"2020_January_EPI_CEME_(160,170]_3","2020_January_EPI_CEME_(165,170]_3","EPI_CEME_(165,170]_3","EPI_CEME_(160,170]_3",2020_January_CEME_3,3,1,2020_January_CEME,"2020_January_EPI_CEME_(160,170]","2020_January_EPI_CEME_(165,170]","EPI_CEME_(165,170]","EPI_CEME_(160,170]",CEME,EPI,0.5,169.1558442,0,10.25,23,19,42,6,106,80,1,268.8,336.1,277.85,100,0.552,1,2020_January,2020,January,0.308,0.829,0.521,St. Marys,169.1558442,169.1558442,"(160,170]",2020_January,5.82,Wet,100,1.4285714285714286,"(165,170]","2020_January_EPI_CEME_(165,170]_3",100,"EPI_CEME_(165,170]_3",100,"(160,170]","EPI_CEME_(160,170]_3",100,hydrated,"(165,170]","(160,170]","(160,180]",67.30000000000001,0.37153196622436674,1.6915584419999998,0.5911708253358925,0.20508564535585044,0.3469143546441496,0.3469143546441496,0.20508564535585044,2.0264853273018097,0.34663951120162934,83.47252354658039,16.52747645341961,-0.043,42,19,106,7,80,11,336.1,NA,8.48036343707926,0.5233976525821596,49.97911961227178,516.8572369659325,29.256070016939574,390.0809335591944,112.1482683982684,204.79249011857704,92.64422172030866,169.1558442,0.24942399369785417,0.10388137381565096,-1.188527821130771,0.5802752807456606,-0.28267648599464557,-0.00355991289689269,0.00804473371310765,0.0241533489714891,0.6103875595053554,0.6621919480811252,0.8574842982863667,0.4755292070623476,-0.11532824847878435,0.06351120816999549,0.009786246553827288,-0.018001473469650878
"2020_January_EPI_CEME_(200,210]_1","2020_January_EPI_CEME_(200,205]_1","EPI_CEME_(200,205]_1","EPI_CEME_(200,210]_1",2020_January_CEME_1,1,2,2020_January_CEME,"2020_January_EPI_CEME_(200,210]","2020_January_EPI_CEME_(200,205]","EPI_CEME_(200,205]","EPI_CEME_(200,210]",CEME,EPI,1.72,200.4859611,0,5,18,25,43,6,90,59,1,264.1,268.1,277.85,100,0.549,1,2020_January,2020,January,0.1852,0.5565,0.3713,St. Marys,NA,163.18204201045347,"(200,210]",2020_January,5.82,Wet,100,1.6666666666666667,"(200,205]","2020_January_EPI_CEME_(200,205]_1",100,"EPI_CEME_(200,205]_1",100,"(200,210]","EPI_CEME_(200,210]_1",67,hydrated,"(200,205]","(200,210]","(200,220]",4,0.33279424977538186,1.6318204201045348,0.49878804201454346,0.18270404312668465,0.3662959568733154,0.3662959568733154,0.18270404312668465,1.8080913821630569,0.40836543753439736,90.25099263248268,9.749007367517322,-0.043,43,25,90,6,59,5,268.1,NA,7.457079818810893,0.5233976525821596,27.366663125966316,492.5999362673937,32.83999575115958,322.9266248864025,98.51998725347872,235.3533028833103,136.83331562983156,163.18204201045347,-0.07755209816128314,1.9238971988628728,-0.8264552884375638,-0.5386283154873152,0.9222192215446422,-0.34901224855429525,-0.01679437050267886,0.00620367761994131,0.09698820432182557,2.2898609909206864,0.27490860162994857,-0.5674872015351116,0.9314108041106597,-0.1856234509689671,-0.021014614191248907,-0.007759984331804514
"2020_January_EPI_CEME_(240,250]_2","2020_January_EPI_CEME_(245,250]_2","EPI_CEME_(245,250]_2","EPI_CEME_(240,250]_2",2020_January_CEME_2,2,2,2020_January_CEME,"2020_January_EPI_CEME_(240,250]","2020_January_EPI_CEME_(245,250]","EPI_CEME_(245,250]","EPI_CEME_(240,250]",CEME,EPI,1.19,249.7936726,0,8,24,23,47,4,95,68,1,267,271.1,277.85,100,0.503,1,2020_January,2020,January,0.1818,0.6358,0.454,St. Marys,NA,189.0806373835132,"(240,250]",2020_January,5.82,Wet,100,2.5,"(245,250]","2020_January_EPI_CEME_(245,250]_2",100,"EPI_CEME_(245,250]_2",100,"(240,250]","EPI_CEME_(240,250]_2",100,hydrated,"(245,250]","(240,250]","(240,260]",4.100000000000023,0.2859389745202894,1.890806373835132,0.4004405286343612,0.14382730418370557,0.3591726958162944,0.3591726958162944,NA,1.890806373835132,0.3372372372372372,100,0,-0.043,47,23,95,4,68,8,271.1,NA,7.7309244614087325,0.5233976525821596,55.622262027395585,660.5143615753226,27.811131013697793,472.78922723286246,166.86678608218674,326.78078941094907,159.9140033287623,189.0806373835132,-0.3608744614528232,1.5335599729114966,-1.3570627808916744,-0.6452546057975228,-0.08681967611655754,-0.29634354270719093,-0.00920006656443783,0.00404359304048336,-0.13648636855574817,2.0054175475869847,0.8977929328774841,-0.4394000567663411,-0.04916145589265697,-0.2628573913254211,-0.01169122335267736,-1.2218390614288088e-4
"2020_January_EPI_CEME_(280,290]_3","2020_January_EPI_CEME_(285,290]_3","EPI_CEME_(285,290]_3","EPI_CEME_(280,290]_3",2020_January_CEME_3,3,2,2020_January_CEME,"2020_January_EPI_CEME_(280,290]","2020_January_EPI_CEME_(285,290]","EPI_CEME_(285,290]","EPI_CEME_(280,290]",CEME,EPI,1.49,288.5689098,0,8,15,34,49,1,98,63,1,280.2,272.1,277.85,100,0.476,1,2020_January,2020,January,0.1702,0.6612,0.491,St. Marys,NA,202.648532730181,"(280,290]",2020_January,5.82,Wet,100,10,"(285,290]","2020_January_EPI_CEME_(285,290]_3",100,"EPI_CEME_(285,290]_3",100,"(280,290]","EPI_CEME_(280,290]_3",100,hydrated,"(285,290]","(280,290]","(280,300]",-8.099999999999966,0.2574107683000605,2.0264853273018097,0.34663951120162934,0.12252752571082878,0.35347247428917117,0.35347247428917117,NA,2.0264853273018097,0.34663951120162934,100,0,-0.043,49,34,98,1,63,8,272.1,NA,7.602127239274108,0.5233976525821596,65.2914514807098,799.8202806386951,8.161431435088724,514.1701804105896,122.42147152633088,399.91014031934753,277.48866879301664,202.648532730181,-0.8170370365519689,2.3891288306273775,-0.12315023920381776,-0.14213130279340205,-0.31277045164421974,-0.24073593948561067,-0.01019119813021833,2.0381575223693896e-4,-0.6888193567820585,2.536176383938885,-0.45105544997608077,-0.017160366593831713,-0.2111684505346538,-0.021092077796666137,-0.009633117442230277,0.004724825480870928
"2020_January_EPI_CEME_(230,240]_5","2020_January_EPI_CEME_(230,235]_5","EPI_CEME_(230,235]_5","EPI_CEME_(230,240]_5",2020_January_CEME_5,5,2,2020_January_CEME,"2020_January_EPI_CEME_(230,240]","2020_January_EPI_CEME_(230,235]","EPI_CEME_(230,235]","EPI_CEME_(230,240]",CEME,EPI,1.53,231.4540059,temp probe turned off; no temp data,5,20,39,59,3,130,88,1,263,260.5,277.85,100,0.586,1,2020_January,2020,January,0.1685,0.5585,0.39,St. Marys,NA,173.5944241171194,"(230,240]",2020_January,5.82,Wet,100,3.3333333333333335,"(230,235]","2020_January_EPI_CEME_(230,235]_5",100,"EPI_CEME_(230,235]_5",100,"(230,240]","EPI_CEME_(230,240]_5",100,hydrated,"(230,235]","(230,240]","(220,240]",-2.5,0.3017009847806625,1.7359442411711938,0.43205128205128207,0.1767967770814682,0.4092032229185318,NA,0.1767967770814682,2.309701596226629,0.12536687631027257,75.15881029857773,24.841189701422262,-0.043,59,39,130,3,88,5,260.5,NA,6.573225389652318,0.5233976525821596,28.28105852685308,735.3075216981802,16.968635116111848,497.74663007261427,113.12423410741232,333.71649061686634,220.59225650945405,173.5944241171194,-2.5238746795996723,1.4838407263197306,-0.2681798755012331,-0.4988285885011528,0.1890817528775261,-0.5040931981788188,-0.01641750398824937,-0.002916612585563,-2.2614003345768436,1.5116713061167948,-0.10297417703540618,-0.35703899962102487,0.22314042020583452,-0.41709664530401686,-0.01783386947822782,0.0071806373164259515
"2020_January_EPI_CEME_(240,250]_1","2020_January_EPI_CEME_(240,245]_1","EPI_CEME_(240,245]_1","EPI_CEME_(240,250]_1",2020_January_CEME_1,1,3,2020_January_CEME,"2020_January_EPI_CEME_(240,250]","2020_January_EPI_CEME_(240,245]","EPI_CEME_(240,245]","EPI_CEME_(240,250]",CEME,EPI,2.26,244.9612403,0,11.5,24,23,47,4,74,47,1,264.5,263.6,277.85,100,0.49,1,2020_January,2020,January,0.1484,0.5118,0.3634,St. Marys,NA,170.31326240385835,"(240,250]",2020_January,5.82,Wet,100,2.5,"(240,245]","2020_January_EPI_CEME_(240,245]_1",100,"EPI_CEME_(240,245]_1",100,"(240,250]","EPI_CEME_(240,250]_1",100,hydrated,"(240,245]","(240,250]","(240,260]",-0.8999999999999773,0.2899570144587729,1.7031326240385838,0.40836543753439736,0.14207893708479874,0.34792106291520125,0.34792106291520125,NA,1.8080913821630569,0.40836543753439736,94.19505235410676,5.80494764589325,-0.043,47,23,74,4,47,11.5,263.6,NA,8.292556618995135,0.5233976525821596,80.94092084273063,520.8372297706145,28.15336377138457,330.80202431376864,168.9201826283074,330.80202431376864,161.88184168546127,170.31326240385835,0.47128091937250743,2.19412544397001,-1.5139597232696516,-0.662340697741544,-0.6790968527299913,-0.9361386432444422,-0.01028370664534755,0.00550979493982835,0.6103538252496793,2.814457350681521,0.8896467925182137,-0.19406859492842587,-0.5583088807551375,-0.8359419559335907,-0.0172999351485299,0.006932203160664396
"2020_January_EPI_CEME_(200,210]_2","2020_January_EPI_CEME_(205,210]_2","EPI_CEME_(205,210]_2","EPI_CEME_(200,210]_2",2020_January_CEME_2,2,3,2020_January_CEME,"2020_January_EPI_CEME_(200,210]","2020_January_EPI_CEME_(205,210]","EPI_CEME_(205,210]","EPI_CEME_(200,210]",CEME,EPI,2.39,209.0935418,0,2,20,21,41,1,82,60,1,266.2,263.4,277.85,100,0.507,1,2020_January,2020,January,0.1727,0.5337,0.361,St. Marys,NA,162.6277602923916,"(200,210]",2020_January,5.82,Wet,100,10,"(205,210]","2020_January_EPI_CEME_(205,210]_2",100,"EPI_CEME_(205,210]_2",50,"(200,210]","EPI_CEME_(200,210]_2",67,hydrated,"(205,210]","(200,210]","(200,220]",-2.8000000000000114,0.32359003185310103,1.626277602923916,0.478393351800554,0.16406014614952222,0.34293985385047776,0.34293985385047776,0.16406014614952222,1.890806373835132,0.3372372372372372,86.00973771975018,13.990262280249825,-0.043,41,21,82,1,60,2,263.4,NA,6.969101752725021,0.5233976525821596,12.190651093149867,499.8166948191446,6.095325546574934,365.719532794496,121.90651093149869,249.9083474095723,128.0018364780736,162.6277602923916,-0.32273731375022585,2.602534236738118,-1.3341320254310092,-0.6628989446264124,0.901618358387301,0.7958045681216523,-0.00923401935084045,0.00860616024231383,-0.21694429441110838,2.9173846712796623,0.7489413049917009,-0.7942874372111401,0.8651899949854734,0.9285352228315799,-0.004152676673035274,-0.016381866454622813
"2020_January_EPI_CEME_(180,190]_3","2020_January_EPI_CEME_(185,190]_3","EPI_CEME_(185,190]_3","EPI_CEME_(180,190]_3",2020_January_CEME_3,3,3,2020_January_CEME,"2020_January_EPI_CEME_(180,190]","2020_January_EPI_CEME_(185,190]","EPI_CEME_(185,190]","EPI_CEME_(180,190]",CEME,EPI,2.51,185.7897264,0,17,9,39,48,4,124,81,1,279.6,280.7,277.85,100,0.513,1,2020_January,2020,January,0.2083,0.5953,0.387,St. Marys,NA,160.0888633753716,"(180,190]",2020_January,5.82,Wet,20,2.5,"(185,190]","2020_January_EPI_CEME_(185,190]_3",33,"EPI_CEME_(185,190]_3",50,"(180,190]","EPI_CEME_(180,190]_3",44,hydrated,"(185,190]","(180,190]","(180,200]",1.099999999999966,0.3499076096086007,1.600888633753716,0.5382428940568476,0.17950260372921217,0.3334973962707879,0.3334973962707879,0.17950260372921217,2.0264853273018097,0.34663951120162934,78.99828398388851,21.001716016111487,-0.043,48,39,124,4,81,17,280.7,NA,8.975664003973934,0.5233976525821596,94.70614713558848,690.7977791066454,22.28379932602082,451.2469363519216,50.13854848354685,267.40559191224986,217.267043428703,160.0888633753716,-0.4977191831825375,0.9729327618215408,1.390292396353586,-0.15575693880387037,-1.648315861876544,-1.1818734315525,-0.00638413921685837,-0.00875635509055816,-0.23127197601090896,1.0731250997346868,-1.7220160517467469,0.19262152485626172,-1.5677244666238914,-1.0540371835022748,-0.009282147110329375,0.019656018834126487
"2020_January_EPI_CEME_(140,150]_5","2020_January_EPI_CEME_(145,150]_5","EPI_CEME_(145,150]_5","EPI_CEME_(140,150]_5",2020_January_CEME_5,5,3,2020_January_CEME,"2020_January_EPI_CEME_(140,150]","2020_January_EPI_CEME_(145,150]","EPI_CEME_(145,150]","EPI_CEME_(140,150]",CEME,EPI,2.1,146.6992665,0,8,22,30,52,2,118,86,1,271.9,276.8,277.85,100,0.534,1,2020_January,2020,January,0.2659,0.6559,0.39,St. Marys,146.6992665,146.6992665,"(140,150]",2020_January,5.82,Wet,67,5,"(145,150]","2020_January_EPI_CEME_(145,150]_5",33,"EPI_CEME_(145,150]_5",33,"(140,150]","EPI_CEME_(140,150]_5",64,hydrated,"(145,150]","(140,150]","(140,160]",4.900000000000034,0.40539716420186006,1.466992665,0.6817948717948719,0.2164820856837933,0.31751791431620674,0.31751791431620674,0.2164820856837933,2.309701596226629,0.12536687631027257,63.51438070600259,36.48561929399741,-0.043,52,30,118,2,86,8,276.8,NA,7.423907827250615,0.5233976525821596,36.95455896376239,545.0797447154952,9.238639740940595,397.2615088604456,101.62503715034656,240.2046332644555,138.57959611410894,146.6992665,-1.4655252515485913,1.2061204285571347,-0.7001121876992996,-0.42520940932802753,-0.4389643539371416,-0.07360901407242987,-0.00649274495733037,-0.00144209748547338,-1.191998262928568,1.4397819909420912,0.35787665610048447,-0.26345598693181743,-0.39920469450098883,-0.055174590831297554,-0.0050172060136657315,0.005034681681752362
