individual,site,year,month,year.month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,model,LFM,prop.ignite,bins10lfm,flam.index,precip.2mo,prop.ignite.bins5
2020_January_CEME_1,St. Marys,2020,January,2020_January,NA,180.80913821630568,0.52,0.17477087508350034,0.40922912491649965,0.584,CEME,268.2,1.8080913821630569,0.40836543753439736,6,10.5,100,39,58,34.33066291585127,60.078660102739725,572.1777152641879,223.14930895303328,331.86307485322897,276.9,11,50,8.699999999999989,0.27095000362851407,2.1308499180397096,1.1740504241375476,-0.27727925327848724,EPI,180.80913821630568,100,"(230,240]",7.938778874024621,5.82,100
2020_January_CEME_3,St. Marys,2020,January,2020_January,169.1558442,169.1558442,0.5,0.20508564535585044,0.3469143546441496,0.552,CEME,268.8,2.0264853273018097,0.34663951120162934,6,10.5,106,19,80,29.256070016939574,51.198122529644266,516.8572369659325,92.64422172030866,390.0809335591944,336.1,23,42,67.30000000000001,-0.6231060964291821,0.6778153850490906,-0.828796470888719,-0.48978973230625056,EPI,169.1558442,100,"(160,170]",8.521441543677804,5.82,100
2020_January_CEME_1,St. Marys,2020,January,2020_January,NA,163.18204201045347,1.72,0.18270404312668465,0.3662959568733154,0.549,CEME,264.1,1.8080913821630569,0.40836543753439736,6,5,90,25,59,32.83999575115958,27.366663125966316,492.5999362673937,136.83331562983156,322.9266248864025,268.1,18,43,4,-0.09158640101923377,2.312241316533551,-0.24715051039937375,0.5507240746559519,EPI,163.18204201045347,100,"(200,210]",7.457079818810893,5.82,100
2020_January_CEME_2,St. Marys,2020,January,2020_January,NA,189.0806373835132,1.19,0.14382730418370557,0.3591726958162944,0.503,CEME,267,1.890806373835132,0.3372372372372372,4,8,95,23,68,27.811131013697793,55.622262027395585,660.5143615753226,159.9140033287623,472.78922723286246,271.1,24,47,4.100000000000023,0.14189497218656233,2.040149713554026,-0.8677629356598555,0.3996533822770985,EPI,189.0806373835132,100,"(240,250]",7.7309244614087325,5.82,100
2020_January_CEME_3,St. Marys,2020,January,2020_January,NA,202.648532730181,1.49,0.12252752571082878,0.35347247428917117,0.476,CEME,280.2,2.0264853273018097,0.34663951120162934,1,8,98,34,63,8.161431435088724,65.2914514807098,799.8202806386951,277.48866879301664,514.1701804105896,272.1,15,49,-8.099999999999966,0.6993448587335409,2.5401766045145946,0.5034907522188055,-0.0083472619702602,EPI,202.648532730181,100,"(280,290]",7.602127239274108,5.82,100
2020_January_CEME_5,St. Marys,2020,January,2020_January,NA,173.5944241171194,1.53,0.1767967770814682,0.4092032229185318,0.586,CEME,263,2.309701596226629,0.12536687631027257,3,5,130,39,88,16.968635116111848,28.28105852685308,735.3075216981802,220.59225650945405,497.74663007261427,260.5,20,59,-2.5,2.2785875106981766,1.528173884610903,0.12082339688827624,0.33889698761291015,EPI,173.5944241171194,100,"(230,240]",6.573225389652318,5.82,100
2020_January_CEME_1,St. Marys,2020,January,2020_January,NA,170.31326240385835,2.26,0.14207893708479874,0.34792106291520125,0.49,CEME,264.5,1.8080913821630569,0.40836543753439736,4,11.5,74,23,47,28.15336377138457,80.94092084273063,520.8372297706145,161.88184168546127,330.80202431376864,263.6,24,47,-0.8999999999999773,-0.6087664858498041,2.8447121546969134,-0.8368014275949573,0.12584223455812393,EPI,170.31326240385835,100,"(240,250]",8.292556618995135,5.82,100
2020_January_CEME_2,St. Marys,2020,January,2020_January,NA,162.6277602923916,2.39,0.16406014614952222,0.34293985385047776,0.507,CEME,266.2,1.890806373835132,0.3372372372372372,1,2,82,21,60,6.095325546574934,12.190651093149867,499.8166948191446,128.0018364780736,365.719532794496,263.4,20,41,-2.8000000000000114,0.22043114019286048,2.9542497086435575,-0.7062124353465752,0.7755625415991418,EPI,162.6277602923916,100,"(200,210]",6.969101752725021,5.82,100
2020_January_CEME_3,St. Marys,2020,January,2020_January,NA,160.0888633753716,2.51,0.17950260372921217,0.3334973962707879,0.513,CEME,279.6,2.0264853273018097,0.34663951120162934,4,17,124,39,81,22.28379932602082,94.70614713558848,690.7977791066454,217.267043428703,451.2469363519216,280.7,9,48,1.099999999999966,0.24439174653389456,1.0454238862546745,1.7539338642825177,-0.2147006366903299,EPI,160.0888633753716,20,"(180,190]",8.975664003973934,5.82,33
2020_January_CEME_5,St. Marys,2020,January,2020_January,146.6992665,146.6992665,2.1,0.2164820856837933,0.31751791431620674,0.534,CEME,271.9,2.309701596226629,0.12536687631027257,2,8,118,30,86,9.238639740940595,36.95455896376239,545.0797447154952,138.57959611410894,397.2615088604456,276.8,22,52,4.900000000000034,1.203956715612195,1.4637562189167315,-0.3331140888692351,0.23719210046798647,EPI,146.6992665,67,"(140,150]",7.423907827250615,5.82,33
