spp,n.x,mean_lfm_fall_spp.x,sd_lfm_fall_spp.x,mean_tlp_spp,sd_spp,n.y,mean_lfm_fall_spp.y,sd_lfm_fall_spp.y,bottle_number,unique_id,age,pod,site,lfm,date,predawn1,predawn2,midday1,midday2,predawn,midday,type,doy,location,month,timing,wettest_lfm,rwc,rwd,water_potential,swc,predawn3,midday3
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_new_1_1.2,new,1.2,1,NA,2021-07-08,-1.01,-0.99,-2.27,-2.13,-1.033333333,-2.136666667,tree,189,CZO,7,spring,NA,NA,NA,-2.136666667,NA,-1.1,-2.01
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_new_1_1.3,new,1.3,1,226.6278696,2021-10-16,-1.37,-1.36,-1.83,-1.97,-1.365,-1.9,tree,289,CZO,10,fall,316.0726266,71.70120109350843,28.29879890649157,-1.9,3.1607262659999997,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_new_1_1.4,new,1.4,1,228.4087987,2021-10-16,-1.1,-1.04,-1.91,-1.89,-1.07,-1.9,tree,289,CZO,10,fall,267.8534393,85.2737972291551,14.726202770844907,-1.9,2.678534393,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_new_1_1.6,new,1.6,1,228.5596409,2021-10-16,-1.15,-1.24,-1.87,-1.78,-1.195,-1.825,tree,289,CZO,10,fall,249.5819519,91.57699070787658,8.423009292123425,-1.825,2.495819519,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_old_1_1.1,old,1.1,1,203.1782212,2021-10-16,-1.31,-1.3,-1.89,-1.88,-1.305,-1.885,tree,289,CZO,10,fall,203.1782212,100,0,-1.885,2.031782212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_old_1_1.3,old,1.3,1,202.7640786,2021-10-16,-1.37,-1.36,-1.83,-1.97,-1.365,-1.9,tree,289,CZO,10,fall,202.7640786,100,0,-1.9,2.027640786,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_old_1_1.4,old,1.4,1,204.3210028,2021-10-16,-1.1,-1.04,-1.91,-1.89,-1.07,-1.9,tree,289,CZO,10,fall,204.3210028,100,0,-1.9,2.043210028,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_old_1_1.5,old,1.5,1,200.5785068,2021-10-16,-1.2,-1.26,-1.84,-1.79,-1.23,-1.815,tree,289,CZO,10,fall,205.0550563,97.81690362540942,2.1830963745905763,-1.815,2.050550563,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_old_1_1.6,old,1.6,1,204.9281856,2021-10-16,-1.15,-1.24,-1.87,-1.78,-1.195,-1.825,tree,289,CZO,10,fall,204.9281856,100,0,-1.825,2.049281856,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,,ABCO_old_2_2.4,old,2.4,2,NA,2021-10-17,-1.03,-1.01,-1.69,-1.76,-1.02,-1.725,tree,290,CZO,10,fall,NA,NA,NA,-1.725,NA,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,1,ABCO_New_1_4,New,4,1,172.039528,2020-08-26,-1.357,-1.53,-2.453,-2.2,-1.4435,-2.3265,tree,238,CZO,8,fall,235.9408212,72.91638942553617,27.083610574463833,-2.3265,2.359408212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,1,ABCO_New_1_4,New,4,1,173.710297,2020-08-04,-1.12,-1.13,-1.79,-1.81,-1.125,-1.8,tree,216,CZO,8,fall,235.9408212,73.62451996077057,26.37548003922943,-1.8,2.359408212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,1,ABCO_New_1_4,New,4,1,205.9718549,2020-07-27,-0.9,-0.85,-2.1,NA,-0.875,-2.1,tree,209,CZO,7,spring,235.9408212,87.29810036789006,12.701899632109942,-2.1,2.359408212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,1,ABCO_old_1_1.1,old,1.1,1,113.5494922,2021-06-16,-0.9,-0.82,-2.22,-2.12,-0.86,-2.17,tree,167,CZO,6,spring,203.1782212,55.88664549249436,44.11335450750564,-2.17,2.031782212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,10,ABCO_new_1_1.4,new,1.4,1,95.41994477,2021-06-16,-0.87,-0.89,-2.32,-2.06,-0.88,-2.166666667,tree,167,CZO,6,spring,267.8534393,35.62393860589118,64.37606139410882,-2.166666667,2.678534393,NA,-2.12
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,10,ABCO_New_1_4,New,4,1,160.0374515,2020-10-19,-2.322,-2.229,-2.23,-2.3,-2.2755,-2.265,tree,292,SEKI,10,fall,235.9408212,67.82948821066492,32.17051178933508,-2.265,2.359408212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,107,ABCO_old_1_1.2,old,1.2,1,125.3250867,2021-09-16,-1.64,-1.65,-1.81,-2.2,-1.645,-1.96,tree,259,CZO,9,fall,NA,NA,NA,-1.96,NA,NA,-1.87
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,109,ABCO_old_1_1.2,old,1.2,1,133.7093559,2021-08-19,-1.61,-1.59,-2.04,-2.05,-1.6,-2.045,tree,231,CZO,8,fall,NA,NA,NA,-2.045,NA,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,11,ABCO_old_1_1.1,old,1.1,1,125.4719451,2021-09-16,-1.4,-1.72,-1.84,-1.88,-1.55,-1.86,tree,259,CZO,9,fall,203.1782212,61.754623285381925,38.245376714618075,-1.86,2.031782212,-1.53,NA
