model.spp.gr.sample,individual,sample,round,model.spp.gr,spp,model,mpa,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms,lfm.outliers.out,lfm.NAs.imputed,gr,precip.2month,precip.2mo,season,ignition_no_double,prop.ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp.change,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,gww.gdw.saturated,gdw.gww.saturated,RWC,RWD,max.mpa.sample,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,LFM,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
"2020_October_HP_ARPA_(110,120]_1.1",2020_October_ARPA_1.1,1.1,1,"2020_October_HP_ARPA_(110,120]",ARPA,HP,0.072,0,39,118,5,50,16,99,78,1,255.4,251.4,229.6,NA,4.9213,1,2020_October,2020,October,6.6265,7.0918,0.4653,1,6.2249,2,115.8615538,115.8615538,"(110,120]",2020_October,0.61,Dry,1,NA,0.625,hydrated,"(115,120]","(110,120]","(100,120]",-4,0.9343890126625116,1.158615538,14.241349666881582,4.598408648016018,0.3228913519839818,1.341844398,12.220015760441292,86.34499944456302,13.655000555436985,-0.046,24.18300911629532,3.652345,8.481194905726037,21.529187068381475,3.4794645767081174,16.962389811452073,25.661051253222364,10.873326802212867,1.0873326802212866,115.8615538,0.33544795484499756,0.42537616345774265,-0.1068325795362387,-1.2807417424681327,0.26856913731008303,0.6844141490449729,-1.2205076227632536,0.07693280875458794
"2020_October_HP_ARPA_(80,90]_1.1",2020_October_ARPA_1.1,1.1,6,"2020_October_HP_ARPA_(80,90]",ARPA,HP,4.008,0,30,41,0.5,41,23,172,149,1,236.2,397.9,251.6,NA,4.6885,0,2020_October,2020,October,12.6946,13.2866,0.592,1,12.0249,5,88.39779006,88.39779006,"(80,90]",2020_October,0.61,Dry,1,NA,0.43478260869565216,moderate,"(85,90]","(80,90]","(80,100]",161.7,0.9554438306263453,0.8839779006,21.44358108108108,4.4795983998916205,0.20890160010837988,1.341844398,12.220015760441292,65.87782472524806,34.12217527475194,-0.046,25.562657442093847,3.652345,6.697028912396661,38.39629909774085,5.134388832837439,33.26191026490341,9.152606180275436,9.152606180275436,0.11161714853994434,88.39779006,-0.9242789984339036,-2.018129552609356,1.3809097520876383,0.7584149856939943,-0.5023013399878886,-1.3840869412792374,-0.3750209809770333,-0.08983661483660846
"2020_October_HP_ARPA_(90,100]_1.1",2020_October_ARPA_1.1,1.1,4,"2020_October_HP_ARPA_(90,100]",ARPA,HP,3.025,0,33,86,11,97,10,188,167,1,267.7,308.6,296.7,NA,2.7459,1,2020_October,2020,October,7.758,8.1134,0.3554,1,7.3877,2,95.97623548,95.97623548,"(90,100]",2020_October,0.61,Dry,1,NA,1,hydrated,"(95,100]","(90,100]","(80,100]",40.900000000000034,0.9561959227943895,0.9597623548,21.828925154755204,2.625618384401114,0.12028161559888595,1.341844398,12.220015760441292,71.52560730815824,28.474392691841757,-0.046,15.596262876537871,3.652345,12.56846775451227,71.60217993479718,3.8086265922764455,63.60406409101664,32.75418869357743,36.94367794508152,4.18948925150409,95.97623548,-1.6569428270732307,-0.9591277773876641,-1.2804417231648395,-0.8155586887512261,-0.10160795517707738,-0.7221182342263787,0.23319628320212538,-0.1648200675299843
"2020_October_HP_ARPA_(70,80]_1.1",2020_October_ARPA_1.1,1.1,8,"2020_October_HP_ARPA_(70,80]",ARPA,HP,5.761,0,29,33,0.5,33,19,260,241,1,250.1,340,267.2,NA,3.5604,0,2020_October,2020,October,7.7799,8.2074,0.4275,1,7.1783,2,71.06050532,71.06050532,"(70,80]",2020_October,0.61,Dry,1,NA,0.5263157894736842,moderate,"(70,75]","(70,80]","(60,80]",89.9,0.9479128591271292,0.7106050532,18.19859649122807,3.3749489436362308,0.18545105636376924,1.341844398,12.220015760441292,52.95733650333426,47.04266349666574,-0.046,28.87239829976474,3.652345,8.59272258167997,77.03820245644111,5.629714794893774,71.40848766154734,9.777925696394448,9.777925696394448,0.14815038933930982,71.06050532,-1.518193249773657,-4.017197052246546,0.3030506942493491,-0.15402135291959718,-1.1577756805256172,-0.7046352529576805,-0.3014071652092854,-0.13415561348753477
"2020_October_HP_ARPA_(80,90]_1.2",2020_October_ARPA_1.2,1.2,6,"2020_October_HP_ARPA_(80,90]",ARPA,HP,4.9,0,25,32,0.5,32,25,26,1,1,252.6,337.9,238.1,NA,3.6122,0,2020_October,2020,October,12.6388,13.0372,0.3984,1,12.158,7,82.86189684,82.86189684,"(80,90]",2020_October,0.61,Dry,1,NA,0.4,moderate,"(80,85]","(80,90]","(80,100]",85.29999999999998,0.9694412910747706,0.8286189684,31.72389558232932,3.5018158316202865,0.11038416837971354,1.451628825,12.989799387963279,57.08201395077699,42.91798604922301,-0.046,28.361766116274836,3.652345,7.13915328563482,7.4247194170602135,7.13915328563482,0.28556613142539283,9.13811620561257,9.13811620561257,0.14278306571269642,82.86189684,2.1360826146859293,-0.11282426967528995,1.879516718864021,1.1124830753702684,1.3074046567221973,-1.0137941497422571,-0.25790722226794405,0.03898039003364888
"2020_October_HP_ARPA_(110,120]_1.2",2020_October_ARPA_1.2,1.2,2,"2020_October_HP_ARPA_(110,120]",ARPA,HP,1.859,0,21,47,0.5,47,47,138,91,1,212.5,413.5,241.4,NA,5.5904,0,2020_October,2020,October,7.7409,8.2782,0.5373,1,7.2557,25,110.7378401,110.7378401,"(110,120]",2020_October,0.61,Dry,1,NA,0.2127659574468085,hydrated,"(110,115]","(110,120]","(100,120]",201,0.9350945857795173,1.107378401,14.407035175879397,5.227552772341814,0.362847227658186,1.451628825,12.989799387963279,76.2852309026035,23.7147690973965,-0.046,21.60339610045547,3.652345,4.017176088801591,26.398585726410452,8.990822674936894,17.40776305147356,8.990822674936894,8.990822674936894,0.09564704973337121,110.7378401,-1.0936930092486894,-1.8188170647828674,3.019318645413646,1.9814298786688394,1.8608438085767705,-0.8410588967424577,-0.44099076109881297,-0.03748127079799155
"2020_October_HP_ARPA_(70,80]_1.2",2020_October_ARPA_1.2,1.2,8,"2020_October_HP_ARPA_(70,80]",ARPA,HP,5.802,0,30,28,0.5,28,17,123,106,1,276.7,302,262.6,NA,2.7185,0,2020_October,2020,October,7.7855,8.1916,0.4061,1,7.2267,10,72.67358626,72.67358626,"(70,80]",2020_October,0.61,Dry,1,NA,0.5882352941176471,moderate,"(70,75]","(70,80]","(60,80]",25.30000000000001,0.9504248254309293,0.7267358625999999,19.17138635803989,2.5837298879339814,0.13477011206601874,1.451628825,12.989799387963279,50.0634769773189,49.9365230226811,-0.046,32.04645130988032,3.652345,11.611120860620918,47.60559552854577,6.579635154351854,41.025960374193915,10.837046136579524,10.837046136579524,0.19351868101034864,72.67358626,1.1001865010783984,-1.7331454547131593,0.6751105883217872,0.1326488486663342,-0.22639121456340688,-0.47910131037082,-0.20413112912022333,-0.03200132839361895
"2020_October_HP_ARPA_(140,150]_1.2",2020_October_ARPA_1.2,1.2,4,"2020_October_HP_ARPA_(140,150]",ARPA,HP,2.006,0,28,40,0.5,40,26,175,149,1,271.7,283.6,266.6,NA,3.2441,0,2020_October,2020,October,7.6406,8.2288,0.5882,1,7.2354,15,145.1628825,145.1628825,"(140,150]",2020_October,0.61,Dry,1,NA,0.38461538461538464,hydrated,"(145,150]","(140,150]","(140,160]",11.900000000000034,0.9285193466848144,1.451628825,12.989799387963279,3.0122096125802065,0.2318903874197935,1.451628825,12.989799387963279,100,0,-0.046,25.511714853941342,3.652345,9.295501841259874,58.09688650787421,8.631537424027025,49.46534908384719,13.279288344656962,13.279288344656962,0.16599110430821204,145.1628825,-0.09600953883274149,-2.5733486849938187,0.6681456764235556,-0.038578005046624286,0.3131629146352428,0.25413009098364814,-0.11184560896772902,-0.06957775481059496
"2020_October_HP_ARPA_(110,120]_1.2",2020_October_ARPA_1.2,1.2,1,"2020_October_HP_ARPA_(110,120]",ARPA,HP,0.109,0,21,50,0.5,50,33,329,296,1,228.8,286.3,249.7,NA,3.1326,0,2020_October,2020,October,7.5641,7.9235,0.3594,1,7.2437,5,112.1722846,112.1722846,"(110,120]",2020_October,0.61,Dry,1,NA,0.30303030303030304,hydrated,"(110,115]","(110,120]","(100,120]",57.5,0.9546412570202562,1.121722846,21.04646633277685,2.9905092017416544,0.1420907982583457,1.451628825,12.989799387963279,77.27339294189063,22.726607058109366,-0.046,20.802828870250085,3.652345,7.022215476805665,110.01470913662209,11.034910034980332,98.97979910164176,16.719560659061106,16.719560659061106,0.16719560659061108,112.1722846,-2.857035913386484,-5.527936542053017,0.1511378298035941,-0.5821018094512438,0.33023788939188625,0.45095017340164933,-0.09600669768620325,-0.17339936552215937
"2020_October_HP_ARPA_(80,90]_1.3",2020_October_ARPA_1.3,1.3,6,"2020_October_HP_ARPA_(80,90]",ARPA,HP,4.883,0,32,113,8,121,11,141,122,1,240.2,270.8,264.1,NA,2.666,1,2020_October,2020,October,12.6091,13.0226,0.4135,1,12.1222,5,84.92503594,84.92503594,"(80,90]",2020_October,0.61,Dry,1,NA,0.9090909090909091,moderate,"(80,85]","(80,90]","(80,100]",30.600000000000023,0.9682475081780904,0.8492503594,30.493591293833134,2.5813478568027888,0.08465214319721115,1.2818013,13.917059036580948,66.2544467227487,33.745553277251304,-0.046,13.67468265975651,3.652345,12.396624467201653,54.62262655860728,4.2613396606005685,47.2621307812063,43.77558014980583,46.87473626660625,3.099156116800413,84.92503594,-1.348299059838781,0.2651824183797825,-1.3535181836661287,-1.4858001323873553,0.9782868251750793,-0.34236037096928995,0.5613533182186721,-0.16845128454873642
"2020_October_HP_ARPA_(120,130]_1.3",2020_October_ARPA_1.3,1.3,1,"2020_October_HP_ARPA_(120,130]",ARPA,HP,0.113,0,23,50,0.5,50,14,213,199,1,279,335.3,282.2,NA,3.2273,0,2020_October,2020,October,7.685,8.2372,0.5522,1,7.2542,11,128.18013,128.18013,"(120,130]",2020_October,0.61,Dry,1,NA,0.7142857142857143,hydrated,"(125,130]","(120,130]","(120,140]",56.30000000000001,0.9329626572136163,1.2818013,13.917059036580948,3.010950383625504,0.216349616374496,1.2818013,13.917059036580948,100,0,-0.046,21.246792818147522,3.652345,7.638784127789432,70.74178344431083,4.649694686480523,66.0920887578303,16.606052451716156,16.606052451716156,0.16606052451716155,128.18013,-0.9840896318328386,-3.138304092073116,0.004989479885310788,-0.5513996523910598,-0.14259572831618647,-1.4298524809817086,-0.10660598252199197,-0.12703873757629716
