individual,year.month,dry.wt,spp,model,lfm.NAs.imputed,RWC,max.mpa.sample,mpa,gww.gdw,gww.gdw.saturated,fresh.wt,site,sample
2020_October_ARPA_1.1,2020_October,7.6286,ARPA,HP,99.60955443,74.23331243061165,-0.072,-1.674,0.9960955443,1.341844398,8.0623,1,1.1
2020_October_ARPA_1.1,2020_October,6.6265,ARPA,EPI,115.8615538,86.34499944456302,-0.072,-0.072,1.158615538,1.341844398,7.0918,1,1.1
2020_October_ARPA_1.1,2020_October,7.5839,ARPA,EPI,134.1844398,100,-0.072,-3.432,1.341844398,1.341844398,8.0306,1,1.1
2020_October_ARPA_1.1,2020_October,7.7536,ARPA,EPI,110.3286385,82.22163364429083,-0.072,-2.051,1.1032863849999999,1.341844398,8.3881,1,1.1
2020_October_ARPA_1.1,2020_October,12.9289,ARPA,EPI,76.06521441,56.68706038000688,-0.072,-4.802,0.7606521440999999,1.341844398,13.4841,1,1.1
2020_October_ARPA_1.1,2020_October,6.6265,ARPA,HP,115.8615538,86.34499944456302,-0.072,-0.072,1.158615538,1.341844398,7.0918,1,1.1
2020_October_ARPA_1.1,2020_October,12.6946,ARPA,HP,88.39779006,65.87782472524806,-0.072,-4.008,0.8839779006,1.341844398,13.2866,1,1.1
2020_October_ARPA_1.1,2020_October,7.758,ARPA,HP,95.97623548,71.52560730815824,-0.072,-3.025,0.9597623548,1.341844398,8.1134,1,1.1
2020_October_ARPA_1.1,2020_October,7.7799,ARPA,HP,71.06050532,52.95733650333426,-0.072,-5.761,0.7106050532,1.341844398,8.2074,1,1.1
2020_October_ARPA_1.1,2020_October,12.9289,ARPA,HP,76.06521441,56.68706038000688,-0.072,-4.802,0.7606521440999999,1.341844398,13.4841,1,1.1
2020_October_ARPA_1.1,2020_October,7.7799,ARPA,EPI,71.06050532,52.95733650333426,-0.072,-5.761,0.7106050532,1.341844398,8.2074,1,1.1
2020_October_ARPA_1.1,2020_October,7.758,ARPA,EPI,95.97623548,71.52560730815824,-0.072,-3.025,0.9597623548,1.341844398,8.1134,1,1.1
2020_October_ARPA_1.1,2020_October,12.6946,ARPA,EPI,88.39779006,65.87782472524806,-0.072,-4.008,0.8839779006,1.341844398,13.2866,1,1.1
2020_October_ARPA_1.1,2020_October,7.6286,ARPA,EPI,99.60955443,74.23331243061165,-0.072,-1.674,0.9960955443,1.341844398,8.0623,1,1.1
2020_October_ARPA_1.1,2020_October,7.7536,ARPA,HP,110.3286385,82.22163364429083,-0.072,-2.051,1.1032863849999999,1.341844398,8.3881,1,1.1
2020_October_ARPA_1.1,2020_October,7.5839,ARPA,HP,134.1844398,100,-0.072,-3.432,1.341844398,1.341844398,8.0306,1,1.1
2020_October_ARPA_1.2,2020_October,7.5286,ARPA,HP,87.20588235,60.0745044794767,-0.109,-4.139,0.8720588235,1.451628825,7.8844,1,1.2
2020_October_ARPA_1.2,2020_October,12.6388,ARPA,HP,82.86189684,57.08201395077699,-0.109,-4.9,0.8286189684,1.451628825,13.0372,1,1.2
2020_October_ARPA_1.2,2020_October,7.5784,ARPA,EPI,91.94317390211218,63.337936198747066,-0.109,-3.538,0.9194317390211217,1.451628825,8.0927,1,1.2
2020_October_ARPA_1.2,2020_October,7.7409,ARPA,EPI,110.7378401,76.2852309026035,-0.109,-1.859,1.107378401,1.451628825,8.2782,1,1.2
2020_October_ARPA_1.2,2020_October,7.7409,ARPA,HP,110.7378401,76.2852309026035,-0.109,-1.859,1.107378401,1.451628825,8.2782,1,1.2
2020_October_ARPA_1.2,2020_October,7.7855,ARPA,HP,72.67358626,50.0634769773189,-0.109,-5.802,0.7267358625999999,1.451628825,8.1916,1,1.2
