spp,individual,year_month,month,timing,dry_wt,model,rwc,lfm,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample,location,pos_mpa,water_potential,n,sd_fall_spp,tlp
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,8.3774,HP,80.33684342,162.1785962,-0.42,-0.42,1.621785962,2.018732493,10.2444,1,1.1,czo,0.42,-0.42,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,7.7641,HP,88.31666146,178.2877142,-0.42,-1.61,1.782877142,2.018732493,9.3392,1,1.1,czo,1.61,-1.61,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,7.7115,HP,82.82637885,167.2043023,-0.42,-2.14,1.672043023,2.018732493,8.8744,1,1.1,czo,2.14,-2.14,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,6.7417,HP,100,201.8732493,-0.42,-2.12,2.018732493,2.018732493,7.8948,1,1.1,czo,2.12,-2.12,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,6.958,HP,98.54571747,198.9374419,-0.42,-2.38,1.989374419,2.018732493,8.4558,1,1.1,czo,2.38,-2.38,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,7.5939,HP,92.64074163,187.0168753,-0.42,-2.38,1.870168753,2.018732493,8.281,1,1.1,czo,2.38,-2.38,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,7.5866,HP,80.61480487,162.739726,-0.42,-2.65,1.62739726,2.018732493,8.1806,1,1.1,czo,2.65,-2.65,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,7.4801,HP,82.39870036,166.3409338,-0.42,-2.79,1.663409338,2.018732493,7.9397,1,1.1,czo,2.79,-2.79,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.1,2020_September,9,fall,6.5752,HP,67.03949947,135.3348159,-0.42,-3.59,1.353348159,2.018732493,7.1229,1,1.1,czo,3.59,-3.59,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.2,2020_September,9,fall,7.7115,HP,97.67657046,205.2643205,-0.32,-0.32,2.052643205,2.101469365,8.7257,1,1.2,czo,0.32,-0.32,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.2,2020_September,9,fall,7.565,HP,100,210.1469365,-0.32,-0.701,2.101469365,2.101469365,8.323,1,1.2,czo,0.701,-0.701,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.2,2020_September,9,fall,7.5097,HP,89.55286964,188.1926121,-0.32,-2.37,1.881926121,2.101469365,8.0803,1,1.2,czo,2.37,-2.37,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.2,2020_September,9,fall,6.4748,HP,83.45681708,175.3819444,-0.32,-2.79,1.753819444,2.101469365,6.9799,1,1.2,czo,2.79,-2.79,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.2,2020_September,9,fall,6.781,HP,82.83568535,174.0766551,-0.32,-2.58,1.740766551,2.101469365,7.7802,1,1.2,czo,2.58,-2.58,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.2,2020_September,9,fall,7.7234,HP,49.78815016,104.6282723,-0.32,-3.04,1.046282723,2.101469365,8.223,1,1.2,czo,3.04,-3.04,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.2,2020_September,9,fall,7.5703,HP,69.01363428,145.0300382,-0.32,-3.1,1.450300382,2.101469365,8.1014,1,1.2,czo,3.1,-3.1,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,7.6756,HP,90.83118717,187.6981582,-1.16,-1.16,1.876981582,2.066450567,8.7654,1,1.3,czo,1.16,-1.16,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,7.8601,HP,83.94971281,173.4779316,-1.16,-1.84,1.734779316,2.066450567,9.3455,1,1.3,czo,1.84,-1.84,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,7.4817,HP,82.22934423,169.922875,-1.16,-2.01,1.69922875,2.066450567,8.3163,1,1.3,czo,2.01,-2.01,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,6.5943,HP,100,206.6450567,-1.16,-2.56,2.066450567,2.066450567,7.3593,1,1.3,czo,2.56,-2.56,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,6.665,HP,81.85402037,169.1472868,-1.16,-3.14,1.691472868,2.066450567,7.5378,1,1.3,czo,3.14,-3.14,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,7.864,HP,92.44152623,191.0258443,-1.16,-3.03,1.910258443,2.066450567,9.0688,1,1.3,czo,3.03,-3.03,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,7.8285,HP,66.69906462,137.8303199,-1.16,-2.84,1.378303199,2.066450567,8.6213,1,1.3,czo,2.84,-2.84,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,7.3407,HP,64.31727126,132.9084617,-1.16,-3.78,1.329084617,2.066450567,8.7817,1,1.3,czo,3.78,-3.78,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.3,2020_September,9,fall,6.6653,HP,84.83157163,175.3002493,-1.16,-3.67,1.753002493,2.066450567,7.4389,1,1.3,czo,3.67,-3.67,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.4,2020_September,9,fall,7.9639,HP,100,207.7737722,-0.2,-0.2,2.077737722,2.077737722,9.5368,1,1.4,czo,0.2,-0.2,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.4,2020_September,9,fall,7.6335,HP,85.50663027,177.6603512,-0.2,-1.64,1.776603512,2.077737722,8.4121,1,1.4,czo,1.64,-1.64,295,0.32229257081388263,-2.0545480874101694
ABCO,2020_September_ABCO_1.4,2020_September,9,fall,8.1699,HP,68.04820891,141.3863306,-0.2,-1.97,1.413863306,2.077737722,9.6283,1,1.4,czo,1.97,-1.97,295,0.32229257081388263,-2.0545480874101694
