spp,timing,mean_tlp,lwr,upr
ABCO,fall,-2.0545480874101694,-2.0914780507671225,-2.0176181240532163
ABCO,spring,-3.0664687508625,-3.1024723823966434,-3.030465119328357
ADFA,fall,-3.3104515573430078,-3.3312111691036086,-3.289691945582407
ARPA,fall,-2.231740758840708,-2.2738502392148088,-2.189631278466607
ARPA,spring,-2.162310264255319,-2.1872619672077174,-2.137358561302921
CADE,fall,-2.2962612165854703,-2.3354065470218104,-2.2571158861491303
CADE,spring,-2.365465996067961,-2.3785174942593823,-2.3524144978765396
CECO,fall,-2.714489914076433,-2.7401117267544732,-2.688868101398393
CECO,spring,-2.334897997225352,-2.389048706313698,-2.2807472881370057
CEME,fall,-2.620938279942857,-2.6516307128696313,-2.590245847016083
PIJE,fall,-2.537273993175824,-2.581804556072153,-2.492743430279495
PIJE,spring,-2.7070721233867925,-2.7184109510828907,-2.6957332956906943
QUKE,fall,-2.867821233237589,-2.9182305767225483,-2.8174118897526297
