observation_id,observation_date,observation_time,plant_nickname,phenophase_status,abundance_category,abundance_category_value,raw_abundance_value,category,phenophase_name,scientific_name,common_name,latitude,longitude,site_name,elevation,observation_comments,network,date,year,month,class,code,start_phase,end_phase
25737265,2021-04-22,12:44:00 PM,CADE 1.1,Yes,How many fresh pollen cones are present?,"More than 10,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741479,2021-04-22,12:44:00 PM,CADE 1.1,Yes,What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ,25-49%,NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741480,2021-04-22,12:44:00 PM,CADE 1.1,Yes,How much pollen is released?,Little,NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741481,2021-04-22,12:44:00 PM,CADE 1.1,No,How many seed cones are unripe?,,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741482,2021-04-22,12:44:00 PM,CADE 1.1,Yes,How many seed cones are ripe?,11 to 100,NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741483,2021-04-22,12:44:00 PM,CADE 1.1,?,How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?,,NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741484,2021-04-22,12:44:00 PM,ABCO 1.1,Yes,How many fresh pollen cones are present?,11 to 100,NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741485,2021-04-22,12:44:00 PM,ABCO 1.1,No,What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ,,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741486,2021-04-22,12:44:00 PM,ABCO 1.1,No,How much pollen is released?,,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741487,2021-04-22,12:44:00 PM,ABCO 1.1,?,How many seed cones are unripe?,,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741488,2021-04-22,12:44:00 PM,ABCO 1.1,?,How many seed cones are ripe?,,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741489,2021-04-22,12:44:00 PM,ABCO 1.1,No,How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?,,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741490,2021-04-22,12:44:00 PM,ARPA 1.1,Yes,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.",11 to 100,NULL,Flowers,Flowers or flower buds,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.1; all old growth on leaves ,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
