individual,year_month,dry_wt,spp,model,lfm_NAs_imputed,RWC,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample
2021_August_CECO_1.1,2021_August,12.5213,CECO,HP,176.0012419,100,1,-0.27,1.760012419,1.760012419,13.0882,1,1.1
2021_August_PIJE_1.1,2021_August,13.8687,PIJE,HP,150.7646011,86.32366134416782,1,-0.62,1.5076460109999998,1.746503783,16.3236,1,1.1
2021_August_QUKE_1.1,2021_August,7.9631,QUKE,HP,144.9417707,100,1,-0.3,1.449417707,1.449417707,8.9961,1,1.1
2021_August_ABCO_1.1,2021_August,13.4989,ABCO,HP,88.40811966,55.9475981435877,1,-3.59,0.8840811966,1.580195086,14.6574,1,1.1
2021_August_ARPA_1.1,2021_August,14.3239,ARPA,HP,89.14839603,62.34412087366115,1,-3.96,0.8914839603,1.429940703,16.2553,1,1.1
2021_August_CADE_1.1,2021_August,14.3077,CADE,HP,55.67990052,48.2773966107596,1,-6.02,0.5567990051999999,1.153332707,15.5615,1,1.1
2021_August_CECO_1.1,2021_August,6.4786,CECO,HP,56.23048538,31.948913980930264,1,-5.85,0.5623048538,1.760012419,6.6767,1,1.1
2021_August_PIJE_1.1,2021_August,15.9035,PIJE,HP,90.65215116,51.90492688443263,1,-3.61,0.9065215116,1.746503783,19.3675,1,1.1
2021_August_QUKE_1.1,2021_August,14.0148,QUKE,HP,13.50324783,9.316325973379321,1,-10,0.13503247829999998,1.449417707,14.2601,1,1.1
2021_August_ABCO_1.1,2021_August,14.8906,ABCO,HP,111.6615772,70.66315937144991,1,-3.35,1.116615772,1.580195086,17.9987,1,1.1
2021_August_ARPA_1.1,2021_August,6.685,ARPA,HP,98.55302279,68.92105566562084,1,-3.61,0.9855302279,1.429940703,7.1822,1,1.1
2021_August_CADE_1.1,2021_August,9.3211,CADE,HP,66.3587888,57.53655332693172,1,-4.32,0.663587888,1.153332707,10.7149,1,1.1
2021_August_CECO_1.1,2021_August,7.6202,CECO,HP,76.69798658,43.57809396798354,1,-4.99,0.7669798658000001,1.760012419,7.9059,1,1.1
2021_August_PIJE_1.1,2021_August,16.0214,PIJE,HP,100.7793034,57.70345554413265,1,-3.47,1.007793034,1.746503783,19.8234,1,1.1
2021_August_QUKE_1.1,2021_August,13.2353,QUKE,HP,82.76104329,57.09951167996873,1,-4.28,0.8276104329,1.449417707,14.1777,1,1.1
2021_August_ARPA_1.1,2021_August,9.4192,ARPA,HP,61.64920883,43.11312259358772,1,-5.5,0.6164920883,1.429940703,10.8023,1,1.1
2021_August_CADE_1.1,2021_August,8.5888,CADE,HP,71.02744097,61.584519834483466,1,-3.62,0.7102744097,1.153332707,9.5905,1,1.1
2021_August_CECO_1.1,2021_August,7.7217,CECO,HP,142.9965661,81.24747561795472,1,-1.41,1.429965661,1.760012419,8.5129,1,1.1
2021_August_PIJE_1.1,2021_August,16.3011,PIJE,HP,94.2267651,53.95165244826726,1,-3.65,0.942267651,1.746503783,20.2835,1,1.1
2021_August_QUKE_1.1,2021_August,12.9851,QUKE,HP,65.15750389,44.95426237400038,1,-5.88,0.6515750389,1.449417707,13.5291,1,1.1
2021_August_ARPA_1.1,2021_August,14.6805,ARPA,HP,49.54109975,34.64556232720931,1,-8.58,0.4954109975,1.429940703,15.9112,1,1.1
2021_August_CADE_1.1,2021_August,15.7823,CADE,HP,70.46716935,61.09873492905288,1,-5.1,0.7046716935,1.153332707,18.4084,1,1.1
2021_August_PIJE_1.1,2021_August,15.6149,PIJE,HP,97.24174435,55.67794659051134,1,-3.66,0.9724174435,1.746503783,18.9218,1,1.1
2021_August_ARPA_1.1,2021_August,13.4267,ARPA,HP,57.41776874,40.15395087330415,1,-5.98,0.5741776874,1.429940703,14.104,1,1.1
2021_August_CADE_1.1,2021_August,15.8817,CADE,HP,56.77561813,49.22744129721451,1,-7.53,0.5677561812999999,1.153332707,17.9644,1,1.1
2021_August_ABCO_1.1,2021_August,14.5271,ABCO,HP,137.4386082,86.97572180654156,1,-0.9,1.374386082,1.580195086,17.8292,1,1.1
2021_August_CECO_1.1,2021_August,6.351,CECO,HP,141.2965799,80.28158118354733,1,-1.19,1.4129657990000002,1.760012419,6.6278,1,1.1
2021_August_PIJE_1.1,2021_August,14.2638,PIJE,HP,155.683879,89.14030448452797,1,-0.98,1.5568387899999998,1.746503783,17.526,1,1.1
2021_August_QUKE_1.1,2021_August,7.6947,QUKE,HP,119.0030592,82.10404676669236,1,-1.87,1.190030592,1.449417707,8.356,1,1.1
2021_August_ABCO_1.1,2021_August,8.0951,ABCO,HP,140.5642707,88.95374498082701,1,-0.93,1.4056427070000002,1.580195086,9.2958,1,1.1
2021_August_CECO_1.1,2021_August,8.0002,CECO,HP,94.66228181,53.78500787158366,1,-3.54,0.9466228180999999,1.760012419,8.7486,1,1.1
2021_August_PIJE_1.1,2021_August,15.2406,PIJE,HP,174.6503783,100,1,-0.26,1.746503783,1.746503783,20.5732,1,1.1
2021_August_QUKE_1.1,2021_August,7.7326,QUKE,HP,111.3126649,76.79819582885777,1,-3.14,1.113126649,1.449417707,8.4076,1,1.1
2021_August_ABCO_1.1,2021_August,7.0352,ABCO,HP,158.0195086,100,1,-1.84,1.580195086,1.580195086,8.315,1,1.1
2021_August_ARPA_1.1,2021_August,14.3498,ARPA,HP,134.0813661,93.76708126336901,1,-1.2,1.3408136609999999,1.429940703,17.2237,1,1.1
2021_August_CADE_1.1,2021_August,14.4724,CADE,HP,92.14957265,79.89851678592863,1,-2.28,0.9214957265,1.153332707,16.6287,1,1.1
2021_August_CECO_1.1,2021_August,6.5486,CECO,HP,87.83281734,49.904657712531744,1,-4.72,0.8783281734,1.760012419,6.8323,1,1.1
2021_August_PIJE_1.1,2021_August,16.9665,PIJE,HP,125.8938622,72.08336072639358,1,-2.48,1.258938622,1.746503783,23.1178,1,1.1
2021_August_QUKE_1.1,2021_August,8.4044,QUKE,HP,67.93563905,46.8709873778298,1,-6.06,0.6793563905000001,1.449417707,9.2235,1,1.1
2021_August_ABCO_1.1,2021_August,13.3799,ABCO,HP,142.9879558,90.48753351204891,1,-0.33,1.429879558,1.580195086,15.1132,1,1.1
2021_August_ARPA_1.1,2021_August,8.572,ARPA,HP,125.7960216,87.97289379628212,1,-1.63,1.257960216,1.429940703,10.3617,1,1.1
2021_August_CADE_1.1,2021_August,8.4507,CADE,HP,107.7346329,93.41158214461355,1,-2.91,1.077346329,1.153332707,9.8213,1,1.1
2021_August_CECO_1.1,2021_August,6.3237,CECO,HP,131.0719132,74.47215246041966,1,-2.63,1.310719132,1.760012419,6.1569,1,1.1
2021_August_PIJE_1.1,2021_August,15.9291,PIJE,HP,108.3905416,62.06144106588517,1,-2.81,1.0839054160000001,1.746503783,20.05,1,1.1
2021_August_QUKE_1.1,2021_August,8.4974,QUKE,HP,61.28348721,42.281453382299546,1,-7.61,0.6128348721,1.449417707,9.3072,1,1.1
2021_August_ABCO_1.1,2021_August,13.5888,ABCO,HP,146.5561589,92.74561109475569,1,-2.44,1.4655615890000002,1.580195086,15.64,1,1.1
2021_August_ARPA_1.1,2021_August,9.8193,ARPA,HP,122.6295876,85.75851246329617,1,-2.19,1.226295876,1.429940703,13.0604,1,1.1
2021_August_CADE_1.1,2021_August,8.2832,CADE,HP,115.3332707,100,1,-0.19,1.153332707,1.153332707,9.51,1,1.1
