"","model.spp.gr.sample","model.spp.bins5lfm_gr.sample","individual","sample","round","model.spp.gr","model.spp.bins5lfm_gr","spp","model","mpa","lfm.notes","fh","ttfg","gti","tti","fd","gd","pfg","ignition","start.temp","temp.max","ignition.temp","prop.new","sample.wt","glow","year.month","year","month","dry.wt","fresh.wt","water.wt","site","lfm.outliers.out","lfm.NAs.imputed","gr","precip.2month","precip.2mo","season","prop.ignite","ros","bins5lfm_gr","individual.bins5lfm_gr","prop.ignite.bins5","hydration","bins5lfm","bins10lfm","bins20lfm","temp.change","gdw.gfw","gww.gdw","gdw.gww","dw.flam.sample","ww.flam.sample","gww.gdw.saturated","gdw.gww.saturated","RWC","RWD","max.mpa.sample"
"1","2016_December_EPI_ADFA_(60,70]_1","2016_December_EPI_ADFA_(65,70]_1","2016_December_ADFA_1",1,1,"2016_December_EPI_ADFA_(60,70]","2016_December_EPI_ADFA_(65,70]","ADFA","EPI",-0.5,"0",14,8,20,28,5,87,62,1,275.2,329.6,NA,100,0.516,1,"2016_December",2016,"December",0.3,0.501,0.201,"St. Marys",67,67,"(60,70]","2016_December",0.61,"Dry",100,2,"(65,70]","2016_December_EPI_ADFA_(65,70]_1",100,"moderate","(65,70]","(60,70]","(60,80]",54.4,0.598802395209581,0.67,1.49253731343284,0.308982035928144,0.207017964071856,1.144508671,0.175675675675676,58.5404040158644,41.4595959841356,-0.043
"2","2016_December_EPI_ADFA_(60,70]_2","2016_December_EPI_ADFA_(65,70]_2","2016_December_ADFA_2",2,1,"2016_December_EPI_ADFA_(60,70]","2016_December_EPI_ADFA_(65,70]","ADFA","EPI",-0.8,"0",6,22,24,46,2,91,65,1,278.9,296.1,NA,100,0.528,1,"2016_December",2016,"December",0.616,1.043,0.427,"St. Marys",69.31818182,69.31818182,"(60,70]","2016_December",0.61,"Dry",100,5,"(65,70]","2016_December_EPI_ADFA_(65,70]_2",100,"moderate","(65,70]","(60,70]","(60,80]",17.2,0.590604026845638,0.6931818182,1.44262295081967,0.311838926174497,0.216161073825503,1.125,0.454802259887006,61.6161616177778,38.3838383822222,-0.043
"3","2016_December_EPI_ADFA_(60,70]_3","2016_December_EPI_ADFA_(65,70]_3","2016_December_ADFA_3",3,1,"2016_December_EPI_ADFA_(60,70]","2016_December_EPI_ADFA_(65,70]","ADFA","EPI",-0.7,"0",5,15,26,41,3,101,72,1,276.9,282.1,NA,100,0.469,1,"2016_December",2016,"December",0.205,0.343,0.138,"St. Marys",67.31707317,67.31707317,"(60,70]","2016_December",0.61,"Dry",100,3.33333333333333,"(65,70]","2016_December_EPI_ADFA_(65,70]_3",100,"moderate","(65,70]","(60,70]","(60,80]",5.20000000000005,0.597667638483965,0.6731707317,1.48550724637681,0.28030612244898,0.18869387755102,1.124,0.32,59.8906344928826,40.1093655071174,-0.043
"4","2016_December_EPI_ADFA_(70,80]_4","2016_December_EPI_ADFA_(70,75]_4","2016_December_ADFA_4",4,1,"2016_December_EPI_ADFA_(70,80]","2016_December_EPI_ADFA_(70,75]","ADFA","EPI",-0.5,"0",11,18,18,36,7,85,60,1,280.1,327.3,NA,100,0.505,1,"2016_December",2016,"December",0.459,0.802,0.343,"St. Marys",74.72766885,74.72766885,"(70,80]","2016_December",0.61,"Dry",100,1.42857142857143,"(70,75]","2016_December_EPI_ADFA_(70,75]_4",100,"moderate","(70,75]","(70,80]","(60,80]",47.2,0.572319201995012,0.7472766885,1.33819241982507,0.289021197007481,0.215978802992519,1.063829787,0.94,70.2440087344537,29.7559912655463,-0.043
"5","2016_December_EPI_ADFA_(80,90]_5","2016_December_EPI_ADFA_(85,90]_5","2016_December_ADFA_5",5,1,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.4,"0",6,11,39,50,3,107,65,1,279.8,308.8,NA,100,0.498,1,"2016_December",2016,"December",0.4225,0.7945,0.372,"St. Marys",88.04733728,88.04733728,"(80,90]","2016_December",0.61,"Dry",100,3.33333333333333,"(85,90]","2016_December_EPI_ADFA_(85,90]_5",100,"moderate","(85,90]","(80,90]","(80,100]",29,0.53178099433606,0.8804733728,1.13575268817204,0.264826935179358,0.233173064820642,0.9144634526,1.09353741496599,96.2830576002398,3.71694239976017,-0.043
"6","2016_December_EPI_ADFA_(70,80]_6","2016_December_EPI_ADFA_(75,80]_6","2016_December_ADFA_6",6,1,"2016_December_EPI_ADFA_(70,80]","2016_December_EPI_ADFA_(75,80]","ADFA","EPI",-0.2,"0",6,39,16,55,3,122,103,1,279.6,307.1,NA,100,0.47,1,"2016_December",2016,"December",0.5375,0.9595,0.422,"St. Marys",78.51162791,78.51162791,"(70,80]","2016_December",0.61,"Dry",100,3.33333333333333,"(75,80]","2016_December_EPI_ADFA_(75,80]_6",100,"moderate","(75,80]","(70,80]","(60,80]",27.5,0.560187597707139,0.7851162791,1.27369668246445,0.263288170922355,0.206711829077645,0.9552238806,1.046875,82.1918604680244,17.8081395319756,-0.043
"7","2016_December_EPI_ADFA_(80,90]_1","2016_December_EPI_ADFA_(85,90]_1","2016_December_ADFA_1",1,2,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.3,"0",15,6,22,28,6,94,66,1,278.5,292.8,NA,100,0.492,1,"2016_December",2016,"December",0.144,0.373,0.229,"St. Marys",NA,87.5767548803138,"(80,90]","2016_December",0.61,"Dry",100,1.66666666666667,"(85,90]","2016_December_EPI_ADFA_(85,90]_1",100,"moderate","(85,90]","(80,90]","(80,100]",14.3,0.386058981233244,0.875767548803138,0.62882096069869,0.189941018766756,0.302058981233244,1.144508671,0.175675675675676,76.5190837774909,23.4809162225091,-0.043
"8","2016_December_EPI_ADFA_(80,90]_2","2016_December_EPI_ADFA_(85,90]_2","2016_December_ADFA_2",2,2,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.6,"0",8,10,24,34,2,84,58,1,274.1,NA,NA,100,0.533,1,"2016_December",2016,"December",0.189,0.464,0.275,"St. Marys",NA,86.2765420523759,"(80,90]","2016_December",0.61,"Dry",100,5,"(85,90]","2016_December_EPI_ADFA_(85,90]_2",100,"moderate","(85,90]","(80,90]","(80,100]",NA,0.407327586206897,0.862765420523759,0.687272727272727,0.217105603448276,0.315894396551724,1.125,0.454802259887006,76.6902596021119,23.3097403978881,-0.043
"9","2016_December_EPI_ADFA_(80,90]_3","2016_December_EPI_ADFA_(85,90]_3","2016_December_ADFA_3",3,2,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.4,"0",7,14,30,44,1,92,61,1,271.7,287.9,NA,100,0.471,1,"2016_December",2016,"December",0.2,0.471,0.271,"St. Marys",NA,87.1433506043345,"(80,90]","2016_December",0.61,"Dry",100,10,"(85,90]","2016_December_EPI_ADFA_(85,90]_3",100,"moderate","(85,90]","(80,90]","(80,100]",16.2,0.424628450106157,0.871433506043345,0.738007380073801,0.2,0.271,1.124,0.32,77.5296713561695,22.4703286438305,-0.043
"10","2016_December_EPI_ADFA_(60,70]_4","2016_December_EPI_ADFA_(65,70]_4","2016_December_ADFA_4",4,2,"2016_December_EPI_ADFA_(60,70]","2016_December_EPI_ADFA_(65,70]","ADFA","EPI",-0.4,"0",1,19,32,51,1,162,129,1,271.3,NA,NA,100,0.549,1,"2016_December",2016,"December",0.573,0.964,0.391,"St. Marys",68.23734729,68.23734729,"(60,70]","2016_December",0.61,"Dry",100,10,"(65,70]","2016_December_EPI_ADFA_(65,70]_4",100,"moderate","(65,70]","(60,70]","(60,80]",NA,0.594398340248963,0.6823734729,1.46547314578005,0.326324688796681,0.22267531120332,1.063829787,0.94,64.1431064667115,35.8568935332885,-0.043
