,bins10lfm,bins20lfm,binsname,bins5lfm,dry.wt,dw.flam.sample,fd,fh,fresh.wt,gd,gdw.gfw,gdw.gww,gdw.gww.saturated,glow,gr,gti,gww.gdw,gww.gdw.saturated,hydration,ignition,ignition.temp,individual,lfm.NAs.imputed,lfm.notes,lfm.outliers.out,max.mpa.sample,model,model.spp.gr,model.spp.gr.sample,month,mpa,pfg,precip.2mo,precip.2month,prop.ignite,prop.new,ros,round,RWC,RWD,sample,sample.wt,season,site,spp,start.temp,temp.change,temp.max,ttfg,tti,water.wt,ww.flam.sample,year,year.month,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti
418,"(0,10]","(0,20]",0,"(5,10]",0.4842,0.501069142,2,6.5,0.5224,113,0.926875957,12.67539267,0.922613065,1,"(0,10]",19,0.078893019,1.083877996,dry,1,284.1,2020_September_CEME_2.1,7.889301941,0,7.889301941,-0.641,EPI,"2020_September_EPI_CEME_(0,10]","2020_September_EPI_CEME_(0,10]_2.1",September,6.921,92,0.01,2020_September,100,100,5,7,7.278773045,92.72122696,2.1,0.5406,Dry,Painted Caves,CEME,265.3,65.2,330.5,27,46,0.0382,0.039530858,2020,2020_September,9.31457568,0.522964977,12.97226161,225.5177788,3.991465111,183.6073951,53.88477899,91.80369755,37.91891855
21,"(110,120]","(100,120]",100,"(110,115]",0.25,0.229755179,5,7,0.531,83,0.470809793,0.889679715,0.32,1,"(110,120]",25,1.124,1.355,hydrated,1,265.1,2016_December_ADFA_3,112.4,0,112.4,-0.4,EPI,"2016_December_EPI_ADFA_(110,120]","2016_December_EPI_ADFA_(110,120]_3",December,0.6,53,0.61,2016_December,100,100,2,4,82.95202952,17.04797048,3,0.488,Dry,St. Marys,ADFA,271.9,49.8,321.7,15,40,0.281,0.258244821,2016,2016_December,10.02544661,0.505959643,30.46721311,361.2540984,21.76229508,230.6803279,65.28688525,174.0983607,108.8114754
22,"(100,110]","(100,120]",100,"(105,110]",0.141,0.248082474,5,10,0.291,102,0.484536082,0.94,0.94,1,"(100,110]",19,1.063829787,1.063829787,hydrated,1,265.1,2016_December_ADFA_4,106.3829787,0,106.3829787,-0.4,EPI,"2016_December_EPI_ADFA_(100,110]","2016_December_EPI_ADFA_(100,110]_4",December,0.8,78,0.61,2016_December,100,100,2,4,100,0,4,0.512,Dry,St. Marys,ADFA,277.2,28.8,306,12,31,0.15,0.263917526,2016,2016_December,11.98263716,0.505959643,40.30917553,411.1535904,20.15458777,314.4115691,48.37101064,124.9584441,76.58743351
62,"(100,110]","(100,120]",100,"(105,110]",0.2715,0.221761394,8,11,0.5595,85,0.485254692,0.942708333,0.45480226,1,"(100,110]",16,1.060773481,1.455026455,hydrated,1,265.1,2016_December_ADFA_2,106.0773481,0,106.0773481,-0.6,EPI,"2016_December_EPI_ADFA_(100,110]","2016_December_EPI_ADFA_(100,110]_2",December,4.1,61,0.61,2016_December,100,100,1.25,11,72.90406833,27.09593167,2,0.457,Dry,St. Marys,ADFA,267.5,61,328.5,3,19,0.288,0.235238606,2016,2016_December,15.13820862,0.505959643,49.60286277,383.2948487,36.07480929,275.0704208,13.52805348,85.67767206,72.14961858
67,"(110,120]","(100,120]",100,"(110,115]",0.2495,0.246442978,7,15,0.5305,88,0.470311027,0.887900356,0.175675676,1,"(110,120]",13,1.126252505,1.22513089,hydrated,1,265.1,2016_December_ADFA_1,112.6252505,0,112.6252505,-0.3,EPI,"2016_December_EPI_ADFA_(110,120]","2016_December_EPI_ADFA_(110,120]_1",December,4.2,68,0.61,2016_December,100,100,1.428571429,12,91.92915746,8.070842537,1,0.524,Dry,St. Marys,ADFA,275,105,380,7,20,0.281,0.277557022,2016,2016_December,15.84917254,0.505959643,60.86600682,357.0805734,28.40413652,275.9258976,28.40413652,81.15467576,52.75053925
69,"(100,110]","(100,120]",100,"(100,105]",0.2925,0.24535443,4,16,0.5925,72,0.493670886,0.975,0.32,1,"(100,110]",12,1.025641026,1.355,hydrated,1,265.1,2016_December_ADFA_3,102.5641026,0,102.5641026,-0.4,EPI,"2016_December_EPI_ADFA_(100,110]","2016_December_EPI_ADFA_(100,110]_3",December,4,56,0.61,2016_December,100,100,2.5,12,75.69306465,24.30693535,3,0.497,Dry,St. Marys,ADFA,272.1,26.7,298.8,12,24,0.3,0.25164557,2016,2016_December,14.8654029,0.505959643,65.21178352,293.4530258,16.30294588,228.2412423,48.90883764,97.81767528,48.90883764
73,"(110,120]","(100,120]",100,"(110,115]",0.173,0.237350404,11,15,0.371,84,0.466307278,0.873737374,0.175675676,1,"(110,120]",8,1.144508671,1.22513089,hydrated,1,265.1,2016_December_ADFA_1,114.4508671,0,114.4508671,-0.3,EPI,"2016_December_EPI_ADFA_(110,120]","2016_December_EPI_ADFA_(110,120]_1",December,4.7,65,0.61,2016_December,100,100,0.909090909,13,93.41929751,6.580702491,1,0.509,Dry,St. Marys,ADFA,275.2,19.1,294.3,16,24,0.198,0.271649596,2016,2016_December,14.64481567,0.505959643,63.19770149,353.9071283,46.34498109,273.8567065,67.41088159,101.1163224,33.70544079
98,"(110,120]","(100,120]",100,"(110,115]",0.08,0.227764706,6,17,0.17,73,0.470588235,0.888888889,0.45480226,1,"(110,120]",4,1.125,1.455026455,hydrated,1,265.1,2016_December_ADFA_2,112.5,0,112.5,-0.6,EPI,"2016_December_EPI_ADFA_(110,120]","2016_December_EPI_ADFA_(110,120]_2",December,8.4,63,0.61,2016_December,100,100,1.666666667,17,77.31818182,22.68181818,2,0.484,Dry,St. Marys,ADFA,278.2,59.3,337.5,12,16,0.09,0.256235294,2016,2016_December,17.90728824,0.505959643,74.63842975,320.5061983,26.34297521,276.6012397,52.68595041,70.24793388,17.56198347
164,"(100,110]","(100,120]",100,"(105,110]",0.1522,0.1802206,8,7,0.4932,128,0.308596918,0.446334311,0.326428333,1,"(100,110]",27,1.095252336,1.480726086,hydrated,1,278.8,2019_December_CEME_8,109.5252336,0,NA,-0.317,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_8",December,0.317,93,3.69,2019_December,50,100,1.25,1,73.96724796,26.03275204,8,0.584,Wet,St. Marys,CEME,265.3,23.45,297.5,9,36,0.341,0.4037794,2019,2019_December,10.5077705,0.522964977,38.8412867,710.2406711,44.39004194,516.0342376,49.93879718,199.7551887,149.8163916
166,"(100,110]","(100,120]",100,"(100,105]",0.2804,0.257052661,4,9,0.7254,163,0.386545354,0.63011236,0.54358655,1,"(100,110]",44,1.033201068,1.423709586,hydrated,1,278.8,2019_December_CEME_6,103.3201068,0,NA,-0.31,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_6",December,1.39,115,3.69,2019_December,50,100,2.5,2,72.57105506,27.42894494,6,0.665,Wet,St. Marys,CEME,274.5,33.1,307.6,30,74,0.445,0.407947339,2019,2019_December,8.075258112,0.522964977,35.01228106,634.1113125,15.5610138,447.3791469,116.7076035,287.8787554,171.1711518
167,"(100,110]","(100,120]",100,"(105,110]",0.1943,0.238814441,9,15,0.5443,149,0.356972258,0.555142857,0.51950188,1,"(100,110]",33,1.055176354,1.234106208,hydrated,1,278.8,2019_December_CEME_9,105.5176354,0,NA,-0.362,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_9",December,1.01,107,3.69,2019_December,50,100,1.111111111,2,85.50125967,14.49874033,9,0.669,Wet,St. Marys,CEME,276.4,-14.5,261.9,24,57,0.35,0.430185559,2019,2019_December,9.998510845,0.522964977,62.81027213,623.9153698,37.68616328,448.0466078,100.4964354,238.6790341,138.1825987
176,"(100,110]","(100,120]",100,"(105,110]",0.3278,0.321155405,7,9,0.6808,153,0.481492362,0.928611898,0.61570997,1,"(100,110]",10,1.076876144,1.237289451,hydrated,1,278.8,2019_December_CEME_5,107.6876144,0,107.6876144,-0.25,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_5",December,4.74,136,3.69,2019_December,50,100,1.428571429,5,87.03510267,12.96489733,5,0.667,Wet,St. Marys,CEME,256.1,35.5,291.6,38,48,0.353,0.345844595,2019,2019_December,9.669454212,0.522964977,28.02381604,476.4048726,21.79630136,423.4709979,118.3227788,149.4603522,31.13757337
