spp,n,sd,bottle_number,unique_id,age,pod,site,lfm,date,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,month,timing,wettest_lfm,rwc,rwd,water_potential,swc,tlp
ABCO,750,0.5090607566637178,51,ABCO_new_1_1.1,new,1.1,1,136.7987918,2021-04-24,-0.79,-0.76,NA,-0.77,-0.76,NA,-0.775,-0.765,tree,114,CZO,4,spring,302.6809576,45.1957047065983,54.8042952934017,-0.765,3.026809576,-2.2704244956133333
ABCO,750,0.5090607566637178,2,ABCO_old_1_1.1,old,1.1,1,117.7724041,2021-04-24,-0.79,-0.76,NA,-0.77,-0.76,NA,-0.775,-0.765,tree,114,CZO,4,spring,203.1782212,57.96507293174393,42.03492706825607,-0.765,2.031782212,-2.2704244956133333
ABCO,750,0.5090607566637178,40,ABCO_old_1_1.4,old,1.4,1,125.6083267,2021-09-16,-1.84,-2.09,-1.97,-2.27,-2.18,NA,-1.966666667,-2.225,tree,259,CZO,9,fall,204.3210028,61.47597406956344,38.52402593043656,-2.225,2.043210028,-2.2704244956133333
ABCO,750,0.5090607566637178,43,ABCO_new_2_2.1,new,2.1,2,203.1806205,2021-07-31,-1.07,-1.06,NA,-1.85,-1.8,NA,-1.065,-1.825,tree,212,CZO,7,spring,488.3069661,41.60919966445672,58.39080033554328,-1.825,4.883069661,-2.2704244956133333
ABCO,750,0.5090607566637178,20,ABCO_old_2_2.1,old,2.1,2,130.8678575,2021-07-31,-1.07,-1.06,NA,-1.85,-1.8,NA,-1.065,-1.825,tree,212,CZO,7,spring,215.8320152,60.63412667427108,39.36587332572892,-1.825,2.158320152,-2.2704244956133333
ABCO,750,0.5090607566637178,56,ABCO_new_1_1.3,new,1.3,1,121.9488833,2021-05-15,-0.38,-0.48,NA,-0.77,-0.82,NA,-0.43,-0.795,tree,135,CZO,5,spring,316.0726266,38.58255129898681,61.41744870101319,-0.795,3.1607262659999997,-2.2704244956133333
ABCO,750,0.5090607566637178,8,ABCO_old_1_1.3,old,1.3,1,100.5980322,2021-05-15,-0.38,-0.48,NA,-0.77,-0.82,NA,-0.43,-0.795,tree,135,CZO,5,spring,202.7640786,49.613340239842664,50.386659760157336,-0.795,2.027640786,-2.2704244956133333
ABCO,750,0.5090607566637178,42,ABCO_old_1_1.2,old,1.2,1,117.0055022,2021-07-08,-1.01,-0.99,-1.1,-2.27,-2.13,-2.01,-1.033333333,-2.136666667,tree,189,CZO,7,spring,NA,NA,NA,-2.136666667,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,55,ABCO_new_1_1.2,new,1.2,1,140.4427031,2021-04-24,-0.79,-0.69,NA,-0.98,-0.96,NA,-0.74,-0.97,tree,114,CZO,4,spring,NA,NA,NA,-0.97,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,6,ABCO_old_1_1.2,old,1.2,1,127.8647084,2021-04-24,-0.79,-0.69,NA,-0.98,-0.96,NA,-0.74,-0.97,tree,114,CZO,4,spring,NA,NA,NA,-0.97,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,20,ABCO_old_2_2.1,old,2.1,2,135.839217,2021-07-09,-0.83,-0.86,NA,-1.78,-1.84,NA,-0.845,-1.81,tree,190,CZO,7,spring,215.8320152,62.93747332809966,37.06252667190034,-1.81,2.158320152,-2.2704244956133333
ABCO,750,0.5090607566637178,46,ABCO_old_2_2.3,old,2.3,2,102.1520766,2021-06-15,-0.69,-0.8,-0.67,-1.43,-2.03,-1.89,-0.72,-1.783333333,tree,166,CZO,6,spring,212.2914377,48.118792593206884,51.881207406793116,-1.783333333,2.122914377,-2.2704244956133333
ABCO,750,0.5090607566637178,11,ABCO_old_1_1.4,old,1.4,1,120.3591835,2021-08-19,-1.92,-1.86,NA,-2.01,-1.99,NA,-1.89,-2,tree,231,CZO,8,fall,204.3210028,58.90690719534781,41.09309280465219,-2,2.043210028,-2.2704244956133333
ABCO,750,0.5090607566637178,47,ABCO_new_2_2.3,new,2.3,2,193.4981399,2021-07-31,-0.69,-0.73,NA,-1.77,-1.83,NA,-0.71,-1.8,tree,212,CZO,7,spring,302.201662,64.02947575450463,35.97052424549537,-1.8,3.02201662,-2.2704244956133333
ABCO,750,0.5090607566637178,11,ABCO_old_1_1.4,old,1.4,1,92.64854465,2021-05-15,-0.79,-0.78,NA,-1.55,-1.61,NA,-0.785,-1.58,tree,135,CZO,5,spring,204.3210028,45.34460157318688,54.65539842681312,-1.58,2.043210028,-2.2704244956133333
ABCO,750,0.5090607566637178,8,ABCO_old_1_1.3,old,1.3,1,130.8164042,2021-07-08,-0.95,-0.96,NA,-1.96,-1.85,-1.88,-0.955,-1.896666667,tree,189,CZO,7,spring,202.7640786,64.51655791461278,35.483442085387225,-1.896666667,2.027640786,-2.2704244956133333
ABCO,750,0.5090607566637178,7,ABCO_new_1_1.3,new,1.3,1,124.6264749,2021-04-24,-0.58,-0.69,NA,-1.12,-1.13,NA,-0.635,-1.125,tree,114,CZO,4,spring,316.0726266,39.42969571285235,60.57030428714765,-1.125,3.1607262659999997,-2.2704244956133333
ABCO,750,0.5090607566637178,8,ABCO_old_1_1.3,old,1.3,1,115.9194827,2021-04-24,-0.58,-0.69,NA,-1.12,-1.13,NA,-0.635,-1.125,tree,114,CZO,4,spring,202.7640786,57.16963453308638,42.83036546691362,-1.125,2.027640786,-2.2704244956133333
ABCO,750,0.5090607566637178,28,ABCO_new_2_2.4,new,2.4,2,160.1263334,2021-07-31,-1.11,-1.14,NA,-1.84,-1.81,NA,-1.125,-1.825,tree,212,CZO,7,spring,498.3113674,32.133791014136115,67.86620898586389,-1.825,4.983113674,-2.2704244956133333
ABCO,750,0.5090607566637178,29,ABCO_old_2_2.4,old,2.4,2,123.4439919,2021-07-31,-1.11,-1.14,NA,-1.84,-1.81,NA,-1.125,-1.825,tree,212,CZO,7,spring,NA,NA,NA,-1.825,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,62,ABCO_new_2_2.3,new,2.3,2,131.6718142,2021-04-24,-0.78,-0.76,NA,-1.59,-1.55,NA,-0.77,-1.57,tree,114,CZO,4,spring,302.201662,43.57084382944261,56.42915617055739,-1.57,3.02201662,-2.2704244956133333
ABCO,750,0.5090607566637178,15,ABCO_new_1_1.5,new,1.5,1,42.18603814,2021-05-15,-0.88,-0.93,NA,-1.84,-1.81,NA,-0.905,-1.825,tree,135,CZO,5,spring,133.5897057,31.578809099809252,68.42119090019075,-1.825,1.335897057,-2.2704244956133333
ABCO,750,0.5090607566637178,50,ABCO_old_1_1.5,old,1.5,1,205.0550563,2021-05-15,-0.88,-0.93,NA,-1.84,-1.81,NA,-0.905,-1.825,tree,135,CZO,5,spring,205.0550563,100,0,-1.825,2.050550563,-2.2704244956133333
ABCO,750,0.5090607566637178,11,ABCO_old_1_1.4,old,1.4,1,124.2991095,2021-07-08,-1.31,-1.24,NA,-2.22,-2.32,NA,-1.275,-2.27,tree,189,CZO,7,spring,204.3210028,60.83520920346618,39.16479079653382,-2.27,2.043210028,-2.2704244956133333
ABCO,750,0.5090607566637178,12,ABCO_new_1_1.4,new,1.4,1,124.2028867,2021-04-24,-0.69,-0.64,NA,-0.93,-0.94,NA,-0.665,-0.935,tree,114,CZO,4,spring,267.8534393,46.36971883750608,53.63028116249392,-0.935,2.678534393,-2.2704244956133333
ABCO,750,0.5090607566637178,93,ABCO_old_1_1.4,old,1.4,1,117.1928733,2021-04-24,-0.69,-0.64,NA,-0.93,-0.94,NA,-0.665,-0.935,tree,114,CZO,4,spring,204.3210028,57.3572328316705,42.6427671683295,-0.935,2.043210028,-2.2704244956133333
ABCO,750,0.5090607566637178,48,ABCO_new_2_2.4,new,2.4,2,118.928846,2021-04-24,-0.83,-0.8,NA,-1.54,-1.58,NA,-0.815,-1.56,tree,114,CZO,4,spring,498.3113674,23.86637226851269,76.13362773148731,-1.56,4.983113674,-2.2704244956133333
ABCO,750,0.5090607566637178,29,ABCO_old_2_2.4,old,2.4,2,112.6673354,2021-04-24,-0.83,-0.8,NA,-1.54,-1.58,NA,-0.815,-1.56,tree,114,CZO,4,spring,NA,NA,NA,-1.56,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,3,ABCO_old_1_1.1,old,1.1,1,126.9074131,2021-08-19,-1.1,-1.22,-1.23,-1.93,-1.85,NA,-1.183333333,-1.89,tree,231,CZO,8,fall,203.1782212,62.461130110533716,37.538869889466284,-1.89,2.031782212,-2.2704244956133333
ABCO,750,0.5090607566637178,59,ABCO_new_1_1.6,new,1.6,1,117.0487395,2021-05-15,-0.77,-0.73,NA,-1.5,-1.53,NA,-0.75,-1.515,tree,135,CZO,5,spring,249.5819519,46.89791814229336,53.10208185770664,-1.515,2.495819519,-2.2704244956133333
ABCO,750,0.5090607566637178,16,ABCO_old_1_1.6,old,1.6,1,111.0665112,2021-05-15,-0.77,-0.73,NA,-1.5,-1.53,NA,-0.75,-1.515,tree,135,CZO,5,spring,204.9281856,54.197772197520486,45.802227802479514,-1.515,2.049281856,-2.2704244956133333
ABCO,750,0.5090607566637178,14,ABCO_old_1_1.5,old,1.5,1,141.281734,2021-07-08,-1.04,-0.97,NA,-2.03,-1.96,NA,-1.005,-1.995,tree,189,CZO,7,spring,205.0550563,68.89941489338443,31.10058510661557,-1.995,2.050550563,-2.2704244956133333
ABCO,750,0.5090607566637178,58,ABCO_new_1_1.5,new,1.5,1,131.0974719,2021-04-24,-0.86,-0.39,NA,-1.14,-1.09,NA,-0.625,-1.115,tree,114,CZO,4,spring,133.5897057,98.13441178948565,1.8655882105143462,-1.115,1.335897057,-2.2704244956133333
ABCO,750,0.5090607566637178,14,ABCO_old_1_1.5,old,1.5,1,126.9409766,2021-04-24,-0.86,-0.39,NA,-1.14,-1.09,NA,-0.625,-1.115,tree,114,CZO,4,spring,205.0550563,61.90580173467296,38.09419826532704,-1.115,2.050550563,-2.2704244956133333
ABCO,750,0.5090607566637178,26,ABCO_old_2_2.3,old,2.3,2,149.7178921,2021-09-17,-1.51,-1.33,-1.46,-1.86,-1.87,NA,-1.433333333,-1.865,tree,260,CZO,9,fall,212.2914377,70.52469648426147,29.47530351573853,-1.865,2.122914377,-2.2704244956133333
ABCO,750,0.5090607566637178,55,ABCO_new_1_1.2,new,1.2,1,161.8935469,2021-08-19,-1.61,-1.59,NA,-2.04,-2.05,NA,-1.6,-2.045,tree,231,CZO,8,fall,NA,NA,NA,-2.045,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,109,ABCO_old_1_1.2,old,1.2,1,133.7093559,2021-08-19,-1.61,-1.59,NA,-2.04,-2.05,NA,-1.6,-2.045,tree,231,CZO,8,fall,NA,NA,NA,-2.045,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,33,ABCO_old_1_1.2,old,1.2,1,107.0244153,2021-06-16,-0.75,-0.86,-0.83,-2.06,-1.86,-2,-0.813333333,-1.973333333,tree,167,CZO,6,spring,NA,NA,NA,-1.973333333,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,48,ABCO_new_2_2.4,new,2.4,2,498.3113674,2021-09-17,-1.74,-1.69,NA,-1.9,-1.96,NA,-1.715,-1.93,tree,260,CZO,9,fall,498.3113674,100,0,-1.93,4.983113674,-2.2704244956133333
ABCO,750,0.5090607566637178,43,ABCO_old_2_2.1,old,2.1,2,122.6946888,2021-06-15,-0.73,-0.74,NA,-1.41,-1.39,NA,-0.735,-1.4,tree,166,CZO,6,spring,215.8320152,56.84730723859729,43.15269276140271,-1.4,2.158320152,-2.2704244956133333
