individual,spp,year_month,month,timing,dry_wt,model,rwc,lfm,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample,location,pos_mpa,water_potential,lfm_tlp,sd_lfm,tlp,sd_tlp,rwc_tlp,sd_rwc,po,sd_po,e,sd_e,swc_sat,rwc_new
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,7.8193,HP,76.8231453062037,143.9111262,-0.208,-2.187,1.439111262,1.873278237,8.6678,1,1.1,seki,2.187,-2.187,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,74.11856705167266
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,12.6961,HP,72.6935786208037,136.1752988,-0.208,-3.01,1.361752988,1.873278237,13.3797,1,1.1,seki,3.01,-3.01,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,70.13438280555518
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,7.7071,HP,54.5508994775131,102.1890128,-0.208,-3.62,1.021890128,1.873278237,8.1926,1,1.1,seki,3.62,-3.62,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,52.6304212687138
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,7.6714,HP,89.3959743365128,167.4635332,-0.208,-0.987,1.674635332,1.873278237,8.498,1,1.1,seki,0.987,-0.987,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,86.24876645704556
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,7.6714,EPI,89.3959743365128,167.4635332,-0.208,-0.987,1.674635332,1.873278237,8.498,1,1.1,seki,0.987,-0.987,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,86.24876645704556
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,12.8031,HP,64.5282127408818,120.8792966,-0.208,-2.509,1.208792966,1.873278237,13.5592,1,1.1,seki,2.509,-2.509,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,62.25648069597365
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,7.8193,EPI,76.8231453062037,143.9111262,-0.208,-2.187,1.439111262,1.873278237,8.6678,1,1.1,seki,2.187,-2.187,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,74.11856705167266
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,7.646,HP,100,187.3278237,-0.208,-0.208,1.873278237,1.873278237,8.462,1,1.1,seki,0.208,-0.208,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,96.47947471591927
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,7.646,EPI,100,187.3278237,-0.208,-0.208,1.873278237,1.873278237,8.462,1,1.1,seki,0.208,-0.208,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,96.47947471591927
2020_October_ABCO_1.1,ABCO,2020_October,10,fall,7.6631,HP,97.4797964302619,182.6067812,-0.208,-0.698,1.826067812,1.873278237,8.4925,1,1.1,seki,0.698,-0.698,151.34199667857143,7.261369466068723,-2.130224319261905,0.21585088031851046,88.80837585547619,1.8048371709824813,-1.4764827213333334,0.29941103164709826,13.80290864007143,3.4092303723697452,1.9416339511754268,94.04799555006414
