flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,abco,lfm,189.1088499021942,14.623742715362809,NA
 fh,random,abco,lfm,200.37082521500002,28.963089107998105,NA
 gd,random,abco,lfm,200.57258359,20.522747722759732,NA
 prop ignite,random,abco,lfm,64.45263880918007,15.11540243936673,NA
 temp change,random,abco,lfm,105.65019184624093,17.062835119268026,NA
 tti,random,abco,lfm,199.95089748020885,12.395399321248757,NA
 fd,segmented,abco,lfm,135.77887700457524,20.249725848624966,1
 fh,segmented,abco,lfm,105.34654201995309,29.68290095785421,0.9612153175977003
 gd,segmented,abco,lfm,135.94809195495517,23.7611210207705,0.5902592370351096
 prop ignite,segmented,abco,lfm,125.08512559455629,10.755430789150116,0.08968277317051618
 temp change,segmented,abco,lfm,115.41940691560953,8.9539183292165,0.9465111764105347
 tti,segmented,abco,lfm,176.29796019231622,15.68215642773109,0.5994348251296147
 fd,random,abco,mpa,0.19240000000000002,0.059706239519020016,NA
 fh,random,abco,mpa,1.4649345407027146,0.5059784150064822,NA
 gd,random,abco,mpa,0.192,0.5310516591794392,NA
 prop ignite,random,abco,mpa,3.1880631143264155,0.3648004401039137,NA
 temp change,random,abco,mpa,0.19240000000000002,0.05691555874543536,NA
 tti,random,abco,mpa,0.19240000000000002,0.13885239095801657,NA
 fd,segmented,abco,mpa,0.26099989051141925,0.15758710839865872,0.9176099533603095
 fh,segmented,abco,mpa,1.6099999322815595,0.6610881116975205,0.5874332198597039
 gd,segmented,abco,mpa,2.5599987938404682,0.6716745946497422,1
 prop ignite,segmented,abco,mpa,1.8943587952613123,0.49268356447323547,0.8449711721767309
 temp change,segmented,abco,mpa,2.6370000423359468,0.45917942589473537,0.19205580000567174
 tti,segmented,abco,mpa,0.3759931347087011,0.3209125068630872,0.798096348130328
