flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,arpa,lfm,109.77775574065055,8.4349004488697,NA
 fh,random,arpa,lfm,156.90998657999998,15.215570813005328,NA
 gd,random,arpa,lfm,62.56424555157334,13.667101976671747,NA
 prop ignite,random,arpa,lfm,62.41907963275335,8.31948619140289,NA
 temp change,random,arpa,lfm,139.72623085660754,7.999041377083219,NA
 tti,random,arpa,lfm,181.41703869884196,4.464227067087824,NA
 fd,segmented,arpa,lfm,109.77515731201753,9.019099582696482,0.5430281734298468
 fh,segmented,arpa,lfm,156.90998657999998,15.258399611864322,1
 gd,segmented,arpa,lfm,67.42136144433083,18.760183173477763,0.4321102920002121
 prop ignite,segmented,arpa,lfm,71.0605001090918,12.693291472862658,0.14158604272960967
 temp change,segmented,arpa,lfm,145.16290658026506,12.67944257026438,0.3476840097643318
 tti,segmented,arpa,lfm,144.48777165050416,17.257452073324988,0.6147034568031571
 fd,random,arpa,mpa,0.1243,0.05856636678085609,NA
 fh,random,arpa,mpa,0.1152,0.11012103903654967,NA
 gd,random,arpa,mpa,0.12180000000000002,0.047545491811021794,NA
 prop ignite,random,arpa,mpa,0.12015,0.21373304992236358,NA
 temp change,random,arpa,mpa,2.281920426132576,0.4822136922704952,NA
 tti,random,arpa,mpa,0.1243,0.07589391682974633,NA
 fd,segmented,arpa,mpa,1.2120012612265552,1.2460376411831717,0.13577353614000517
 fh,segmented,arpa,mpa,2.6500003402383343,1.3395828604923943,0.19570848286009382
 gd,segmented,arpa,mpa,0.17000003530381116,0.06459485398953345,0.6465245615807966
 prop ignite,segmented,arpa,mpa,1.9539972972013566,1.5972773840145107,1
 temp change,segmented,arpa,mpa,2.529998893722767,1.226810498120973,0.9470180939960413
 tti,segmented,arpa,mpa,0.16000000857358346,0.09064533795180328,0.9737850553488179
