flam_metric,analysis,spp,water_variable,psi,st_err,p_value
 fd,random,pije,lfm,166.64673501585966,8.115405025411434,NA
 fh,random,pije,lfm,173.323864475,12.972435152168487,NA
 gd,random,pije,lfm,158.07194566094864,17.665210460809405,NA
 prop ignite,random,pije,lfm,112.53569005092812,7.013399606969937,NA
 temp change,random,pije,lfm,155.43138997465442,14.074142378881527,NA
 tti,random,pije,lfm,170.69817585500002,37.89078311753501,NA
 fd,segmented,pije,lfm,156.93812013412287,12.350919968605874,0.5686473746309272
 fh,segmented,pije,lfm,158.50522133889325,16.027406130563723,0.37020154720042714
 gd,segmented,pije,lfm,158.04415547720566,15.604603550878355,0.8821131861657698
 prop ignite,segmented,pije,lfm,88.859386717,13.457509169956728,0.00800425347474734
 temp change,segmented,pije,lfm,89.80632228099999,18.930848509543143,0.8137817447312367
 tti,segmented,pije,lfm,168.50802731419364,32.389895716905656,0.13711147662449188
 fd,random,pije,mpa,0.33765,0.2575188451628047,NA
 fh,random,pije,mpa,0.3325,0.1961456099529565,NA
 gd,random,pije,mpa,0.3367,0.7255456574774882,NA
 prop ignite,random,pije,mpa,0.33490000000000003,0.4137079396160673,NA
 temp change,random,pije,mpa,2.7922522270837655,0.42183212914956136,NA
 tti,random,pije,mpa,0.3361,0.19208591830686175,NA
 fd,segmented,pije,mpa,1.4199891870838932,1.0133223385720826,0.7992250120631219
 fh,segmented,pije,mpa,2.330000071842917,0.7261729803543383,1
 gd,segmented,pije,mpa,4.070995551551107,1.2251024848920653,1
 prop ignite,segmented,pije,mpa,3.9619999580274343,0.3821282682783469,0.003421693146473196
 temp change,segmented,pije,mpa,2.66000063708518,0.491953139251012,0.5501555905740121
 tti,segmented,pije,mpa,0.34998826246904885,0.10434603325275063,0.31689601067901196
