full_name,lfm,mpa
Abies concolor,162.1785962,-0.42
Abies concolor,178.2877142,-1.61
Abies concolor,167.2043023,-2.14
Abies concolor,201.8732493,-2.12
Abies concolor,198.9374419,-2.38
Abies concolor,187.0168753,-2.38
Abies concolor,162.739726,-2.65
Abies concolor,166.3409338,-2.79
Abies concolor,135.3348159,-3.59
Abies concolor,205.2643205,-0.32
Abies concolor,210.1469365,-0.701
Abies concolor,188.1926121,-2.37
Abies concolor,175.3819444,-2.79
Abies concolor,174.0766551,-2.58
Abies concolor,104.6282723,-3.04
Abies concolor,145.0300382,-3.1
Abies concolor,187.6981582,-1.16
Abies concolor,173.4779316,-1.84
Abies concolor,169.922875,-2.01
Abies concolor,206.6450567,-2.56
Abies concolor,169.1472868,-3.14
Abies concolor,191.0258443,-3.03
Abies concolor,137.8303199,-2.84
Abies concolor,132.9084617,-3.78
Abies concolor,175.3002493,-3.67
Abies concolor,207.7737722,-0.2
Abies concolor,177.6603512,-1.64
Abies concolor,141.3863306,-1.97
Abies concolor,154.3664384,-2.67
Abies concolor,158.4390454,-2.29
Abies concolor,177.4747793,-2.49
Abies concolor,145.0517661,-2.61
Abies concolor,148.1742932,-3.05
Abies concolor,126.2844117,-4.1
Abies concolor,189.6153846,-0.16
Abies concolor,205.0323019,-1.201
Abies concolor,140.3555219,-1.85
Abies concolor,116.0660009,-2.72
Abies concolor,128.9834322,-3.53
Abies concolor,106.3474692,-2.85
Abies concolor,94.81403876,-4.11
Abies concolor,103.1875942,-5
Abies concolor,184.3627111,-0.76
Abies concolor,198.6086394,-1.74
Abies concolor,144.6277719,-2.1
Abies concolor,134.08354,-2.57
Abies concolor,193.2124789,-2.47
Abies concolor,142.962963,-3.59
Abies concolor,137.5931842,-3.57
Abies concolor,64.02977324,-2.98
Abies concolor,200.5041275,-0.507
Abies concolor,195.2304823,-2.15
Abies concolor,127.5502008,-2.48
Abies concolor,146.6471647,-2.63
Abies concolor,180.2199504,-2.81
Abies concolor,164.8465608,-3.01
Abies concolor,130.7855626,-3.49
Abies concolor,122.6068861,-4.22
Abies concolor,96.00725953,-4.15
Abies concolor,204.3324143,-0.376
Abies concolor,165.5278671,-1.85
Abies concolor,171.639314,-2.25
Abies concolor,134.8829649,-2.82
Abies concolor,156.6975735,-3.23
Abies concolor,130.9961608,-2.58
Abies concolor,131.8219983,-3.57
Abies concolor,122.1341688,-6.56
Abies concolor,94.69633066,-3.67
Abies concolor,204.6369576,-0.35
Abies concolor,181.6336498,-1.45
Abies concolor,204.7480971,-1.87
Abies concolor,179.6232339,-2.83
Abies concolor,202.7293578,-2.24
Abies concolor,181.5919108,-2.63
Abies concolor,132.9230027,-2.94
Abies concolor,118.0126404,-3.3
Abies concolor,199.827175,-0.58
Abies concolor,190.20761,-1.04
Abies concolor,191.5220734,-2.27
Abies concolor,183.1168831,-2.35
Abies concolor,182.2355289,-2.59
Abies concolor,132.3705926,-3.04
Abies concolor,82.19792543,-3.01
Abies concolor,68.47532531,-3.9
Arctostaphylos patula,157.5600044,-0.41
Arctostaphylos patula,109.2073083,-3.35
Arctostaphylos patula,150.6759752,-2.48
Arctostaphylos patula,120.0689655,-2.9
Arctostaphylos patula,126.9057003,-2.78
Arctostaphylos patula,97.76691332,-3.72
Arctostaphylos patula,88.32599119,-4.22
Arctostaphylos patula,82.15291541,-4.63
Arctostaphylos patula,83.25486503,-4.63
Arctostaphylos patula,77.78140649,-2.16
Arctostaphylos patula,150.4260837,-0.18
Arctostaphylos patula,164.7253077,-0.31
Arctostaphylos patula,147.8250478,-2.25
Arctostaphylos patula,140.4229789,-2.35
Arctostaphylos patula,119.5346916,-2.8
Arctostaphylos patula,74.10898061,-4.26
Arctostaphylos patula,102.9557974,-3.35
Arctostaphylos patula,99.54611474,-6.79
Arctostaphylos patula,55.59313844,-6.79
Arctostaphylos patula,157.7175052,-0.19
Arctostaphylos patula,148.4481648,-2.15
