"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"1","2016_December_ADFA_1","2016_December",0.3,"ADFA","EPI",67,58.5404040158644,-0.043,-0.5,0.67,1.144508671,0.501,"St. Marys",1
"2","2016_December_ADFA_2","2016_December",0.616,"ADFA","EPI",69.31818182,61.6161616177778,-0.043,-0.8,0.6931818182,1.125,1.043,"St. Marys",2
"3","2016_December_ADFA_3","2016_December",0.205,"ADFA","EPI",67.31707317,59.8906344928826,-0.043,-0.7,0.6731707317,1.124,0.343,"St. Marys",3
"4","2016_December_ADFA_4","2016_December",0.459,"ADFA","EPI",74.72766885,70.2440087344537,-0.043,-0.5,0.7472766885,1.063829787,0.802,"St. Marys",4
"5","2016_December_ADFA_5","2016_December",0.4225,"ADFA","EPI",88.04733728,96.2830576002398,-0.043,-0.4,0.8804733728,0.9144634526,0.7945,"St. Marys",5
"6","2016_December_ADFA_6","2016_December",0.5375,"ADFA","EPI",78.51162791,82.1918604680244,-0.043,-0.2,0.7851162791,0.9552238806,0.9595,"St. Marys",6
"7","2016_December_ADFA_1","2016_December",0.144,"ADFA","EPI",87.5767548803138,76.5190837774909,-0.043,-0.3,0.875767548803138,1.144508671,0.373,"St. Marys",1
"8","2016_December_ADFA_2","2016_December",0.189,"ADFA","EPI",86.2765420523759,76.6902596021119,-0.043,-0.6,0.862765420523759,1.125,0.464,"St. Marys",2
"9","2016_December_ADFA_3","2016_December",0.2,"ADFA","EPI",87.1433506043345,77.5296713561695,-0.043,-0.4,0.871433506043345,1.124,0.471,"St. Marys",3
"10","2016_December_ADFA_4","2016_December",0.573,"ADFA","EPI",68.23734729,64.1431064667115,-0.043,-0.4,0.6823734729,1.063829787,0.964,"St. Marys",4
"11","2016_December_ADFA_5","2016_December",0.295,"ADFA","EPI",60.33898305,65.9829355437272,-0.043,-0.4,0.6033898305,0.9144634526,0.473,"St. Marys",5
"12","2016_December_ADFA_6","2016_December",0.6625,"ADFA","EPI",83.47169811,87.3844339586332,-0.043,-0.2,0.8347169811,0.9552238806,1.2155,"St. Marys",6
"13","2016_December_ADFA_1","2016_December",0.242,"ADFA","EPI",76.44628099,66.7939727561924,-0.043,-0.4,0.7644628099,1.144508671,0.427,"St. Marys",1
