"","hydration","...1","model.spp.gr.sample","individual","sample","round","model.spp.gr","spp","model","mpa","lfm.notes","fh","ttfg","gti","tti","fd","gd","pfg","ignition","start.temp","temp.max","ignition.temp","prop.new","sample.wt","glow","year.month","year","month","dry.wt","fresh.wt","water.wt","site","lfm.outliers.out","lfm.NAs.imputed","gr","precip.2month","precip.2mo","season","prop.ignite","ros","bins5lfm","bins10lfm","bins20lfm","temp.change","gdw.gfw","gww.gdw","gdw.gww","dw.flam.sample","ww.flam.sample","gww.gdw.saturated","gdw.gww.saturated","RWC","RWD","max.mpa.sample","flam.index","mean.wt","dry.norm.fh","dry.norm.gd","dry.norm.fd","dry.norm.pfg","dry.norm.ttfg","dry.norm.tti","dry.norm.gti"
"1","moderate",579,"2020_September_HP_CEME_(70,80]_1.2","2020_September_CEME_1.2",1.2,1,"2020_September_HP_CEME_(70,80]","CEME","HP",1.88,"0",22,81,48,129,13,224,163,1,265.4,320.9,315.6,100,1.93,1,"2020_September",2020,"September",0.3114,0.534,0.2226,"St. Marys",71.48362235,71.48362235,"(70,80]","2020_September",0.01,"Dry",18,0.769230769230769,"(70,75]","(70,80]","(60,80]",55.5,0.58314606741573,0.7148362235,1.3989218328841,1.12547191011236,0.804528089887641,1.259367872,0.79404915912031,56.7615102301101,43.2384897698899,-0.394,12.0669658950996,1.92131428571429,19.5473559156209,199.02762386814,11.550710313776,144.828137011191,71.9698104166042,114.618586959777,42.6487765431729
"2","hydrated",583,"2020_September_HP_CEME_(100,110]_1.4","2020_September_CEME_1.4",1.4,1,"2020_September_HP_CEME_(100,110]","CEME","HP",0.192,"0",17,38,48,86,19,164,97,1,274.7,311.4,304.5,100,1.9752,1,"2020_September",2020,"September",0.2367,0.4892,0.2525,"St. Marys",106.6751162,106.6751162,"(100,110]","2020_September",0.01,"Dry",38,0.526315789473684,"(105,110]","(100,110]","(100,120]",36.7,0.483851185609158,1.066751162,0.937425742574257,0.955702861815208,1.01949713818479,1.066751162,0.937425742574257,100,0,-0.192,14.313327075972,1.92131428571429,17.7879555238656,171.601453289056,19.8806561737322,101.495981518527,39.7613123474643,89.9861279442613,50.224815596797
"3","hydrated",587,"2020_September_HP_CEME_(90,100]_1.6","2020_September_CEME_1.6",1.6,1,"2020_September_HP_CEME_(90,100]","CEME","HP",0.491,"0",14,84,40,124,8,177,129,1,299.4,333.6,322.7,100,1.681,1,"2020_September",2020,"September",0.2695,0.5355,0.266,"St. Marys",98.7012987,98.7012987,"(90,100]","2020_September",0.01,"Dry",38,1.25,"(95,100]","(90,100]","(80,100]",34.2,0.503267973856209,0.987012987,1.01315789473684,0.845993464052288,0.835006535947712,1.000726216,0.999274310595065,98.6296722539344,1.37032774606558,-0.491,11.1822341370667,1.92131428571429,16.5485912065329,209.221474539737,9.45633783230451,152.48344754591,99.2915472391974,146.57323640072,47.2816891615226
"4","hydrated",592,"2020_September_HP_CEME_(100,110]_2.2","2020_September_CEME_2.2",2.2,1,"2020_September_HP_CEME_(100,110]","CEME","HP",0.226,"0",23,106,0.5,106,11,149,138,1,275.8,315.4,306.8,100,2.6981,1,"2020_September",2020,"September",0.2717,0.5616,0.2899,"Painted Caves",106.6985646,106.6985646,"(100,110]","2020_September",0.01,"Dry",38,0.909090909090909,"(105,110]","(100,110]","(100,120]",39.6,0.483796296296296,1.066985646,0.937219730941704,1.30533078703704,1.39276921296296,1.066985646,0.937219730941704,100,0,-0.226,13.583168915834,1.92131428571429,17.6200548002147,114.147311531826,8.42698273053745,105.720328801288,81.2054699488155,81.2054699488155,0.383044669569884
"5","moderate",595,"2020_September_HP_CEME_(80,90]_2.3","2020_September_CEME_2.3",2.3,1,"2020_September_HP_CEME_(80,90]","CEME","HP",3.016,"0",22,82,25,107,9,136,102,1,270.3,307.4,300.6,100,1.3765,1,"2020_September",2020,"September",0.3018,0.5608,0.259,"Painted Caves",85.8184228,85.8184228,"(80,90]","2020_September",0.01,"Dry",50,1.11111111111111,"(85,90]","(80,90]","(80,100]",37.1,0.538159771754636,0.858184228,1.16525096525097,0.740776925820257,0.635723074179743,1.552264808,0.644219977553311,55.2859424227828,44.7140575772172,-0.498,13.3720358491837,1.92131428571429,29.6985492301067,183.591031604296,12.1494065032255,137.693273703222,110.694592584943,144.442943982792,33.7483513978485
"6","moderate",606,"2020_September_HP_CEME_(80,90]_1.2","2020_September_CEME_1.2",1.2,2,"2020_September_HP_CEME_(80,90]","CEME","HP",1.089,"0",17,73,42,115,17,160,101,1,274.3,320.5,315.5,100,1.8135,1,"2020_September",2020,"September",0.2818,0.5115,0.2297,"St. Marys",81.51171043,81.51171043,"(80,90]","2020_September",0.01,"Dry",50,0.588235294117647,"(80,85]","(80,90]","(80,100]",46.2,0.550928641251222,0.8151171043,1.22681758815847,0.999109090909091,0.814390909090909,1.259367872,0.79404915912031,64.7243051393326,35.2756948606674,-0.394,12.1266623238559,1.92131428571429,17.0151589598005,160.142672562829,17.0151589598005,101.090062055286,73.0650943567906,115.102545904533,42.0374515477425
"7","hydrated",617,"2020_September_HP_CEME_(100,110]_2.1","2020_September_CEME_2.1",2.1,2,"2020_September_HP_CEME_(100,110]","CEME","HP",1.082,"0",24,80,40,120,6,219,173,1,280.3,336,307.8,100,1.6307,1,"2020_September",2020,"September",0.239,0.4841,0.2451,"Painted Caves",102.5523013,102.5523013,"(100,110]","2020_September",0.01,"Dry",38,1.66666666666667,"(100,105]","(100,110]","(100,120]",55.7,0.493699648832886,1.025523013,0.975112199102407,0.805076017351787,0.825623982648213,1.083877996,0.922613065326633,94.6160930275034,5.38390697249656,-0.641,12.8074797123728,1.92131428571429,29.810849513249,272.024001808398,7.45271237831226,214.886540241337,99.3694983774968,149.054247566245,49.6847491887484
"8","hydrated",622,"2020_September_HP_CEME_(100,110]_2.3","2020_September_CEME_2.3",2.3,2,"2020_September_HP_CEME_(100,110]","CEME","HP",0.498,"0",18,46,56,102,19,206,131,1,275.7,335.5,306.5,100,2.1517,1,"2020_September",2020,"September",0.274,0.5544,0.2804,"Painted Caves",102.3357664,102.3357664,"(100,110]","2020_September",0.01,"Dry",38,0.526315789473684,"(100,105]","(100,110]","(100,120]",59.8,0.494227994227994,1.023357664,0.977175463623395,1.06343037518038,1.08826962481962,1.552264808,0.644219977553311,65.9267451484992,34.0732548515008,-0.498,13.1309257599991,1.92131428571429,16.9263549547819,193.712728926948,17.8667080078253,123.186249948691,43.2562404399982,95.9160114104308,52.6597709704326
"9","moderate",638,"2020_September_HP_CEME_(70,80]_1.4","2020_September_CEME_1.4",1.4,3,"2020_September_HP_CEME_(70,80]","CEME","HP",3.17,"0",18,112,47,159,15,201,139,1,258.4,320.4,313.5,100,2.5259,1,"2020_September",2020,"September",0.2864,0.5092,0.2228,"St. Marys",77.79329609,77.79329609,"(70,80]","2020_September",0.01,"Dry",18,0.666666666666667,"(75,80]","(70,80]","(60,80]",62,0.562450903377848,0.7779329609,1.28545780969479,1.42069473684211,1.10520526315789,1.066751162,0.937425742574257,72.9254383413552,27.0745616586448,-0.192,10.3480485445053,1.92131428571429,12.6698575937643,141.480076463702,10.5582146614703,97.8394558629578,78.8346694723113,111.917075411585,33.0824059392735
"10","hydrated",643,"2020_September_HP_CEME_(100,110]_1.6","2020_September_CEME_1.6",1.6,3,"2020_September_HP_CEME_(100,110]","CEME","HP",0.909,"0",27,37,43,80,25,219,151,1,252.5,292.4,278,100,2.371,1,"2020_September",2020,"September",0.2754,0.551,0.2756,"St. Marys",100.0726216,100.0726216,"(100,110]","2020_September",0.01,"Dry",38,0.4,"(100,105]","(100,110]","(100,120]",39.9,0.499818511796733,1.000726216,0.999274310595065,1.18506969147005,1.18593030852995,1.000726216,0.999274310595065,100,0,-0.491,16.6120771376635,1.92131428571429,22.7834701995519,184.799258285254,21.0958057403258,127.418666671568,31.2217924956822,67.5065783690425,36.2847858733604
