individual,site,year,month,year.month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,model,LFM,prop.ignite,bins10lfm,flam.index,precip.2mo
2020_October_ARPA_1.1,1,2020,October,2020_October,115.8615538,115.8615538,0.072,4.598408648016018,0.3228913519839818,4.9213,ARPA,255.4,1.341844398,12.220015760441292,16,39,99,5,78,3.4794645767081174,8.481194905726037,21.529187068381475,1.0873326802212866,16.962389811452073,251.4,118,50,-4,-0.6878767312073621,0.7709164067729329,0.43543030471382693,-0.5719274424641427,HP,115.8615538,NA,"(110,120]",24.18300911629532,0.61
2020_October_ARPA_1.1,1,2020,October,2020_October,88.39779006,88.39779006,4.008,4.4795983998916205,0.20890160010837988,4.6885,ARPA,236.2,1.341844398,12.220015760441292,23,30,172,0.5,149,5.134388832837439,6.697028912396661,38.39629909774085,0.11161714853994434,33.26191026490341,397.9,41,41,161.7,-0.48413330774890595,-2.262088957177363,-0.5455412340307311,-0.05081123238328278,HP,88.39779006,NA,"(80,90]",25.562657442093847,0.61
2020_October_ARPA_1.1,1,2020,October,2020_October,95.97623548,95.97623548,3.025,2.625618384401114,0.12028161559888595,2.7459,ARPA,267.7,1.341844398,12.220015760441292,10,33,188,11,167,3.8086265922764455,12.56846775451227,71.60217993479718,4.18948925150409,63.60406409101664,308.6,86,97,40.900000000000034,0.4242650194270017,-0.47348411103719745,0.0483062753647328,-1.0678151964779206,HP,95.97623548,NA,"(90,100]",15.596262876537871,0.61
2020_October_ARPA_1.1,1,2020,October,2020_October,71.06050532,71.06050532,5.761,3.3749489436362308,0.18545105636376924,3.5604,ARPA,250.1,1.341844398,12.220015760441292,19,29,260,0.5,241,5.629714794893774,8.59272258167997,77.03820245644111,0.14815038933930982,71.40848766154734,340,33,33,89.9,0.5119701617885076,-2.1389060629200145,-0.8821225759195196,-1.962605839439048,HP,71.06050532,NA,"(70,80]",28.87239829976474,0.61
2020_October_ARPA_1.2,1,2020,October,2020_October,82.86189684,82.86189684,4.9,3.5018158316202865,0.11038416837971354,3.6122,ARPA,252.6,1.451628825,12.989799387963279,25,25,26,0.5,1,7.13915328563482,7.13915328563482,7.4247194170602135,0.14278306571269642,0.28556613142539283,337.9,32,32,85.29999999999998,-1.44134420200962,-0.041507656469254695,-0.3481322291199929,1.1924031533318247,HP,82.86189684,NA,"(80,90]",28.361766116274836,0.61
2020_October_ARPA_1.2,1,2020,October,2020_October,110.7378401,110.7378401,1.859,5.227552772341814,0.362847227658186,5.5904,ARPA,212.5,1.451628825,12.989799387963279,47,21,138,0.5,91,8.990822674936894,4.017176088801591,26.398585726410452,0.09564704973337121,17.40776305147356,413.5,47,47,201,-1.085628771143792,-3.441570280897815,-0.6247833582644042,0.7235620820994175,HP,110.7378401,NA,"(110,120]",21.60339610045547,0.61
2020_October_ARPA_1.2,1,2020,October,2020_October,72.67358626,72.67358626,5.802,2.5837298879339814,0.13477011206601874,2.7185,ARPA,276.7,1.451628825,12.989799387963279,17,30,123,0.5,106,6.579635154351854,11.611120860620918,47.60559552854577,0.19351868101034864,41.025960374193915,302,28,28,25.30000000000001,-0.5375987459260482,-0.11414626792917731,-0.589946926473214,-0.5487184825465892,HP,72.67358626,NA,"(70,80]",32.04645130988032,0.61
2020_October_ARPA_1.2,1,2020,October,2020_October,145.1628825,145.1628825,2.006,3.0122096125802065,0.2318903874197935,3.2441,ARPA,271.7,1.451628825,12.989799387963279,26,28,175,0.5,149,8.631537424027025,9.295501841259874,58.09688650787421,0.16599110430821204,49.46534908384719,283.6,40,40,11.900000000000034,-0.16007225596305868,-0.9096462106287266,-0.6816241536033886,-1.371052851149647,HP,145.1628825,NA,"(140,150]",25.511714853941342,0.61
2020_October_ARPA_1.2,1,2020,October,2020_October,112.1722846,112.1722846,0.109,2.9905092017416544,0.1420907982583457,3.1326,ARPA,228.8,1.451628825,12.989799387963279,33,21,329,0.5,296,11.034910034980332,7.022215476805665,110.01470913662209,0.16719560659061108,98.97979910164176,286.3,50,50,57.5,1.2563983679422583,-2.8932207862609665,-1.0429868718643054,-3.429621247904925,HP,112.1722846,NA,"(110,120]",20.802828870250085,0.61
2020_October_ARPA_1.3,1,2020,October,2020_October,84.92503594,84.92503594,4.883,2.5813478568027888,0.08465214319721115,2.666,ARPA,240.2,1.2818013,13.917059036580948,11,32,141,8,122,4.2613396606005685,12.396624467201653,54.62262655860728,3.099156116800413,47.2621307812063,270.8,113,121,30.600000000000023,0.2880397929161945,0.4001438353789407,0.47366916393060915,-0.8628495426191001,HP,84.92503594,NA,"(80,90]",13.67468265975651,0.61
2020_October_ARPA_1.3,1,2020,October,2020_October,128.18013,128.18013,0.113,3.010950383625504,0.216349616374496,3.2273,ARPA,279,1.2818013,13.917059036580948,14,23,213,0.5,199,4.649694686480523,7.638784127789432,70.74178344431083,0.16606052451716155,66.0920887578303,335.3,50,50,56.30000000000001,0.6123468960743271,-1.3131944510652445,-0.5116033479689382,-1.4758125966716782,HP,128.18013,NA,"(120,130]",21.246792818147522,0.61
2020_October_ARPA_1.3,1,2020,October,2020_October,75.26529037,75.26529037,5.558,3.8297542976037837,0.11824570239621623,3.948,ARPA,243.9,1.2818013,13.917059036580948,6,31,329,29,294,1.566680140225733,8.094514057832955,85.90629435571104,7.572287344424377,76.76732687106093,261.2,88,117,17.299999999999983,1.995606652945592,-0.8873420948688615,-0.3007418635668481,-3.230655683320039,HP,75.26529037,NA,"(70,80]",13.819589127281775,0.61
2020_October_ARPA_1.3,1,2020,October,2020_October,95.36850584,95.36850584,3.749,2.94720357695861,0.09369642304139036,3.0409,ARPA,254.1,1.2818013,13.917059036580948,46,35,172,0.5,150,15.608015801701105,11.875664196946493,58.36040691070848,0.16965234567066417,50.89570370119925,266.7,40,40,12.599999999999994,-0.8754700021814005,-2.011194049172122,-0.8777412732869736,-1.5471072913197097,HP,95.36850584,NA,"(90,100]",26.959813901549023,0.61
2020_October_ARPA_1.4,1,2020,October,2020_October,44.49815183,44.49815183,3.377,2.7605734933964223,0.05732650660357752,2.8179,ARPA,254.1,1.270564584,10.214003164556962,12,26,45,0.5,33,4.346922850887775,9.418332843590179,16.300960690829157,0.18112178545365729,11.95403783994138,253.3,40,40,-0.799999999999983,-0.685490094775789,1.619377111776088,-0.22795726964316188,-0.11847884454764634,HP,44.49815183,NA,"(40,50]",25.056802021716333,0.61
2020_October_ARPA_1.4,1,2020,October,2020_October,125.7525084,125.7525084,0.134,3.917273628439363,0.15782637156063695,4.0751,ARPA,272,1.270564584,10.214003164556962,32,32,111,0.5,79,8.168946832736001,8.168946832736001,28.336034326053007,0.12763979426150002,20.167087493317005,300.9,70,70,28.899999999999977,-0.9012222993893872,-0.8864364998362907,-0.17333681670808437,-0.1374712832805983,HP,125.7525084,NA,"(120,130]",18.75936384846706,0.61
2020_October_ARPA_1.4,1,2020,October,2020_October,124.516129,124.516129,0.743,4.749948208190052,0.24275179180994844,4.9927,ARPA,256.3,1.270564584,10.214003164556962,46,31,135,0.5,89,9.684316119633673,6.52638695018791,28.421362525011865,0.1052643056481921,18.737046405378194,332.3,41,41,76,-1.3019162448127644,-2.295183920658133,-0.7190050762159725,-0.03638280821621698,HP,124.516129,NA,"(120,130]",25.770527258416152,0.61
2020_October_ARPA_1.4,1,2020,October,2020_October,44.49815183,44.49815183,3.377,2.7605734933964223,0.05732650660357752,2.8179,ARPA,235.6,1.270564584,10.214003164556962,20,29,129,0.5,109,7.244871418146292,10.505063556312123,46.72942064704358,0.18112178545365729,39.484549228897286,263.6,32,32,28.00000000000003,-0.4055740528360139,0.17284186189216605,-0.6144902088771332,-1.0355055274803746,HP,44.49815183,NA,"(40,50]",29.401697144999932,0.61
2020_October_ARPA_1.4,1,2020,October,2020_October,127.0564584,127.0564584,2.047,3.6499521429327313,0.35734785706726857,4.0073,ARPA,218.5,1.270564584,10.214003164556962,10,36,138,0.5,128,2.7397619498553247,9.863143019479168,37.80871490800348,0.13698809749276622,35.06895295814815,234.9,143,50,16.400000000000006,0.02067812154539475,0.8741990287196707,0.6429209035665459,-1.475077555440088,HP,127.0564584,NA,"(120,130]",23.70398704961828,0.61
2020_October_ARPA_1.4,1,2020,October,2020_October,84.00154949,84.00154949,4.931,2.0402613500318925,0.11463864996810758,2.1549,ARPA,224,1.270564584,10.214003164556962,27,24,241,0.5,214,13.233598724780013,11.763198866471123,118.12212195081419,0.24506664305148174,104.88852322603418,224.7,31,31,0.6999999999999886,0.6309814268196742,-0.8146465430885779,-1.029279667964491,-2.986173794853288,HP,84.00154949,NA,"(80,90]",28.61606512236918,0.61
2020_October_ARPA_1.4,1,2020,October,2020_October,98.41703057,98.41703057,4.063,3.6734876141641473,0.1062123858358528,3.7797,ARPA,246.4,1.270564584,10.214003164556962,25,28,281,0.5,256,6.805521789050163,7.622184403736182,76.49406490892382,0.13611043578100324,69.68854311987366,263.7,43,43,17.299999999999983,0.8203011750134307,-1.6706555811795096,-0.9271770675055202,-3.035516995860923,HP,98.41703057,NA,"(90,100]",24.417735168248818,0.61
2020_October_ARPA_1.4,1,2020,October,2020_October,NA,41.581418092498794,10,2.7605734933964223,0.05732650660357752,2.8179,ARPA,240.8,1.270564584,10.214003164556962,10,36,271,0.5,261,3.622435709073146,13.040768552663325,98.16800771588225,0.18112178545365729,94.54557200680911,275.5,43,43,34.69999999999999,0.8031276192403998,-0.9209478405530817,-0.7276248917184056,-2.8156462297679927,HP,41.581418092498794,NA,"(40,50]",25.985892163833853,0.61
