individual,site,year,year.month,month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,ttms,model,LFM,prop.ignite,bins10lfm
2020_October_QUKE_1.1,1,2020,2020_October,October,72.09042702,72.09042702,6.166,0.736243631646391,0.0153563683536093,0.7516,QUKE,223.2,1.364646465,34.8749651907547,10,33.5,42,0.5,32,13.5824604385887,45.5012424692723,57.0463338420727,0.679123021929437,43.463873403484,227.3,18,18,4.10000000000002,-3.0948033607773566,0.15977889255266478,-0.15997159414740958,0.4975175802576727,2,HP,72.09042702,60,"(70,80]"
2020_October_PIJE_1.1,1,2020,2020_October,October,96.41509434,96.41509434,3.31,4.45379346029408,0.109606539705917,4.5634,PIJE,243.7,1.700417537,12.6997228820269,26,51,83,21,36,5.83772018882151,11.450912678073,18.6357990643148,4.71508169097122,8.0829971845221,374.9,62,83,131.2,0.548234052675898,1.3958864418405954,0.37913148859857004,-1.9995690580286771,6,HP,96.41509434,100,"(90,100]"
2020_October_ABCO_1.1,1,2020,2020_October,October,187.3278237,187.3278237,0.208,6.14905740959584,0.65624259040416,6.8053,ABCO,270.9,1.873278237,9.21543901001768,26,44,62,0.5,36,4.22829033266562,7.15556825528028,10.0828461778949,0.081313275628185,5.85455584522932,324.7,169,169,53.8,2.582340485426641,2.8813586612097786,1.28905752582956,1.029954401120047,NA,HP,187.3278237,100,"(180,190]"
2020_October_PIJE_1.1,1,2020,2020_October,October,149.3767591,149.3767591,2.039,7.18929233314433,0.213607666855665,7.4029,PIJE,279.7,1.700417537,12.6997228820269,28,41,74,0.5,46,3.89468096476108,5.70292569840015,10.2930854068686,0.0695478743707335,6.39840444210749,337.8,84,84,58.1,0.2367152733688257,0.9677429469850161,1.282228639694316,-0.3728931546864365,8,HP,149.3767591,92,"(140,150]"
2020_October_CADE_1.1,1,2020,2020_October,October,91.27261187,91.27261187,2.323,3.19301322631225,0.143286773687747,3.3363,CADE,238.8,1.509893892,13.5173440784863,12,53,62,0.5,50,3.7582055411212,16.598741139952,19.4173952957929,0.156591897546717,15.6591897546717,256.9,72,72,18.1,-0.5730802678913133,1.7096900568432658,0.12150876541538752,0.4327543832977469,NA,HP,91.27261187,100,"(90,100]"
2020_October_PIJE_1.1,1,2020,2020_October,October,106.4362336,106.4362336,3.804,4.30260584115868,0.104394158841318,4.407,PIJE,233.8,1.700417537,12.6997228820269,22,45,94,19,53,5.11318043348248,10.458778159396,21.847225488516,4.41592855618941,12.3181164988442,309.8,67,86,76,0.18609734840734782,1.013141837990227,-0.16168143413554764,-0.7707470529819012,6,HP,106.4362336,100,"(100,110]"
2020_October_QUKE_1.1,1,2020,2020_October,October,75.14688602,75.14688602,4.251,0.802151530160264,0.00834846983973581,0.8105,QUKE,226.3,1.364646465,34.8749651907547,4,33,70,0.5,66,4.98658900420078,41.1393592846564,87.2653075735136,0.623323625525097,82.2787185693128,255.5,14,14,29.2,-2.794923274182764,-0.33797766735961454,-0.4216131040017705,0.41727460827196206,0,HP,75.14688602,60,"(70,80]"
2020_October_QUKE_1.1,1,2020,2020_October,October,123.6203091,123.6203091,1.777,0.731507083170742,0.0111929168292585,0.7427,QUKE,236.7,1.364646465,34.8749651907547,1,34.5,72,0.5,71,1.36704076147215,47.1629062707891,98.426934825994607,0.683520380736074,97.0598940645225,242.3,29,29,5.60000000000002,-2.4003091376687156,0.007093021479373829,-0.6279622005767134,0.8551368411237805,1,HP,123.6203091,33,"(120,130]"
2020_October_CADE_1.1,1,2020,2020_October,October,71.86846039,71.86846039,4.22,2.83065020263684,0.090049797363156,2.9207,CADE,216.1,1.509893892,13.5173440784863,15,48,88,0.5,73,5.2991358614451904,16.9572347566246,31.0882637204785,0.176637862048173,25.7891278590333,243,94,94,26.9,0.17124959092525588,1.3953027972370537,0.06681786237989279,1.097879499470433,4,HP,71.86846039,100,"(70,80]"
2020_October_ARPA_1.1,1,2020,2020_October,October,115.8615538,115.8615538,0.072,4.59840864801602,0.322891351983982,4.9213,ARPA,255.4,1.341844398,12.2200157604413,16,39,99,5,78,3.47946457670812,8.48119490572604,21.5291870683815,1.08733268022129,16.9623898114521,251.4,118,123,-4,0.9104127928485963,1.3170995458639578,-0.09467319660126519,1.5201974896331467,2,HP,115.8615538,88,"(110,120]"
2020_October_ABCO_1.1,1,2020,2020_October,October,120.8792966,120.8792966,2.509,2.54051719164847,0.150032808351525,2.69055,ABCO,262.7,1.873278237,9.21543901001768,13,53,112,19,80,5.11706830512123,20.8618938593404,44.0855115518136,7.4787921382541,31.4896511084383,334.1,99,118,71.4,1.6061583978424423,1.7790369793742944,-0.47137317735600115,-0.44886182327913865,3,HP,120.8792966,100,"(120,130]"
2020_October_PIJE_1.1,1,2020,2020_October,October,119.6867322,119.6867322,2.587,5.68304845739809,0.29215154260191,5.9752,PIJE,240.6,1.700417537,12.6997228820269,23,47,105,0.5,82,4.04712368237139,8.27020926397632,18.4759994195216,0.0879809496167693,14.4288757371502,403.9,97,97,163.3,1.4825753744605286,1.0279100361853868,1.3136786726974679,-0.8343720065836399,8,HP,119.6867322,100,"(110,120]"
2020_October_CADE_1.1,1,2020,2020_October,October,NA,135.022700305071,0.596,3.6567715725524,0.247928427447598,3.9047,CADE,244.7,1.509893892,13.5173440784863,15,40,159,58,86,4.1019789457426,10.9386105219803,43.4809768248715,15.8609852568714,23.5180126222576,275.8,52,110,31.1,0.7856282716778695,0.37685684651956475,-2.906905883006082,-1.2441104706110675,0,HP,135.022700305071,100,"(130,140]"
2020_October_CADE_1.1,1,2020,2020_October,October,101.7971612,101.7971612,2.844,3.59729339352424,0.244006606475761,3.8413,CADE,242,1.509893892,13.5173440784863,22,39,131,21,88,6.11570911608263,10.8414843421465,36.416267918492,5.83772233807887,24.4628364643305,315.6,98,119,73.6,1.4221758006164644,0.7108513798586512,-0.3812098052329751,-0.08995299945987537,NA,HP,101.7971612,100,"(100,110]"
2020_October_ABCO_1.1,1,2020,2020_October,October,136.1752988,136.1752988,3.01,4.48491722833845,0.241482771661547,4.7264,ABCO,260.6,1.873278237,9.21543901001768,15,51,105,0.5,90,3.344543329634,11.3714473207556,23.411803307438,0.111484777654467,20.067259977804,279.6,180,180,19,3.1912867836477967,2.8153491587605535,0.3176984188109201,2.002024370747396,NA,HP,136.1752988,100,"(130,140]"
2020_October_PIJE_1.1,1,2020,2020_October,October,170.0417537,170.0417537,1.014,7.24934646046448,0.375353539535516,7.6247,PIJE,276.4,1.700417537,12.6997228820269,24,48,138,14,100,3.31064326017359,6.62128652034718,19.0361987459981,1.93120856843459,13.79434691739,387.1,106,120,110.7,2.2996643654797237,0.9862420084909493,0.46495456422833575,-0.862890630699397,6,HP,170.0417537,100,"(170,180]"
2020_October_ABCO_1.1,1,2020,2020_October,October,102.1890128,102.1890128,3.62,4.08149110904963,0.25710889095037,4.3386,ABCO,235.7,1.873278237,9.21543901001768,18,38,164,46,100,4.4101529365309,9.31032286600969,40.181393421726,11.2703908378012,24.5008496473939,332.6,57,103,96.9,1.0890995447522178,-0.019561872734282802,-1.8805142796703684,-1.4422453342642427,4,HP,102.1890128,100,"(100,110]"
2020_October_ABCO_1.1,1,2020,2020_October,October,143.9111262,143.9111262,2.187,6.56572939615589,0.712470603844112,7.2782,ABCO,230.4,1.873278237,9.21543901001768,14,48,118,0.5,104,2.1322840396372,7.31068813589898,17.972108334085,0.0761530014156143,15.8398242944478,273.7,224,224,43.3,4.504387060830261,3.263662927805782,0.22148716833245238,2.9294643776772653,2,HP,143.9111262,100,"(140,150]"
2020_October_CADE_1.1,1,2020,2020_October,October,150.9893892,150.9893892,0.336,3.84777003018009,0.268029969819909,4.1158,CADE,271.6,1.509893892,13.5173440784863,23,30,138,0.5,115,5.97748821254879,7.79672375549842,35.8649292752927,0.129945395924974,29.887441062744,272.3,101,101,0.699999999999989,0.7089126785167479,-0.27404266273954525,0.33469101510510413,1.3718639869557538,1,HP,150.9893892,100,"(150,160]"
2020_October_CADE_1.1,1,2020,2020_October,October,110.8921645,110.8921645,2.297,4.06729428745218,0.224805712547819,4.2921,CADE,240.6,1.509893892,13.5173440784863,22,33,143,0.5,121,5.40900127828743,8.11350191743114,35.1585083088683,0.122931847233805,29.7495070305809,307.1,114,114,66.5,1.4305685142965805,0.03411043996165426,0.4926707796736702,1.1371150066989446,4,HP,110.8921645,100,"(110,120]"
2020_October_CADE_1.1,1,2020,2020_October,October,87.37652528,87.37652528,2.875,4.4358738671255,0.207126132874498,4.643,CADE,236.6,1.509893892,13.5173440784863,48,35,185,0.5,137,10.8208667418906,7.89021533262856,41.7054239010367,0.112717361894694,30.8845571591461,343.4,81,81,106.8,1.433229093641898,-1.4865294078618512,1.6776354827563,-0.4718858493462301,3,HP,87.37652528,100,"(80,90]"
2020_October_ABCO_1.1,1,2020,2020_October,October,182.6067812,182.6067812,0.698,7.06358706034737,0.764512939652635,7.8281,ABCO,265.3,1.873278237,9.21543901001768,15,44,153,0.5,138,2.12356694578099,6.22912970762425,21.6603828469661,0.0707855648593664,19.5368159011851,444.8,168,168,179.5,4.202926679016903,1.459989467921562,1.0257877088295833,0.3280792282450631,NA,HP,182.6067812,100,"(180,190]"
2020_October_CADE_1.1,1,2020,2020_October,October,121.1375212,121.1375212,1.271,3.71031453086345,0.274485469136547,3.9848,CADE,229.9,1.509893892,13.5173440784863,15,39,155,0.5,140,4.04278394061359,10.5112382455953,41.7754340530071,0.13475946468712,37.7326501123935,278.1,168,168,48.2,3.0678785234304726,1.1797175619465117,0.015199467870186084,2.388533129126137,3,HP,121.1375212,100,"(120,130]"
2020_October_PIJE_1.1,1,2020,2020_October,October,131.6837658,131.6837658,3.609,6.47383263508813,0.190867364911867,6.6647,PIJE,267.4,1.700417537,12.6997228820269,60,44,215,7,148,9.26808019021072,6.79659213948786,33.2106206815884,1.08127602219125,22.8612644691864,275.1,53,60,7.70000000000005,0.991301103540057,-2.0616160031061694,1.3563728201425505,-0.8537713011364356,19,HP,131.6837658,92,"(130,140]"
2020_October_ARPA_1.1,1,2020,2020_October,October,88.39779006,88.39779006,4.008,4.47959839989162,0.20890160010838,4.6885,ARPA,236.2,1.341844398,12.2200157604413,23,30,172,0.5,149,5.13438883283744,6.69702891239666,38.3962990977409,0.111617148539944,33.2619102649034,397.9,41,41,161.7,0.09523880587839167,-1.9333240664956046,0.8302852798060508,-0.8680765332971251,5,HP,88.39779006,67,"(80,90]"
2020_October_ARPA_1.1,1,2020,2020_October,October,95.97623548,95.97623548,3.025,2.62561838440111,0.120281615598886,2.7459,ARPA,267.7,1.341844398,12.2200157604413,10,33,188,11,167,3.80862659227645,12.5684677545123,71.6021799347972,4.18948925150409,63.6040640910166,308.6,86,97,40.9,1.2084900421583549,-0.8445568283232876,-0.8258712686052507,0.8832785996345413,2,HP,95.97623548,85,"(90,100]"
2020_October_ARPA_1.1,1,2020,2020_October,October,71.06050532,71.06050532,5.761,3.37494894363623,0.185451056363769,3.5604,ARPA,250.1,1.341844398,12.2200157604413,19,29,260,0.5,241,5.62971479489377,8.59272258167997,77.0382024564411,0.14815038933931,71.4084876615473,340,33,33,89.9,0.41753848420952766,-3.57039049375114,-0.15754114871679342,0.15910622860345497,2,HP,71.06050532,57,"(70,80]"
2020_October_ARPA_1.2,1,2020,2020_October,October,82.86189684,82.86189684,4.9,3.50181583162029,0.110384168379714,3.6122,ARPA,252.6,1.676336375,12.9897993879633,25,25,26,0.5,1,7.13915328563482,7.13915328563482,7.42471941706021,0.142783065712696,0.285566131425393,337.9,32,32,85.3,-2.2706642352996997,0.10784564585945336,1.2814675268312081,-0.8001651098578393,7,HP,82.86189684,67,"(80,90]"
2020_October_PIJE_1.2,1,2020,2020_October,October,133.1919406,133.1919406,3.333,6.8860158945229,0.232984105477096,7.119,PIJE,273.5,1.744179014,19.3928847641145,20,40,33,0.5,13,2.90443709488209,5.80887418976418,4.79232120655545,0.0726109273720523,1.88788411167336,333.7,66,66,60.2,-0.8693826684724459,1.3809388050866014,1.063389933242188,-0.4965768392479364,7,HP,133.1919406,92,"(130,140]"
2020_October_PIJE_1.2,1,2020,2020_October,October,122.9087452,122.9087452,3.716,5.14261927336165,0.265180726638349,5.4078,PIJE,270.5,1.744179014,19.3928847641145,21,51,64,21,22,4.08352220604358,9.91712535753441,12.4450200565138,4.08352220604358,4.27797564442661,336.9,77,98,66.4,0.5002366696347624,2.0471400528838606,0.034331242080648444,-1.2549042031689521,8,HP,122.9087452,94,"(120,130]"
2020_October_PIJE_1.2,1,2020,2020_October,October,146.9850587,146.9850587,1.786,4.82226648620289,0.210833513797115,5.0331,PIJE,263.3,1.744179014,19.3928847641145,11,40,35,0.5,24,2.28108505232392,8.29485473572335,7.25799789375793,0.103685684196542,4.97691284143401,315.9,74,74,52.6,-0.8015620684630165,1.598088692787727,0.5357397383968376,0.10975326736779761,NA,HP,146.9850587,92,"(140,150]"
2020_October_QUKE_1.2,1,2020,2020_October,October,138.9121339,138.9121339,1.003,1.10769065855745,0.0299093414425542,1.1376,QUKE,225,1.612939417,21.1035634743875,5,25,39,0.5,34,4.51389560918708,22.5694780459354,35.2083857516592,0.451389560918708,30.6944901424721,222.1,31,31,-2.90000000000001,-3.046079028411573,0.10068239352545309,-0.4115605323611451,1.1561092177209338,0,HP,138.9121339,75,"(130,140]"
2020_October_QUKE_1.2,1,2020,2020_October,October,102.0126509,102.0126509,3.443,1.02024256317372,0.0476574368262832,1.0679,QUKE,224,1.612939417,21.1035634743875,6,34,41,0.5,35,5.88095440885696,33.3254083168561,40.1865217938559,0.490079534071414,34.305567384999,334.5,18,18,110.5,-2.468697828569519,0.25312222861419403,0.29491512312118645,-0.6240840366022544,2,HP,102.0126509,67,"(100,110]"
2020_October_CADE_1.2,1,2020,2020_October,October,102.0672334,102.0672334,2.471,2.48462070921986,0.102579290780142,2.5872,CADE,245,1.614745587,16.1734190782422,32,43,72,0.5,40,12.8792293653737,17.3064644597209,28.9782660720908,0.201237958833964,16.0990367067171,265.3,78,78,20.3,-0.31969765369788805,0.936930624825954,1.0459900021673443,0.17168221957500496,NA,HP,102.0672334,100,"(100,110]"
2020_October_CADE_1.2,1,2020,2020_October,October,51.8957346,51.8957346,5,2.15251920529801,0.0618807947019868,2.2144,CADE,232.5,1.614745587,16.1734190782422,18,47,59,0.5,41,8.36229472689324,21.8348806757768,27.4097438270389,0.232285964635923,19.0474491001457,287.8,41,41,55.3,-1.431867902067128,0.841747468236144,0.5481326676001664,-0.415280242676047,2,HP,51.8957346,100,"(50,60]"
