date,sample,fresh.weight,dry.weight,water.potential,spp,fresh.weight.saturated.excel,RWD.excel,TLP.excel,RWC.at.tlp.excel,Po,SWC,
02.11.2020,1,0.5399,0.255,-0.384,CEME,0.5422,0.81,-1.803,91.04,,,
02.11.2020,1,0.5315,0.255,-0.575,CEME,0.5422,3.74,-1.803,91.04,,,
02.11.2020,1,0.529,0.255,-0.69,CEME,0.5422,4.61,-1.803,91.04,,,
02.11.2020,1,0.5271,0.255,-0.722,CEME,0.5422,5.27,-1.803,91.04,,,
02.11.2020,1,0.5243,0.255,-1.132,CEME,0.5422,6.24,-1.803,91.04,,,
02.11.2020,1,0.5208,0.255,-1.231,CEME,0.5422,7.46,-1.803,91.04,,,
02.11.2020,1,0.5235,0.255,-1.261,CEME,0.5422,6.52,-1.803,91.04,,,
02.11.2020,1,0.5165,0.255,-1.741,CEME,0.5422,8.96,-1.803,91.04,,,
02.11.2020,1,0.5123,0.255,-1.848,CEME,0.5422,10.42,-1.803,91.04,,,
02.11.2020,1,0.515,0.255,-1.87,CEME,0.5422,9.48,-1.803,91.04,,,
02.11.2020,1,0.5144,0.255,-1.915,CEME,0.5422,9.69,-1.803,91.04,,,
02.11.2020,1,0.5105,0.255,-2.081,CEME,0.5422,11.05,-1.803,91.04,,,
02.11.2020,1,0.509,0.255,-2.271,CEME,0.5422,11.57,-1.803,91.04,,,
02.11.2020,1,0.505,0.255,-2.289,CEME,0.5422,12.96,-1.803,91.04,,,
02.11.2020,1,0.5078,0.255,-2.482,CEME,0.5422,11.99,-1.803,91.04,,,
02.11.2020,1,0.501,0.255,-2.59,CEME,0.5422,14.36,-1.803,91.04,,,
02.11.2020,1,0.5037,0.255,-2.666,CEME,0.5422,13.42,-1.803,91.04,,,
02.11.2020,1,0.4992,0.255,-2.789,CEME,0.5422,14.98,-1.803,91.04,,,
02.11.2020,1,0.5029,0.255,-2.881,CEME,0.5422,13.69,-1.803,91.04,,,
02.11.2020,1,0.4933,0.255,-2.998,CEME,0.5422,17.04,-1.803,91.04,,,
02.11.2020,1,0.4956,0.255,-3.132,CEME,0.5422,16.24,-1.803,91.04,,,
02.11.2020,1,0.4944,0.255,-3.551,CEME,0.5422,16.65,-1.803,91.04,,,
02.11.2020,3,0.4022,0.2003,-0.287,CEME,0.4049,1.33,,,,,
02.11.2020,3,0.3978,0.2003,-0.511,CEME,0.4049,3.48,,,,,
02.11.2020,3,0.3942,0.2003,-0.797,CEME,0.4049,5.24,,,,,
02.11.2020,3,0.3928,0.2003,-1.052,CEME,0.4049,5.92,,,,,
02.11.2020,3,0.3904,0.2003,-1.135,CEME,0.4049,7.1,,,,,
02.11.2020,3,0.3888,0.2003,-1.196,CEME,0.4049,7.88,,,,,
02.11.2020,3,0.3866,0.2003,-1.274,CEME,0.4049,8.95,,,,,
02.11.2020,3,0.3843,0.2003,-1.59,CEME,0.4049,10.08,,,,,
02.11.2020,3,0.3823,0.2003,-1.702,CEME,0.4049,11.06,,,,,
02.11.2020,3,0.3813,0.2003,-1.709,CEME,0.4049,11.54,,,,,
02.11.2020,3,0.3831,0.2003,-1.751,CEME,0.4049,10.67,,,,,
02.11.2020,3,0.3803,0.2003,-1.82,CEME,0.4049,12.03,,,,,
02.11.2020,3,0.376,0.2003,-2.17,CEME,0.4049,14.14,,,,,
02.11.2020,3,0.379,0.2003,-2.201,CEME,0.4049,12.67,,,,,
02.11.2020,3,0.3773,0.2003,-2.287,CEME,0.4049,13.5,,,,,
02.11.2020,3,0.3753,0.2003,-2.386,CEME,0.4049,14.48,,,,,
02.11.2020,3,0.3738,0.2003,-2.432,CEME,0.4049,15.21,,,,,
02.11.2020,3,0.3734,0.2003,-2.563,CEME,0.4049,15.41,,,,,
02.11.2020,3,0.3713,0.2003,-2.671,CEME,0.4049,16.43,,,,,
02.11.2020,3,0.3708,0.2003,-2.7,CEME,0.4049,16.68,,,,,
02.11.2020,3,0.3722,0.2003,-2.701,CEME,0.4049,15.99,,,,,
02.11.2020,3,0.3666,0.2003,-2.902,CEME,0.4049,18.73,,,,,
02.11.2020,3,0.3698,0.2003,-2.935,CEME,0.4049,17.17,,,,,
02.11.2020,3,0.3678,0.2003,-3.022,CEME,0.4049,18.14,,,,,
02.11.2020,4,0.6343,0.3155,-0.465,CEME,0.6458,3.48,,,,,
02.11.2020,4,0.6311,0.3155,-0.816,CEME,0.6458,4.45,,,,,
02.11.2020,4,0.6262,0.3155,-0.844,CEME,0.6458,5.94,,,,,
02.11.2020,4,0.6284,0.3155,-0.926,CEME,0.6458,5.27,,,,,
02.11.2020,4,0.6202,0.3155,-1.243,CEME,0.6458,7.75,,,,,
02.11.2020,4,0.6243,0.3155,-1.279,CEME,0.6458,6.51,,,,,
02.11.2020,4,0.6178,0.3155,-1.742,CEME,0.6458,8.48,,,,,
