"","individual","site","year","year_month","month","lfm_outliers_out","lfm_n_as_imputed","mpa","dw_flam_sample","ww_flam_sample","sample_wt","spp","start_temp","gww_gdw_saturated","gdw_gww_saturated","fd","fh","gd","gti","pfg","dry_norm_fd","dry_norm_fh","dry_norm_gd","dry_norm_gti","dry_norm_pfg","temp_max","ttfg","tti","temp_change","pc1","pc2","pc3","pc4","ttms","model","lfm","prop_ignite","bins10lfm","flam_index","precip_2mo"
"1","2020_October_QUKE_1.1",1,2020,"2020_October","October",72.09042702,72.09042702,6.166,0.736243631646391,0.0153563683536093,0.7516,"QUKE",223.2,1.364646465,34.8749651907547,10,33.5,42,0.5,32,13.5824604385887,45.5012424692723,57.0463338420727,0.679123021929437,43.463873403484,227.3,18,18,4.10000000000002,-3.09480336077736,0.159778892552665,-0.15997159414741,0.497517580257673,2,"HP",72.09042702,60,"(70,80]",NA,NA
"2","2020_October_PIJE_1.1",1,2020,"2020_October","October",96.41509434,96.41509434,3.31,4.45379346029408,0.109606539705917,4.5634,"PIJE",243.7,1.700417537,12.6997228820269,26,51,83,21,36,5.83772018882151,11.450912678073,18.6357990643148,4.71508169097122,8.0829971845221,374.9,62,83,131.2,0.548234052675898,1.3958864418406,0.37913148859857,-1.99956905802868,6,"HP",96.41509434,100,"(90,100]",NA,NA
"3","2020_October_ABCO_1.1",1,2020,"2020_October","October",187.3278237,187.3278237,0.208,6.14905740959584,0.65624259040416,6.8053,"ABCO",270.9,1.873278237,9.21543901001768,26,44,62,0.5,36,4.22829033266562,7.15556825528028,10.0828461778949,0.081313275628185,5.85455584522932,324.7,169,169,53.8,2.58234048542664,2.88135866120978,1.28905752582956,1.02995440112005,NA,"HP",187.3278237,100,"(180,190]",NA,NA
"4","2020_October_PIJE_1.1",1,2020,"2020_October","October",149.3767591,149.3767591,2.039,7.18929233314433,0.213607666855665,7.4029,"PIJE",279.7,1.700417537,12.6997228820269,28,41,74,0.5,46,3.89468096476108,5.70292569840015,10.2930854068686,0.0695478743707335,6.39840444210749,337.8,84,84,58.1,0.236715273368826,0.967742946985016,1.28222863969432,-0.372893154686437,8,"HP",149.3767591,92,"(140,150]",NA,NA
"5","2020_October_CADE_1.1",1,2020,"2020_October","October",91.27261187,91.27261187,2.323,3.19301322631225,0.143286773687747,3.3363,"CADE",238.8,1.509893892,13.5173440784863,12,53,62,0.5,50,3.7582055411212,16.598741139952,19.4173952957929,0.156591897546717,15.6591897546717,256.9,72,72,18.1,-0.573080267891313,1.70969005684327,0.121508765415388,0.432754383297747,NA,"HP",91.27261187,100,"(90,100]",NA,NA
"6","2020_October_PIJE_1.1",1,2020,"2020_October","October",106.4362336,106.4362336,3.804,4.30260584115868,0.104394158841318,4.407,"PIJE",233.8,1.700417537,12.6997228820269,22,45,94,19,53,5.11318043348248,10.458778159396,21.847225488516,4.41592855618941,12.3181164988442,309.8,67,86,76,0.186097348407348,1.01314183799023,-0.161681434135548,-0.770747052981901,6,"HP",106.4362336,100,"(100,110]",NA,NA
"7","2020_October_QUKE_1.1",1,2020,"2020_October","October",75.14688602,75.14688602,4.251,0.802151530160264,0.00834846983973581,0.8105,"QUKE",226.3,1.364646465,34.8749651907547,4,33,70,0.5,66,4.98658900420078,41.1393592846564,87.2653075735136,0.623323625525097,82.2787185693128,255.5,14,14,29.2,-2.79492327418276,-0.337977667359615,-0.42161310400177,0.417274608271962,0,"HP",75.14688602,60,"(70,80]",NA,NA
"8","2020_October_QUKE_1.1",1,2020,"2020_October","October",123.6203091,123.6203091,1.777,0.731507083170742,0.0111929168292585,0.7427,"QUKE",236.7,1.364646465,34.8749651907547,1,34.5,72,0.5,71,1.36704076147215,47.1629062707891,98.4269348259946,0.683520380736074,97.0598940645225,242.3,29,29,5.60000000000002,-2.40030913766872,0.00709302147937383,-0.627962200576713,0.855136841123781,1,"HP",123.6203091,33,"(120,130]",NA,NA
"9","2020_October_CADE_1.1",1,2020,"2020_October","October",71.86846039,71.86846039,4.22,2.83065020263684,0.090049797363156,2.9207,"CADE",216.1,1.509893892,13.5173440784863,15,48,88,0.5,73,5.29913586144519,16.9572347566246,31.0882637204785,0.176637862048173,25.7891278590333,243,94,94,26.9,0.171249590925256,1.39530279723705,0.0668178623798928,1.09787949947043,4,"HP",71.86846039,100,"(70,80]",NA,NA
"10","2020_October_ARPA_1.1",1,2020,"2020_October","October",115.8615538,115.8615538,0.072,4.59840864801602,0.322891351983982,4.9213,"ARPA",255.4,1.341844398,12.2200157604413,16,39,99,5,78,3.47946457670812,8.48119490572604,21.5291870683815,1.08733268022129,16.9623898114521,251.4,118,123,-4,0.910412792848596,1.31709954586396,-0.0946731966012652,1.52019748963315,2,"HP",115.8615538,88,"(110,120]",NA,NA
