spp,lfm,mpa
ARPA,171.1453867,-1.5
CADE,121.5286648,-1.65
CECO,160.623733,-1.35
ARPA,174.7987586,-1.875
CADE,91.62352734,-1.7
CECO,196.2702734,-2.025
ARPA,151.9559553,-1.65
CADE,113.1014229,-1.66
CECO,170.946024,-1.55
ARPA,155.7060287,-2.1
CADE,112.5043132,-1.8
CECO,155.0134447,-1.89
ARPA,168.2523751,-1.2
CADE,153.3021424,-1.85
CECO,170.8475679,-0.65
ARPA,165.4919164,-1.75
CADE,114.0304778,-1.65
CECO,181.1249716,-1.9
ARPA,126.1907517,-1.8
CADE,143.5796544,-1.15
ARPA,155.8483893,-1.7
CADE,158.4467237,-1.6
ARPA,162.6841096,-1.7
CADE,192.1727849,-1.6
CECO,189.7334529,-1.5
ARPA,174.0289095,-2.1
CADE,147.276379,-1.275
CECO,158.696934,-1.925
ARPA,187.2348258,-1.975
CADE,183.5161163,-2.4
CECO,204.7365398,-1.75
ABCO,128.656535,-1.2
ABCO,141.873314,-1.05
ABCO,142.9139768,-1.5
ABCO,135.9188856,-1.45
ABCO,176.6692227,-1.75
ABCO,131.826819,-1.6
ABCO,135.5181129,-1.2
ABCO,153.0739482,-1.375
ABCO,146.9892993,-1.7
ABCO,142.9276927,-1.6
ABCO,99.1396887,-1.625
ABCO,141.1017466,-2
ARPA,148.1633964,-2
CADE,116.5226004,-1.85
CECO,155.7938687,-1.55
QUKE,107.2344322,-2.6
ABCO,206.3371851,-2.2
ARPA,142.4181181,-2.4
CADE,108.9738027,-2.05
CECO,126.3692018,-2.59
PIJE,168.443406,-2.4
QUKE,99.26698955,-2.4
ARPA,140.3972351,-2.87
CADE,99.78186754,-1.75
CECO,139.1785191,-1.9
QUKE,106.7268137,-2.45
ABCO,205.9718549,-2.1
ARPA,132.9398549,-2.2
CADE,112.5068802,-2.6
CECO,129.8704358,-1.75
PIJE,143.1944589,-2.4
QUKE,107.676144,-2.95
ABCO,212.6888542,-1.75
ARPA,168.07778,-1.85
CADE,116.6461566,-1.95
CECO,139.6045873,-1.95
PIJE,156.9122037,-2.1
QUKE,101.3392118,-2.65
ABCO,201.4202953,-3.1
CADE,112.4242261,-2.1
CECO,133.2631657,-1.7
PIJE,182.1174082,-2.6
QUKE,114.0550048,-3
ABCO,129.8827522,-2.2
PIJE,106.8457192,-2.4
ABCO,144.5278098,-1.78
ABCO,130.4571042,-2.1
PIJE,98.31186947,-2.4
ABCO,141.2222166,-1.75
PIJE,102.3741047,-2.1
ABCO,135.7445493,-3.1
PIJE,97.79242889,-2.6
ABCO,189.9899179,-1.7
ARPA,144.3414957,-1.65
CADE,113.1305017,-1.94
CECO,143.4872315,-1.705
PIJE,160.0049722,-2.545
QUKE,101.8884819,-2.91
ABCO,191.0454938,-1.92
ARPA,134.2995798,-2.685
CADE,132.8522138,-1.805
CECO,105.9111436,-2.58
PIJE,168.2416553,-2.5
QUKE,94.99868893,-2.6
ABCO,177.085171,-1.805
ARPA,117.0170715,-2.055
CADE,109.7549314,-1.86
CECO,113.7795276,-1.9
PIJE,117.8588963,-2.18
QUKE,92.29246744,-2.975
ABCO,173.710297,-1.8
ARPA,117.694099,-2.55
CADE,104.7165336,-1.774
CECO,114.3551339,-2.175
PIJE,140.8168656,-2.5
QUKE,104.6512714,-3.49
ABCO,178.7627112,-1.925
ARPA,133.9722219,-2.005
CADE,117.8588963,-1.98
CECO,121.0245885,-2.155
PIJE,103.1400113,-2.64
QUKE,94.54095081,-2.545
ABCO,174.6981691,-1.445
ARPA,134.6157819,-2.265
CADE,118.0749393,-2.19
CECO,119.5196992,-2.085
PIJE,147.4465809,-2.525
QUKE,93.17393413,-3.115
ARPA,147.6912001,-1.435
CADE,154.2952278,-1.56
CECO,165.8910874,-1.455
ABCO,206.695348,-1.845
ARPA,141.4335486,-2.0045
CADE,152.907117,-1.84
CECO,203.350631,-1.534
ABCO,195.9206412,-1.805
ARPA,137.172034,-2.255
CADE,159.0896132,-1.65
CECO,135.5944602,-1.62
ABCO,88.42143311,-1.725
ARPA,147.2526774,-2.08
CADE,151.0434853,-1.865
CECO,120.999189,-2.22
ABCO,129.6646052,-1.87
ARPA,167.7395466,-1.89
CADE,154.1915636,-1.675
CECO,161.6008672,-1.885
ABCO,136.2643268,-1.7
PIJE,114.1684828,-2.545
ABCO,133.0160992,-1.92
PIJE,105.7785396,-2.5
ABCO,135.514106,-1.805
PIJE,104.9124033,-2.18
ABCO,110.4518525,-1.8
PIJE,103.5976542,-2.5
ABCO,141.2277735,-1.925
PIJE,103.8800773,-2.64
ABCO,130.2657818,-1.445
PIJE,99.32443868,-2.525
ABCO,152.1879362,-1.865
ABCO,142.8377329,-1.845
ABCO,143.022415,-1.805
ABCO,183.2976215,-1.87
ABCO,168.0235936,-1.9385
ARPA,125.6296716,-2.661
CADE,106.1078399,-1.9695
CECO,199.3306306,-2.3655
PIJE,162.7884124,-2.2125
QUKE,105.2774849,-3.6655
ABCO,172.4758793,-2.3915
ARPA,111.7165878,-3.052
CADE,118.6885863,-2.1805
CECO,93.67190649,-3.506
PIJE,146.6145505,-2.391
QUKE,104.7241781,-3.177
ABCO,183.0025152,-1.9645
ARPA,115.5191853,-1.9825
CADE,111.0271415,-2.3325
CECO,122.8392245,-3.509
PIJE,146.7154952,-2.583
QUKE,100.06866,-3.8585
ABCO,172.039528,-2.3265
ARPA,112.2478411,-2.762
CADE,107.4174326,-2.2655
CECO,99.94332672,-2.6555
PIJE,133.5603703,-2.466
QUKE,106.1939749,-3.691
ABCO,171.456421,-2.2285
ARPA,123.0890631,-3.0805
CADE,107.787132,-2.639
CECO,108.1851643,-2.6615
PIJE,143.7079863,-2.7615
QUKE,103.3352938,-3.203
ABCO,165.8264518,-2.019
ARPA,118.7640165,-3.126
CADE,112.2841277,-2.5545
CECO,107.7511691,-2.643
PIJE,138.1664815,-2.331
QUKE,89.31427893,-3.061
ABCO,195.389157,-2.195
ARPA,184.9312396,-2.081
CADE,120.6148968,-1.926
CECO,140.8555018,-1.9345
ABCO,131.2832034,-1.7505
ARPA,136.4167295,-2.7615
CADE,134.596739,-1.6755
ABCO,199.1485746,-1.877
ARPA,127.4452104,-2.5445
CADE,146.5812206,-1.8805
CECO,116.5427951,-2.3345
ABCO,84.71023191,-1.796
ARPA,136.9142478,-2.4965
CADE,130.575331,-2.4275
CECO,111.8356263,-2.581
ABCO,154.2216714,-1.727
ARPA,126.273202,-2.412
CADE,145.8722957,-1.9605
CECO,128.1208367,-2.038
ABCO,146.2693365,-1.9385
PIJE,121.9914709,-2.2125
ABCO,145.8300134,-2.3915
ABCO,143.5401689,-1.9645
PIJE,117.0021908,-2.583
ABCO,133.4944225,-2.3265
PIJE,104.972759,-2.466
ABCO,85.49955433,-2.2285
PIJE,109.2441034,-2.7615
PIJE,107.5002897,-2.331
ABCO,131.2832034,-1.7505
ABCO,160.9165334,-1.877
ABCO,88.35114982,-1.796
ABCO,115.0502272,-1.727
ABCO,149.7689864,-2.285
ARPA,73.05716838,-6.411
CADE,107.2978004,-2.96
CECO,81.08330798,-3.3415
PIJE,130.5198147,-2.2975
QUKE,89.65155087,-3.8435
ABCO,161.9039524,-2.0865
ARPA,117.1872681,-3.6535
CADE,105.8267328,-3.4055
CECO,79.94967762,-3.6495
QUKE,84.36975632,-4.3985
ABCO,166.799407,-2.0355
ARPA,84.36418207,-5.035
CADE,101.9708458,-2.862
CECO,75.62751315,-3.677
QUKE,99.54154524,-3.5565
ABCO,160.0374515,-2.265
ARPA,106.2017357,-3.7375
CADE,105.4198905,-3.584
CECO,190.2571819,-3.655
QUKE,89.25745619,-4.122
ABCO,160.7845977,-2.202
ARPA,103.2457854,-2.8645
CADE,125.2048176,-2.6205
CECO,77.45353339,-3.937
QUKE,88.51532282,-3.9305
ABCO,161.4821905,-2.2345
ARPA,80.56910171,-3.8005
CADE,101.7647816,-3.516
CECO,81.21936515,-4.0845
QUKE,78.80889837,-2.4995
ABCO,159.8613426,-1.998
ARPA,72.25904411,-5.319
CADE,101.7609162,-2.2225
CADE,95.7084433,-3.232
CECO,84.25807345,-3.3145
ABCO,159.9327393,-2.394
ARPA,84.50142965,-4.8265
CECO,88.27494766,-3.3295
CECO,80.52020317,-4.08
PIJE,127.1193197,-2.9545
ABCO,166.3814574,-2.2435
ARPA,78.98981538,-3.58
CADE,98.36219948,-2.725
PIJE,128.6168834,-3.343
ABCO,144.4046781,-2.336
ARPA,76.25441273,-4.636
CADE,94.41032369,-3.4375
CECO,81.01107557,-3.6485
PIJE,134.9276003,-2.734
ARPA,86.46355453,-4.2915
CADE,116.7962633,-2.0605
CECO,83.95852825,-3.527
PIJE,135.4219388,-2.871
PIJE,128.9390273,-2.389
ABCO,134.831468,-2.285
ABCO,149.7689864,-2.285
ABCO,127.0860077,-2.0355
ABCO,134.4513448,-2.265
ABCO,133.6409902,-2.202
ABCO,135.786488,-2.2345
ABCO,131.3633938,-1.998
ABCO,121.2165889,-2.394
ABCO,128.2792728,-2.2435
ABCO,138.8258007,-2.336
ABCO,136.6259488,-1.235
CADE,102.1029459,-1.075
ABCO,133.7575195,-0.775
CADE,100.0605907,-1.075
ABCO,131.6718142,-1.16
CADE,98.14264142,-1.18
ABCO,118.928846,-1.1975
CADE,109.1698531,-0.88875
ABCO,126.2829053,-1.2725
CADE,114.4207167,-1.235
ABCO,123.9121829,-1.235
ARPA,105.057422,-1.4325
CADE,88.54985573,-1.075
CECO,116.4557223,-0.73
ABCO,125.9093413,-0.775
ARPA,101.8276267,-0.8
CADE,92.59311159,-1.075
CECO,111.2426499,-1.275
ABCO,117.1128028,-1.16
ARPA,99.11793766,-0.79
CADE,90.53058256,-1.18
CECO,107.0045262,-0.9575
ABCO,112.6673354,-1.1975
ARPA,97.48837847,-0.8425
CADE,100.0194008,-0.88875
CECO,120.520519,-0.635
ABCO,112.9226181,-1.2725
ARPA,100.9946182,-1.205
CADE,102.6315502,-1.235
CECO,113.311826,-1.135
ABCO,136.7987918,-0.7675
CADE,95.64025459,-1.0025
PIJE,129.3963316,-0.8
ABCO,140.4427031,-0.85
CADE,101.7575982,-0.755
PIJE,107.9474607,-0.8275
ABCO,124.6264749,-0.8825
CADE,100.9016942,-0.6575
ABCO,124.2028867,-0.8025
CADE,99.14238742,-0.7375
PIJE,103.1629367,-0.9825
ABCO,131.0974719,-0.8575
CADE,86.20055574,-0.5325
PIJE,117.2271104,-1.0775
ABCO,127.7849324,-0.8025
CADE,104.327026,-0.6875
PIJE,108.9111581,-0.96
ABCO,117.7724041,-0.7675
ARPA,105.117549,-0.66
CADE,88.06827813,-1.0025
CECO,129.5567545,-0.6075
PIJE,110.760947,-0.8
ABCO,127.8647084,-0.85
ARPA,107.5271257,-0.3675
CADE,82.20119101,-0.755
CECO,123.2034472,-0.7525
PIJE,93.60528989,-0.9825
ABCO,115.9194827,-0.8825
ARPA,89.56486579,-0.4625
CADE,87.0188148,-0.6575
CECO,109.4910508,-1.0325
PIJE,106.2587628,-0.9825
PIJE,100.9473234,-1.0775
ABCO,117.1928733,-0.8025
ARPA,96.96616994,-0.54
CADE,86.64269738,-0.7375
CECO,118.1413434,-0.6675
PIJE,86.9029508,-0.96
ABCO,126.9409766,-0.8575
ARPA,102.8200519,-0.5475
CADE,80.54171603,-0.5325
CECO,126.2455748,-0.65
PIJE,96.03702951,-1.0975
ABCO,126.7246254,-0.8025
ARPA,99.30157482,-0.715
CADE,92.79447625,-0.6875
PIJE,90.27451447,-0.8275
ABCO,136.7987918,-0.765
ABCO,117.7724041,-0.765
ABCO,140.4427031,-0.97
ABCO,127.8647084,-0.97
ABCO,124.6264749,-1.125
ABCO,115.9194827,-1.125
ABCO,124.2028867,-0.935
ABCO,117.1928733,-0.935
ABCO,131.0974719,-1.115
ABCO,126.9409766,-1.115
ABCO,127.7849324,-0.89
ABCO,126.7246254,-0.89
ABCO,136.6259488,-1.545
ABCO,123.9121829,-1.545
ABCO,133.7575195,-0.815
ABCO,125.9093413,-0.815
ABCO,131.6718142,-1.57
ABCO,117.1128028,-1.57
ABCO,118.928846,-1.56
ABCO,112.6673354,-1.56
ABCO,126.2829053,-1.48
ABCO,112.9226181,-1.48
ABCO,123.030894,-2.196666667
ABCO,107.9494106,-2.373333333
ABCO,104.2173392,-2.335
ABCO,103.6515272,-1.906666667
ABCO,96.49160642,-1.985
ABCO,109.6013333,-1.56
ABCO,111.2280881,-1.725
ABCO,121.9488833,-0.795
ABCO,100.5980322,-0.795
ABCO,92.64854465,-1.58
ABCO,205.0550563,-1.825
ABCO,117.0487395,-1.515
ABCO,111.0665112,-1.515
ABCO,122.6946888,-1.4
ABCO,120.7900834,-1.69
ABCO,102.1520766,-1.783333333
ABCO,103.0953495,-1.67
ABCO,101.9135875,-1.68
ABCO,191.9749403,-2.17
ABCO,113.5494922,-2.17
ABCO,107.0244153,-1.973333333
ABCO,129.3575352,-1.87
ABCO,95.41994477,-2.166666667
ABCO,122.65713,-2.245
ABCO,105.1617966,-2.223333333
ABCO,134.586799,-1.725
ABCO,117.0055022,-2.136666667
ABCO,130.8164042,-1.896666667
ABCO,124.2991095,-2.27
ABCO,141.281734,-1.995
ABCO,137.8218672,-2.193333333
ABCO,135.839217,-1.81
ABCO,143.1966406,-1.755
ABCO,136.2969865,-1.755
ABCO,115.6565105,-1.97
ABCO,124.0029641,-1.92
ARPA,105.117549,-0.745
ARPA,107.5271257,-0.535
ARPA,89.56486579,-0.75
ARPA,96.96616994,-0.61
ARPA,102.8200519,-0.65
ARPA,99.30157482,-0.84
ARPA,105.057422,-2.035
ARPA,101.8276267,-1.105
ARPA,99.11793766,-0.995
ARPA,97.48837847,-1.09
ARPA,100.9946182,-1.47
ARPA,104.4851847,-1.56
ARPA,98.69899168,-1.446666667
ARPA,113.8019256,-1.463333333
ARPA,105.1098608,-1.56
ARPA,97.24467704,-1.555
ARPA,99.91100758,-0.935
ARPA,101.6581905,-1.19
ARPA,90.43289623,-1.17
ARPA,90.79148506,-1.61
ARPA,100.1926415,-0.92
ARPA,92.92648693,-1.945
ARPA,102.929277,-1.365
ARPA,96.71743193,-1.08
ARPA,99.52257084,-1.353333333
ARPA,113.7156275,-1.305
ARPA,102.4891347,-1.41
ARPA,94.31306255,-1.786666667
ARPA,200.5565863,-1.903333333
