individual,date,sample,fresh_weight,dry_weight,water_potential,spp,fresh_weight_saturated,rwd,tlp,rwc_at_tlp,po,lfm_at_tlp,timing,water_weight,lfm,swc,rwc,neg_mpa,year,month,species,year_month,plant,maxLFM,strategy,strategy_binary,Species,type,F.Group
ABCO_1_2021-09-18,2021-09-18,1,2.6855,1.151,-0.24,ABCO,2.694442681,99.0033189353268,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5345000000000002,133.31885317115552,1.543442681,0.9966810646732032,4.166666666666667,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6828,1.151,-0.24,ABCO,2.694442681,99.00432099783828,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5317999999999998,133.08427454387487,1.543442681,0.995679002161709,4.166666666666667,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6786,1.151,-0.29,ABCO,2.694442681,99.00587976174506,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5275999999999998,132.7193744569939,1.543442681,0.9941202382549402,3.4482758620689657,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.675,1.151,-0.28,ABCO,2.694442681,99.00721584509373,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5239999999999998,132.40660295395307,1.543442681,0.9927841549062812,3.571428571428571,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6725,1.151,-0.34,ABCO,2.694442681,99.00814368075253,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5215,132.18940052128582,1.543442681,0.9918563192474904,2.941176470588235,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6692,1.151,-0.35,ABCO,2.694442681,99.00936842382212,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5182,131.90269331016506,1.543442681,0.9906315761778864,2.857142857142857,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6658,1.151,-0.44,ABCO,2.694442681,99.01063028031808,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5148,131.6072980017376,1.543442681,0.9893697196819308,2.272727272727273,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.663,1.151,-0.46,ABCO,2.694442681,99.01166945625592,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5119999999999998,131.36403127715027,1.543442681,0.9883305437440848,2.1739130434782608,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6573,1.151,-0.58,ABCO,2.694442681,99.01378492155796,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5063000000000002,130.868809730669,1.543442681,0.9862150784420416,1.7241379310344829,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6532,1.151,-0.63,ABCO,2.694442681,99.01530657203836,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.5022,130.51259774109468,1.543442681,0.9846934279616244,1.5873015873015872,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6441,1.151,-0.71,ABCO,2.694442681,99.01868389383635,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4931,129.72198088618592,1.543442681,0.9813161061636256,1.4084507042253522,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6301,1.151,-0.96,ABCO,2.694442681,99.023879773525593,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4791,128.50564726324936,1.543442681,0.9761202264743966,1.0416666666666667,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6255,1.151,-1.02,ABCO,2.694442681,99.0255869911378,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4745,128.1059947871416,1.543442681,0.9744130088622212,0.9803921568627452,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6183,1.151,-1.19,ABCO,2.694442681,99.0282591578351,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4673,127.48045178105995,1.543442681,0.9717408421649034,0.8403361344537815,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6144,1.151,-1.25,ABCO,2.694442681,99.0297065814628,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4633999999999998,127.14161598609904,1.543442681,0.9702934185371894,0.8,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.6097,1.151,-1.33,ABCO,2.694442681,99.03145091250134,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4587,126.73327541268462,1.543442681,0.9685490874986626,0.7518796992481203,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.5958,1.151,-1.48,ABCO,2.694442681,99.0366096787642,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4448,125.52562988705472,1.543442681,0.9633903212357852,0.6756756756756757,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.5939,1.151,-1.59,ABCO,2.694442681,99.0373148338649,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4429,125.36055603822764,1.543442681,0.962685166135104,0.6289308176100629,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
ABCO_1_2021-09-18,2021-09-18,1,2.59,1.151,-1.65,ABCO,2.694442681,99.0387622574926,-2.389163787,88.91810607,-1.760116899,120.6168549,fall,1.4389999999999998,125.0217202432667,1.543442681,0.96123774250739,0.6060606060606061,2021,9,NA,2021_9,3,134.09580199826237,Isohydric,1,A. concolor,tree,Gymnosperm
