date,site,pod,bottle #,spp,new/old,stem/leaves,wet weight,dry weight,bottle weight,lfm,lfm_both
10/16/21,1,1,,ABCO,old,l,20.3157,15.9519,12.281,218.8754801,216.2041268
10/16/21,1,1,,ABCO,old,s,13.2057,12.7375,12.2502,196.0804433,216.2041268
10/16/21,1,2,122,ABCO,new,l,83.0332,72.5757,67.847,321.149576,280.3368941
10/16/21,1,2,123,ABCO,old,l,80.2325,72.5757,67.2597,244.0331076,280.3368941
10/16/21,1,2,5,ABCO,old,s,69.8399,68.4934,67.3699,219.8486871,234.860227
10/16/21,1,2,108,ABCO,new,s,70.3885,68.8115,67.7672,251.0102461,234.860227
10/16/21,1,3,,ABCO,new,l,15.7259,13.6512,12.0372,228.5439901,226.6278696
10/16/21,1,3,,ABCO,old,l,16.9649,14.3179,12.2031,225.1655003,226.6278696
10/16/21,1,3,,ABCO,new,s,12.4968,12.2893,12.0907,204.4813696,203.091651
10/16/21,1,3,,ABCO,old,s,13.0784,12.629,12.1904,202.4623803,203.091651
10/16/21,1,4,,ABCO,new,l,17.5303,14.4614,12.1135,230.7082925,228.4087987
10/16/21,1,4,,ABCO,old,l,16.4646,14.0403,12.1103,225.611399,228.4087987
10/16/21,1,4,,ABCO,new,l,17.5297,14.4254,,,123.2682374
10/16/21,1,4,,ABCO,old,s,12.7463,12.4227,12.116,205.5102706,123.2682374
10/16/21,1,4,,ABCO,new,s,12.9433,12.6193,12.2369,184.7280335,106.7043588
10/16/21,1,4,,ABCO,old,s,13.1275,12.5823,,,106.7043588
10/16/21,1,5,,ABCO,old,l,14.0643,13.0301,12.209,225.9529899,225.4969226
10/16/21,1,5,,ABCO,old,s,12.6677,12.4581,12.2881,223.2941176,225.4969226
10/16/21,1,6,,ABCO,new,l,14.3126,13.0603,12.1592,238.9745866,228.5596409
10/16/21,1,6,,ABCO,old,l,23.7683,17.2304,12.0719,226.7403315,228.5596409
10/16/21,1,6,,ABCO,new,s,12.4103,12.3201,12.2422,215.7894737,208.3411698
10/16/21,1,6,,ABCO,old,s,14.2903,13.2284,12.2429,207.7524099,208.3411698
10/17/21,2,1,20,ABCO,old,l,78.8606,72.2878,67.2395,230.1982846,232.6835977
10/17/21,2,1,36,ABCO,new,l,71.3675,69.0639,67.4223,240.3265107,232.6835977
10/17/21,2,1,43,ABCO,old,s,70.2358,68.9741,67.7621,204.1006601,206.7305798
10/17/21,2,1,121,ABCO,new,s,68.376,68.0123,67.7014,216.9829527,206.7305798
10/17/21,2,2,23,ABCO,old,l,83.8078,74.2861,66.9007,228.9259891,234.7985062
10/17/21,2,2,44,ABCO,new,l,80.3935,72.6618,67.2478,242.8093831,234.7985062
10/17/21,2,2,45,ABCO,old,s,68.6239,67.6758,66.79,207.0331903,213.5791942
10/17/21,2,2,54,ABCO,new,s,67.9481,67.2978,66.7763,224.6979866,213.5791942
10/17/21,2,3,46,ABCO,old,l,76.5743,70.6793,66.7779,251.0996053,262.4162184
10/17/21,2,3,62,ABCO,new,l,101.824,80.2156,67.1831,265.8039517,262.4162184
10/17/21,2,3,27,ABCO,new,s,71.3698,68.7866,67.1459,257.444993,246.4640704
10/17/21,2,3,34,ABCO,old,s,68.6624,67.6502,66.8361,224.3336199,246.4640704
10/17/21,2,4,112,ABCO,old,both,87.7499,75.6221,67.0288,241.130881,-35.55513089
10/17/21,2,4,63,ABCO,old,l,67.3193,,67.202,-0.174548377,-35.55513089
10/17/21,2,5,32,ABCO,old,l,86.0087,76.13333,67.0726,208.990887,205.7343937
10/17/21,2,5,111,ABCO,old,s,72.4086,70.1838,67.8006,193.3534743,205.7343937
10/16/21,1,1,51,ARPA,old,l,103.0715,85.074,67.0724,199.9772242,199.3491059
10/16/21,1,1,120,ARPA,old,s,73.0902,70.3141,67.406,195.4609539,199.3491059
10/16/21,1,2,107,ARPA,old,l,91.0331,79.8249,67.8416,193.5318318,193.1953049
10/16/21,1,2,55,ARPA,old,s,68.2894,67.3577,66.3147,189.3288591,193.1953049
10/16/21,1,3,8,ARPA,old,l,87.6039,77.0191,66.258,198.3616916,198.6017995
10/16/21,1,3,56,ARPA,old,s,70.6438,68.8452,67.0473,200.0389343,198.6017995
10/16/21,1,4,10,ARPA,old,l,83.7806,75.5519,67.27015,199.3594349,199.1898863
10/16/21,1,5,58,ARPA,old,l,94.6943,80.8288,66.8359,199.0895383,199.1898863
10/16/21,1,4,57,ARPA,old,s,68.5248,67.6854,66.8291,198.0263926,192.7303576
10/16/21,1,5,15,ARPA,old,s,69.4817,68.1896,66.7473,189.5860778,192.7303576
10/16/21,1,6,18,ARPA,old,l,102.5523,84.8286,66.865,198.6645216,198.2576266
10/16/21,1,6,16,ARPA,old,s,71.0807,69.0443,66.8974,194.8530439,198.2576266
10/17/21,2,1,21,ARPA,old,l,80.1011,73.3465,66.889,204.6008517,203.0239051
10/17/21,2,1,19,ARPA,old,s,68.4494,67.787,67.0452,189.2963063,203.0239051
10/17/21,2,2,124,ARPA,old,l,84.2526,75.8998,67.3449,197.6376112,197.2106508
10/17/21,2,2,130,ARPA,old,s,69.9413,69.0064,68.0071,193.5554888,197.2106508
10/17/21,2,3,26,ARPA,old,l,96.0478,81.4093,67.0248,201.7657896,200.4688623
10/17/21,2,3,47,ARPA,old,s,71.6056,69.4658,67.1503,192.412006,200.4688623
