date,site,pod,bottle #,spp,spp,new/old,wet weight,dry weight,bottle weight,lfm,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,LFMtlp,Mpatlp,notes
4/24/21,1,1.1,51,ABCO,ABCO,N,85.5742,74.8857,67.0724,136.7987918,-0.79,-0.76,,-0.77,-0.76,,-0.775,-0.765,tree,114,CZO,165.7,-2.173,
4/24/21,1,1.1,2,ABCO,ABCO,O,76.3053,71.3863,67.2096,117.7724041,-0.79,-0.76,,-0.77,-0.76,,-0.775,-0.765,tree,114,CZO,165.7,-2.173,
4/24/21,1,1.1,99,ARPA,ARPA,O,81.8761,74.0604,66.6252,105.117549,-0.39,-0.45,,-0.59,-0.9,,-0.42,-0.745,shrub,114,CZO,108.3036245,-2.378742269,
4/24/21,1,1.1,1,CADE,CADE,N,85.3838,76.383,66.9719,95.64025459,-0.79,-0.76,,-1.24,-1.23,,-0.775,-1.235,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,1,1.1,37,CADE,CADE,O,78.0898,72.8943,66.9949,88.06827813,-0.79,-0.76,,-1.24,-1.23,,-0.775,-1.235,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,1,1.1,3,CECO,CECO,O,73.5981,69.924,67.0881,129.5567545,-0.45,-0.42,,-0.89,-0.78,,-0.435,-0.835,shrub,114,CZO,350.9901204,-2.37890626,
4/24/21,1,1.1,Q1,PIJE,,N,76.6641,71.091,66.784,129.3963316,-0.67,-0.75,,-0.87,-0.89,,-0.71,-0.88,tree,114,CZO,153.68,-2.474,
4/24/21,1,1.1,100,PIJE,PIJE,O,75.5912,71.3948,67.6061,110.760947,-0.67,-0.75,,-0.87,-0.89,,-0.71,-0.88,tree,114,CZO,153.68,-2.474,
4/24/21,1,1.2,55,ABCO,ABCO,N,88.8978,75.707,66.3147,140.4427031,-0.79,-0.69,,-0.98,-0.96,,-0.74,-0.97,tree,114,CZO,165.7,-2.173,
4/24/21,1,1.2,6,ABCO,ABCO,O,87.2186,76.0399,67.2973,127.8647084,-0.79,-0.69,,-0.98,-0.96,,-0.74,-0.97,tree,114,CZO,165.7,-2.173,
4/24/21,1,1.2,97,ARPA,ARPA,O,81.8087,74.2275,67.177,107.5271257,-0.22,-0.19,,-0.54,-0.53,,-0.205,-0.535,shrub,114,CZO,108.3036245,-2.378742269,
4/24/21,1,1.2,38,CADE,CADE,N,92.3619,79.4685,66.7978,101.7575982,-0.43,-0.49,,-0.96,-1.05,,-0.46,-1.005,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,1,1.2,5,CADE,CADE,O,83.3105,76.1188,67.3699,82.20119101,-0.43,-0.49,,-0.96,-1.05,,-0.46,-1.005,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,1,1.2,4,CECO,CECO,O,71.8945,69.2354,67.0771,123.2034472,-0.37,-0.44,,-0.87,-1.1,,-0.405,-0.985,shrub,114,CZO,350.9901204,-2.37890626,
4/24/21,1,1.2,98,PIJE,PIJE,N,76.5882,71.7229,67.2158,107.9474607,-0.49,-0.54,,-1.12,-1.14,,-0.515,-1.13,tree,114,CZO,153.68,-2.474,
4/24/21,1,1.2,Q2,PIJE,PIJE,O,76.6367,72.1209,67.2966,93.60528989,-0.81,-0.84,,-1.12,-1.14,,-0.825,-1.13,tree,114,CZO,153.68,-2.474,
