bottle number,spp,Age,Pod,Site,dry_with_bottle,wet_with_bottle,LFM,Bottle Weight ,Date,DOY,type,LOCATION
62,ABCO,New,1,1,80.3931,115.8286,261.9922516,66.8677,7/15/20,196,tree,CZO
3,ABCO,Old,1,1,81.7586,100.8062,128.656535,66.9536,7/15/20,196,tree,CZO
7O,ARPA,New,1,1,46.0637,52.2109,171.1453867,42.4719,7/15/20,196,shrub,CZO
66,CADE,New,1,1,82.9915,102.5914,121.5286648,66.8637,7/15/20,196,tree,CZO
87,CECO,New,1,1,70.8045,76.5884,160.623733,67.2036,7/15/20,196,shrub,CZO
3O,ABCO,New,2,1,47.2506,61.1068,305.8628758,42.7204,7/15/20,196,tree,CZO
9N,ABCO,Old,2,1,49.4593,59.2941,141.873314,42.5272,7/15/20,196,tree,CZO
88,ARPA,New,2,1,72.8992,83.7133,174.7987586,66.7126,7/15/20,196,shrub,CZO
24,CADE,New,2,1,80.6569,93.1702,91.62352734,66.9996,7/15/20,196,tree,CZO
7,CECO,New,2,1,70.3861,77.0903,196.2702734,66.9703,7/15/20,196,shrub,CZO
64,ABCO,New,3,1,74.6131,96.6761,279.2466681,66.7122,7/15/20,196,tree,CZO
61,ABCO,Old,3,1,73.6664,83.4733,142.9139768,66.8043,7/15/20,196,tree,CZO
43,ARPA,New,3,1,72.1967,80.187,151.9559553,66.9384,7/15/20,196,shrub,CZO
46,CADE,New,3,1,78.4934,90.663,113.1014229,67.7335,7/15/20,196,tree,CZO
76,CECO,New,3,1,70.4223,76.3384,170.946024,66.9615,7/15/20,196,shrub,CZO
1N,ABCO,New,4,1,51.0426,70.6901,235.9408212,42.7153,7/15/20,196,tree,CZO
8N,ABCO,Old,4,1,47.8873,55.1663,135.9188856,42.5319,7/15/20,196,tree,CZO
74,ARPA,New,4,1,71.5882,79.9124,155.7060287,66.2421,7/15/20,196,shrub,CZO
7N,CADE,New,4,1,52.6545,63.74,112.5043132,42.8011,7/15/20,196,tree,CZO
2O,CECO,New,4,1,45.2563,49.6376,155.0134447,42.4299,7/15/20,196,shrub,CZO
9,ABCO,New,5,1,73.9475,91.5387,258.9797571,67.155,7/15/20,196,tree,CZO
32,ABCO,Old,5,1,74.1638,86.8354,176.6692227,66.9913,7/15/20,196,tree,CZO
5N,ARPA,New,5,1,47.0513,54.2594,168.2523751,42.7672,7/15/20,196,shrub,CZO
17,CADE,New,5,1,75.8521,89.7123,153.3021424,66.811,7/15/20,196,tree,CZO
67,CECO,New,5,1,68.9294,72.08,170.8475679,67.0853,7/15/20,196,shrub,CZO
23,ABCO,New,6,1,74.0317,93.9152,256.544739,66.2812,7/15/20,196,tree,CZO
34,ABCO,Old,6,1,76.2987,88.2314,131.826819,67.2469,7/15/20,196,tree,CZO
53,ARPA,New,6,1,72.8443,82.9168,165.4919164,66.7579,7/15/20,196,shrub,CZO
18,CADE,New,6,1,79.7899,94.2842,114.0304778,67.079,7/15/20,196,tree,CZO
52,CECO,New,6,1,68.4519,72.4448,181.1249716,66.2474,7/15/20,196,shrub,CZO
31,ABCO,New,1,2,78.0859,103.9385,228.7476331,66.7841,7/15/20,196,tree,CZO
19,ABCO,Old,1,2,76.5084,89.3772,135.5181129,67.0124,7/15/20,196,tree,CZO
6N,ARPA,New,1,2,47.609,54.153,126.1907517,42.4232,7/15/20,196,shrub,CZO
3A,CADE,New,1,2,49.4463,59.408,143.5796544,42.5082,7/15/20,196,tree,CZO
48,CECO,New,1,2,69.9866,75.8548,239.6846792,67.5383,7/15/20,196,shrub,CZO
6,ABCO,New,2,2,78.5133,107.4561,252.8152897,67.0651,7/15/20,196,tree,CZO
12,ABCO,Old,2,2,77.4613,93.1748,153.0739482,67.196,7/15/20,196,tree,CZO
77,ARPA,New,2,2,71.5843,78.8992,155.8483893,66.8907,7/15/20,196,shrub,CZO
54,CADE,New,2,2,76.819,92.2365,158.4467237,67.0886,7/15/20,196,tree,CZO
90,CECO,New,2,2,68.6048,72.2292,224.1296147,66.9877,7/15/20,196,shrub,CZO
21,ABCO,New,3,2,76.0106,104.3976,316.0678298,67.0293,7/15/20,196,tree,CZO
22,ABCO,Old,3,2,77.6626,93.171,146.9892993,67.1119,7/15/20,196,tree,CZO
40,ARPA,New,3,2,71.49,78.7026,162.6841096,67.0565,7/15/20,196,shrub,CZO
92,CADE,New,3,2,74.9834,90.9814,192.1727849,66.6586,7/15/20,196,tree,CZO
36,CECO,New,3,2,69.2932,73.9485,189.7334529,66.8396,7/15/20,196,shrub,CZO
4,ABCO,New,4,2,74.285,96.456,299.9851164,66.8943,7/15/20,196,tree,CZO
51,ABCO,Old,4,2,79.8688,97.9573,142.9276927,67.2131,7/15/20,196,tree,CZO
6O,ARPA,New,4,2,47.6779,56.84,174.0289095,42.4132,7/15/20,196,shrub,CZO
1,CADE,New,4,2,82.1265,104.4184,147.276379,66.9904,7/15/20,196,tree,CZO
71,CECO,New,4,2,71.0904,77.0117,158.696934,67.3592,7/15/20,196,shrub,CZO
69,ABCO,New,5,2,72.0368,85.1965,270.5085512,67.172,7/15/20,196,tree,CZO
55,ABCO,Old,5,2,74.8099,82.7843,99.1396887,66.7663,7/15/20,196,tree,CZO
20,ARPA,New,5,2,71.3928,79.5304,187.2348258,67.0466,7/15/20,196,shrub,CZO
42,CADE,New,5,2,80.7881,107.6956,183.5161163,66.1259,7/15/20,196,tree,CZO
2N,CECO,New,5,2,44.2933,48.2138,204.7365398,42.3784,7/15/20,196,shrub,CZO
4,ABCO,New,1,1,77.5782,92.6291,141.1017466,66.9115,7/27/20,208,tree,CZO
38,ABCO,Old,1,1,74.5112,89.7297,218.7980735,67.5557,7/27/20,208,tree,CZO
62,ARPA,New,1,1,73.7358,83.8844,148.1633964,66.8862,7/27/20,208,shrub,CZO
48,CADE,New,1,1,77.5476,89.1945,116.5226004,67.5522,7/27/20,208,tree,CZO
19,CECO,New,1,1,72.256,80.4277,155.7938687,67.0108,7/27/20,208,shrub,CZO
8,PIJE,New,1,1,73.2425,84.1832,171.5999812,66.8668,7/27/20,208,tree,CZO
26,PIJE,Old,1,1,81.6009,97.0693,106.6837709,67.1016,7/27/20,208,tree,CZO
25,QUKE,New,1,1,72.1011,77.6048,107.2344322,66.9687,7/27/20,208,tree,CZO
6,ABCO,New,2,1,74.5069,89.8458,206.3371851,67.073,7/27/20,208,tree,CZO
