date	sample	fresh.weight	dry.weight	water.potential	spp	fresh.weight.saturated	RWD	TLP	RWC.at.tlp	Po	SWC	LFM.at.tlp	timing
04.24.2021	1			-0.346	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-0.422	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-0.465	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-0.455	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-0.57	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-0.701	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-0.877	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-1.057	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-1.317	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-1.608	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-1.864	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-2.033	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-2.207	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-2.371	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-2.475	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-2.75	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-2.746	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-2.931	CADE			-2.302042398		-1.42616712			spring
04.24.2021	1			-3.177	CADE			-2.302042398		-1.42616712			spring
04.24.2021	2			-0.201	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-0.215	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-0.227	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-0.289	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-0.334	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-0.372	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-0.53	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-0.691	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-0.846	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-1.032	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-1.321	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-1.512	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-1.577	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-1.825	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-1.982	CADE			-2.286130903		-1.568320568			spring
04.24.2021	2			-2.238	CADE			-2.286130903		-1.568320568			spring
