,individual,year.month,dry.wt,spp,model,lfm.NAs.imputed,RWC,max.mpa.sample,mpa,gww.gdw,gww.gdw.saturated,fresh.wt,site,sample
1,2020_September_ABCO_1.1,2020_September,8.3774,ABCO,HP,162.1785962,80.33684342,-0.42,-0.42,1.621785962,2.018732493,10.2444,1,1.1
2,2020_September_ABCO_1.1,2020_September,7.7641,ABCO,HP,178.2877142,88.31666146,-0.42,-1.61,1.782877142,2.018732493,9.3392,1,1.1
3,2020_September_ABCO_1.1,2020_September,7.7115,ABCO,HP,167.2043023,82.82637885,-0.42,-2.14,1.672043023,2.018732493,8.8744,1,1.1
4,2020_September_ABCO_1.1,2020_September,6.7417,ABCO,HP,201.8732493,100,-0.42,-2.12,2.018732493,2.018732493,7.8948,1,1.1
5,2020_September_ABCO_1.1,2020_September,6.958,ABCO,HP,198.9374419,98.54571747,-0.42,-2.38,1.989374419,2.018732493,8.4558,1,1.1
6,2020_September_ABCO_1.1,2020_September,7.5939,ABCO,HP,187.0168753,92.64074163,-0.42,-2.38,1.870168753,2.018732493,8.281,1,1.1
7,2020_September_ABCO_1.1,2020_September,7.5866,ABCO,HP,162.739726,80.61480487,-0.42,-2.65,1.62739726,2.018732493,8.1806,1,1.1
8,2020_September_ABCO_1.1,2020_September,7.4801,ABCO,HP,166.3409338,82.39870036,-0.42,-2.79,1.663409338,2.018732493,7.9397,1,1.1
9,2020_September_ABCO_1.1,2020_September,6.5752,ABCO,HP,135.3348159,67.03949947,-0.42,-3.59,1.353348159,2.018732493,7.1229,1,1.1
10,2020_September_ABCO_1.2,2020_September,7.7115,ABCO,HP,205.2643205,97.67657046,-0.32,-0.32,2.052643205,2.101469365,8.7257,1,1.2
11,2020_September_ABCO_1.2,2020_September,7.565,ABCO,HP,210.1469365,100,-0.32,-0.701,2.101469365,2.101469365,8.323,1,1.2
12,2020_September_ABCO_1.2,2020_September,7.5097,ABCO,HP,188.1926121,89.55286964,-0.32,-2.37,1.881926121,2.101469365,8.0803,1,1.2
13,2020_September_ABCO_1.2,2020_September,6.4748,ABCO,HP,175.3819444,83.45681708,-0.32,-2.79,1.753819444,2.101469365,6.9799,1,1.2
14,2020_September_ABCO_1.2,2020_September,6.781,ABCO,HP,174.0766551,82.83568535,-0.32,-2.58,1.740766551,2.101469365,7.7802,1,1.2
15,2020_September_ABCO_1.2,2020_September,7.7234,ABCO,HP,104.6282723,49.78815016,-0.32,-3.04,1.046282723,2.101469365,8.223,1,1.2
16,2020_September_ABCO_1.2,2020_September,7.5703,ABCO,HP,145.0300382,69.01363428,-0.32,-3.1,1.450300382,2.101469365,8.1014,1,1.2
17,2020_September_ABCO_1.3,2020_September,7.6756,ABCO,HP,187.6981582,90.83118717,-1.16,-1.16,1.876981582,2.066450567,8.7654,1,1.3
18,2020_September_ABCO_1.3,2020_September,7.8601,ABCO,HP,173.4779316,83.94971281,-1.16,-1.84,1.734779316,2.066450567,9.3455,1,1.3
19,2020_September_ABCO_1.3,2020_September,7.4817,ABCO,HP,169.922875,82.22934423,-1.16,-2.01,1.69922875,2.066450567,8.3163,1,1.3
