bottle.number,spp,age,pod,site,lfm,date,predawn1,predawn2,midday1,midday2,predawn,midday,type,doy,location,LFMtlp,Mpatlp
62,ABCO,New,1,1,261.9922516,7/15/20,-0.56,-0.59,-1.2,-1.2,-0.575,-1.2,tree,197,CZO,165.7,-2.173
7O,ARPA,New,1,1,171.1453867,7/15/20,-0.53,,-1.5,-1.5,-0.53,-1.5,tree,197,CZO,108.3036245,-2.378742269
66,CADE,New,1,1,121.5286648,7/15/20,-0.651,,-1.7,-1.6,-0.651,-1.65,tree,197,CZO,123.2700516,-2.626049161
87,CECO,New,1,1,160.623733,7/15/20,-0.37,,-1.35,-1.35,-0.37,-1.35,shrub,197,CZO,350.9901204,-2.37890626
3O,ABCO,New,2,1,305.8628758,7/15/20,-0.601,,-1.05,,-0.601,-1.05,tree,197,CZO,165.7,-2.173
88,ARPA,New,2,1,174.7987586,7/15/20,-0.51,,-1.9,-1.85,-0.51,-1.875,tree,197,CZO,108.3036245,-2.378742269
24,CADE,New,2,1,91.62352734,7/15/20,-0.569,,-1.7,-1.7,-0.569,-1.7,tree,197,CZO,123.2700516,-2.626049161
7,CECO,New,2,1,196.2702734,7/15/20,-0.553,,-2.1,-1.95,-0.553,-2.025,shrub,197,CZO,350.9901204,-2.37890626
64,ABCO,New,3,1,279.2466681,7/15/20,,,-1.5,,,-1.5,tree,197,CZO,165.7,-2.173
43,ARPA,New,3,1,151.9559553,7/15/20,-0.367,,-1.6,-1.7,-0.367,-1.65,tree,197,CZO,108.3036245,-2.378742269
46,CADE,New,3,1,113.1014229,7/15/20,-0.69,,-1.66,,-0.69,-1.66,tree,197,CZO,123.2700516,-2.626049161
76,CECO,New,3,1,170.946024,7/15/20,-0.42,,-1.55,,-0.42,-1.55,shrub,197,CZO,350.9901204,-2.37890626
1N,ABCO,New,4,1,235.9408212,7/15/20,-0.423,,-1.8,-1.1,-0.423,-1.45,tree,197,CZO,165.7,-2.173
74,ARPA,New,4,1,155.7060287,7/15/20,-0.41,,-2.1,,-0.41,-2.1,shrub,197,CZO,108.3036245,-2.378742269
7N,CADE,New,4,1,112.5043132,7/15/20,-0.64,-0.58,-1.8,,-0.61,-1.8,tree,197,CZO,123.2700516,-2.626049161
2O,CECO,New,4,1,155.0134447,7/15/20,-0.47,-0.512,-1.89,,-0.491,-1.89,shrub,197,CZO,350.9901204,-2.37890626
9,ABCO,New,5,1,258.9797571,7/15/20,-0.39,-0.43,-1.75,,-0.41,-1.75,tree,197,CZO,165.7,-2.173
