sample,site,round,spp,model,year,month,video.notes,ambient.temp,ambient.humidity,fh,ignition,glow,ignition.temp,ignition.temp.higher,temp.max,temp.max.higher,video.notes,sample.length,mpa,bottle.wt,fresh.wt,dry.wt,sample.wt,prop.new,prop.new.lfm,lfm.notes,lfm,ttfg,gti,tti,fd,gd,pfg,start.temp,temp.start.higher,ttms
1.1,1,1,ABCO,HP,2020,September,,24,58,33,1,1,274.9,222.6,275.7,237.4,,10,-0.42,7.2262,10.2444,8.3774,3.5606,40,50,,162.1785962,Ê90,Ê31,121.00,Ê9,Ê108,Ê68,256.1,222.9,126
1.1,1,2,ABCO,HP,2020,September,"says ""other 1.1 was 1.3"" on card? I don't see another 1.1",22,64,38,1,0,246,226.3,253,270.4,,10,-1.61,7.2298,9.3392,7.7641,3.4123,50,100,,294.7969306,Ê101,Ê0,Ê101,Ê12,Ê77,Ê65,234.8,217.1,102
1.1,1,3,ABCO,HP,2020,September,,26,49,38,1,0,262,233.2,264.8,250.7,,10,-2.14,7.2386,8.8744,7.7115,3.1078,100,60,,245.9082258,Ê149,Ê0,Ê149,Ê6,Ê78,Ê72,268.2,241.1,152
1.1,1,4,ABCO,HP,2020,September,,23,57,44,1,1,280.9,218.1,290.6,227.5,,10,-2.12,6.1705,7.8948,6.7417,3.3352,80,100,,201.8732493,Ê95,Ê6,Ê101,Ê12,Ê76,Ê58,286.3,223.8,104
1.1,1,5,ABCO,HP,2020,September,,23,59,42,1,1,274.5,203.8,282.7,245.6,,10,-2.38,6.2051,8.4558,6.958,3.4067,66,100,,198.9374419,Ê134,Ê15,Ê149,Ê11,Ê118,Ê92,236.3,189.1,153
1.1,1,6,ABCO,HP,2020,September,,24,54,0,0,0,,,,,NOGORI,10,-2.38,7.2265,8.281,7.5939,3.8497,50,100,,187.0168753,-Ê53614,Ê0,-Ê53614,Ê0,Ê0,Ê0,262.7,223.6,-53614
1.1,1,7,ABCO,HP,2020,September,,22,62,,1,1,261,208.6,350.4,260.1,,10,-2.65,7.2216,8.1806,7.5866,4.6506,95,90,,162.739726,Ê67,Ê10,Ê77,Ê17,Ê197,,257.7,217.4,88
1.1,1,8,ABCO,HP,2020,September,,23,58,,1,1,252.6,209.9,263.1,234.7,,10,-2.79,7.2038,7.9397,7.4801,3.4243,50,100,,166.3409338,Ê111,Ê5,Ê116,Ê9,Ê85,Ê71,239,204.9,119
1.1,1,9,ABCO,HP,2020,September,,24,55,,1,1,250.7,200.9,332.7,259.5,,10,-3.59,6.1705,7.1229,6.5752,5.0458,50,50,,135.3348159,Ê85,Ê1,Ê86,Ê20,Ê187,Ê166,241.8,206.2,95
1.2,1,1,ABCO,HP,2020,September,,23,61,36,1,1,278.1,230.7,281.9,251.4,,10,-0.32,7.2454,8.7257,7.7115,3.0645,70,100,,217.5927912,Ê76,Ê33,Ê109,Ê11,Ê146,Ê102,276.6,232.4,110
1.2,1,2,ABCO,HP,2020,September,,21,69,17,M,1,239.7,225.7,241.1,236.8,gpe,10,-0.701,7.2043,8.323,7.565,2.8084,60,100,,210.1469365,Ê202,Ê313,Ê515,Ê16,Ê339,Ê10,220.3,206.8,515
1.2,1,3,ABCO,HP,2020,September,,26,49,17,1,1,261,228.5,269.2,254.6,very tough to tell first glow time,10,-2.37,7.2065,8.0803,7.5097,3.4111,80,100,,188.1926121,Ê56,Ê15,Ê71,Ê22,Ê84,Ê47,256.2,236.7,76
1.2,1,4,ABCO,HP,2020,September,,23,57,33,1,1,293.4,226.7,295.8,231.3,,10,-2.79,6.1868,6.9799,6.4748,2.3056,80,100,,175.3819444,Ê50,Ê116,Ê166,Ê5,Ê197,Ê76,288.3,233.5,168
1.2,1,5,ABCO,HP,2020,September,,26,51,40,M,0,264.8,225.1,264.3,233.7,,10,-2.58,6.207,7.7802,6.781,2.8719,90,100,,174.0766551,-Ê69332,Ê69750,Ê418,Ê10,Ê69847,Ê87,269.7,220.1,421
1.2,1,6,ABCO,HP,2020,September,,24,53,,1,1,276.6,232.1,296.8,320,,10,-3.04,7.2459,8.223,7.7234,3.4618,30,0,,104.6282723,Ê53,Ê2,Ê55,Ê34,Ê159,Ê123,258.1,223.7,58
1.2,1,7,ABCO,HP,2020,September,,22,61,,1,0,261.4,214.3,279.2,258.7,,10,-3.1,7.2041,8.1014,7.5703,2.9369,45,100,,145.0300382,Ê109,Ê0,Ê109,Ê17,Ê88,Ê71,253.6,213.6,118
