sample,site,round,spp,model,year,month,video.notes,ambient.temp,ambient.humidity,fh,ignition,glow,ignition.temp,ignition.temp.higher,temp.max,temp.max.higher,video.notes,sample.length,mpa,bottle.wt,fresh.wt,dry.wt,sample.wt,prop.new,prop.new.lfm,lfm.notes,lfm,start.temp,temp.start.higher,ttms,ttfg,gti,tti,fd,gd,pfg
1.1,1,1,ABCO,HP,2020,September,,24,58,33,1,1,274.9,222.6,275.7,237.4,,10,-0.42,7.2262,10.2444,8.3774,3.5606,40,50,,162.1785962,256.1,222.9,126.00,90.00,31.00,121.00,9.00,108.00,68.00
1.1,1,2,ABCO,HP,2020,September,"says ""other1.1 was1.3"" on card? I don't see another1.1",22,64,38,1,0,246,226.3,253,270.4,,10,-1.61,7.2298,9.3392,7.7641,3.4123,50,100,,294.7969306,234.8,217.1,102.00,101.00,0.00,101.00,12.00,77.00,65.00
1.1,1,3,ABCO,HP,2020,September,,26,49,38,1,0,262,233.2,264.8,250.7,,10,-2.14,7.2386,8.8744,7.7115,3.1078,100,60,,245.9082258,268.2,241.1,152.00,149.00,0.00,149.00,6.00,78.00,72.00
1.1,1,4,ABCO,HP,2020,September,,23,57,44,1,1,280.9,218.1,290.6,227.5,,10,-2.12,6.1705,7.8948,6.7417,3.3352,80,100,,201.8732493,286.3,223.8,104.00,95.00,6.00,101.00,12.00,76.00,58.00
1.1,1,5,ABCO,HP,2020,September,,23,59,42,1,1,274.5,203.8,282.7,245.6,,10,-2.38,6.2051,8.4558,6.958,3.4067,66,100,,198.9374419,236.3,189.1,153.00,134.00,15.00,149.00,11.00,118.00,92.00
1.1,1,6,ABCO,HP,2020,September,,24,54,0,0,0,,,,,NOGORI,10,-2.38,7.2265,8.281,7.5939,3.8497,50,100,,187.0168753,262.7,223.6,-53614.00,-53614.00,0.00,-53614.00,0.00,0.00,0.00
1.1,1,7,ABCO,HP,2020,September,,22,62,,1,1,261,208.6,350.4,260.1,,10,-2.65,7.2216,8.1806,7.5866,4.6506,95,90,,162.739726,257.7,217.4,88.00,67.00,10.00,77.00,17.00,197.00,
1.1,1,8,ABCO,HP,2020,September,,23,58,,1,1,252.6,209.9,263.1,234.7,,10,-2.79,7.2038,7.9397,7.4801,3.4243,50,100,,166.3409338,239,204.9,119.00,111.00,5.00,116.00,9.00,85.00,71.00
1.1,1,9,ABCO,HP,2020,September,,24,55,,1,1,250.7,200.9,332.7,259.5,,10,-3.59,6.1705,7.1229,6.5752,5.0458,50,50,,135.3348159,241.8,206.2,95.00,85.00,1.00,86.00,20.00,187.00,166.00
1.2,1,1,ABCO,HP,2020,September,,23,61,36,1,1,278.1,230.7,281.9,251.4,,10,-0.32,7.2454,8.7257,7.7115,3.0645,70,100,,217.5927912,276.6,232.4,110.00,76.00,33.00,109.00,11.00,146.00,102.00
