sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site
1,1,ADFA,EPI,-0.5,67,0,14,8,20,28,5,87,62,1,275.2,329.6,0,100,0.516,1,2016,December,0.3,0.501,0.201,St. Marys
2,1,ADFA,EPI,-0.8,69.31818182,0,6,22,24,46,2,91,65,1,278.9,296.1,0,100,0.528,1,2016,December,0.616,1.043,0.427,St. Marys
3,1,ADFA,EPI,-0.7,67.31707317,0,5,15,26,41,3,101,72,1,276.9,282.1,0,100,0.469,1,2016,December,0.205,0.343,0.138,St. Marys
4,1,ADFA,EPI,-0.5,74.72766885,0,11,18,18,36,7,85,60,1,280.1,327.3,0,100,0.505,1,2016,December,0.459,0.802,0.343,St. Marys
5,1,ADFA,EPI,-0.4,88.04733728,0,6,11,39,50,3,107,65,1,279.8,308.8,0,100,0.498,1,2016,December,0.4225,0.7945,0.372,St. Marys
6,1,ADFA,EPI,-0.2,78.51162791,0,6,39,16,55,3,122,103,1,279.6,307.1,0,100,0.47,1,2016,December,0.5375,0.9595,0.422,St. Marys
1,2,ADFA,EPI,-0.3,159.0277778,0,15,6,22,28,6,94,66,1,278.5,292.8,0,100,0.492,1,2016,December,0.144,0.373,0.229,St. Marys
2,2,ADFA,EPI,-0.6,145.5026455,0,8,10,24,34,2,84,58,1,0,0,0,100,0.533,1,2016,December,0.189,0.464,0.275,St. Marys
3,2,ADFA,EPI,-0.4,135.5,0,7,14,30,44,1,92,61,1,271.7,287.9,0,100,0.471,1,2016,December,0.2,0.471,0.271,St. Marys
4,2,ADFA,EPI,-0.4,68.23734729,0,1,19,32,51,1,162,129,1,271.3,0,0,100,0.549,1,2016,December,0.573,0.964,0.391,St. Marys
5,2,ADFA,EPI,-0.4,60.33898305,0,10,15,16,31,9,101,76,1,277.2,379.3,0,100,0.533,1,2016,December,0.295,0.473,0.178,St. Marys
6,2,ADFA,EPI,-0.2,83.47169811,0,10,46,3,49,6,69,60,1,277.9,316.8,0,100,0.523,1,2016,December,0.6625,1.2155,0.553,St. Marys
