mpa,rwc,id
-0.170,1.2564,1
-0.216,1.25,1
-0.281,1.2475,1
-0.431,1.231,1
-0.431,1.2281,1
-0.576,1.2258,1
-0.674,1.2234,1
-0.677,1.2203,1
-0.706,1.2184,1
-0.745,1.2139,1
-0.840,1.2104,1
-0.965,1.2054,1
-1.045,1.2022,1
-1.112,1.1935,1
-1.180,1.1886,1
-1.255,1.1849,1
-1.373,1.1803,1
-1.503,1.1755,1
-1.621,1.1691,1
-1.773,1.1634,1
-1.694,1.1565,1
-1.747,1.1501,1
-1.917,1.1444,1
-1.922,1.1365,1
-1.916,1.1332,1
-1.992,1.1303,1
-2.091,1.1255,1
-2.104,1.1213,1
-2.291,1.1171,1
-3.452,1.0527,1
-0.270,0.7457,2
-0.384,0.7423,2
-0.572,0.7406,2
-0.584,0.7389,2
-0.708,0.7369,2
-0.903,0.7360,2
-0.934,0.7337,2
-0.981,0.7324,2
-1.083,0.7316,2
-1.211,0.7284,2
-1.325,0.7254,2
-1.460,0.7229,2
-1.565,0.7202,2
-1.740,0.7158,2
-1.886,0.7125,2
-1.982,0.7108,2
-2.052,0.7071,2
-2.223,0.7041,2
-2.319,0.7006,2
-2.374,0.6971,2
-2.385,0.6936,2
-2.423,0.6895,2
-2.462,0.6871,2
-2.616,0.6819,2
-2.701,0.6807,2
-2.628,0.6792,2
-2.960,0.6744,2
-2.823,0.6711,2
-3.544,0.6404,2
-5.222,0.6282,2
