Observation_ID,Observation_Date,Observation_Time,Plant_Nickname,Phenophase_Status,Abundance_Category,Abundance_Category_Value,Raw_Abundance_Value,Category,Phenophase_Name,Scientific_Name,Common_Name,Latitude,Longitude,Site_Name,Elevation,Observation_Comments,Network
25737265,2021-04-22,12:44:00 PM,CADE 1.1,Yes,"How many fresh pollen cones are present?","More than 10,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL
25741479,2021-04-22,12:44:00 PM,CADE 1.1,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","25-49%",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL
25741480,2021-04-22,12:44:00 PM,CADE 1.1,Yes,"How much pollen is released?","Little",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL
25741481,2021-04-22,12:44:00 PM,CADE 1.1,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL
25741482,2021-04-22,12:44:00 PM,CADE 1.1,Yes,"How many seed cones are ripe?","11 to 100",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL
25741483,2021-04-22,12:44:00 PM,CADE 1.1,?,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.1, snow on ground, cloudy day cold",NULL
25741484,2021-04-22,12:44:00 PM,ABCO 1.1,Yes,"How many fresh pollen cones are present?","11 to 100",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL
25741485,2021-04-22,12:44:00 PM,ABCO 1.1,No,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL
25741486,2021-04-22,12:44:00 PM,ABCO 1.1,No,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL
25741487,2021-04-22,12:44:00 PM,ABCO 1.1,?,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL
25741488,2021-04-22,12:44:00 PM,ABCO 1.1,?,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL
25741489,2021-04-22,12:44:00 PM,ABCO 1.1,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.1, hard to tell (missing binos)",NULL
25741490,2021-04-22,12:44:00 PM,ARPA 1.1,Yes,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.","11 to 100",NULL,Flowers,Flowers or flower buds,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.1; all old growth on leaves ",NULL
25741491,2021-04-22,12:44:00 PM,ARPA 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.1; all old growth on leaves ",NULL
25741492,2021-04-22,12:44:00 PM,ARPA 1.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.1; all old growth on leaves ",NULL
25741493,2021-04-22,12:44:00 PM,ARPA 1.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.1; all old growth on leaves ",NULL
25741494,2021-04-22,12:44:00 PM,ARPA 1.1,No,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Fruits,Recent fruit or seed drop,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.1; all old growth on leaves ",NULL
25741495,2021-04-22,12:44:00 PM,CECO 1.1,No,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.",,NULL,Flowers,Flowers or flower buds,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.1; empty seed pods from last season; nearby  plant has open blossoms ",NULL
25741496,2021-04-22,12:44:00 PM,CECO 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.1; empty seed pods from last season; nearby  plant has open blossoms ",NULL
25741497,2021-04-22,12:44:00 PM,CECO 1.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.1; empty seed pods from last season; nearby  plant has open blossoms ",NULL
25741498,2021-04-22,12:44:00 PM,CECO 1.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.1; empty seed pods from last season; nearby  plant has open blossoms ",NULL
25741499,2021-04-22,12:44:00 PM,CECO 1.1,Yes,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?","More than 10,000",NULL,Fruits,Recent fruit or seed drop,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.1; empty seed pods from last season; nearby  plant has open blossoms ",NULL
25741500,2021-04-22,02:21:00 PM,CADE 1.1,Yes,"How many fresh pollen cones are present?","More than 10,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741501,2021-04-22,02:21:00 PM,CADE 1.1,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","50-74%",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741502,2021-04-22,02:21:00 PM,CADE 1.1,Yes,"How much pollen is released?","Little",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741503,2021-04-22,02:21:00 PM,CADE 1.1,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741504,2021-04-22,02:21:00 PM,CADE 1.1,Yes,"How many seed cones are ripe?","1,001 to 10,000",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741505,2021-04-22,02:21:00 PM,CADE 1.1,Yes,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?","101 to 1,000",NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741506,2021-04-22,02:21:00 PM,ARPA 1.1,Yes,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.","101 to 1,000",NULL,Flowers,Flowers or flower buds,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741507,2021-04-22,02:21:00 PM,ARPA 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741508,2021-04-22,02:21:00 PM,ARPA 1.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741509,2021-04-22,02:21:00 PM,ARPA 1.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741510,2021-04-22,02:21:00 PM,ARPA 1.1,No,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Fruits,Recent fruit or seed drop,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741511,2021-04-22,02:21:00 PM,CECO 1.1,No,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.",,NULL,Flowers,Flowers or flower buds,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL
25741512,2021-04-22,02:21:00 PM,CECO 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL
25741513,2021-04-22,02:21:00 PM,CECO 1.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL
25741514,2021-04-22,02:21:00 PM,CECO 1.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL
25741515,2021-04-22,02:21:00 PM,CECO 1.1,Yes,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?","101 to 1,000",NULL,Fruits,Recent fruit or seed drop,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL
25741516,2021-04-22,02:21:00 PM,ABCO 1.1,Yes,"How many fresh pollen cones are present?","1,001 to 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL
25741517,2021-04-22,02:21:00 PM,ABCO 1.1,No,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL
