sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,surface temp start,taller temp start,surface temp max (within 5 secs of flame end),taller temp max,temp at ignition (lower),temp at ignition (taller),prop new flam,sample.wt,glow pre ignition?,year,month,dry.wt,fresh.wt,water.wt,site,bottle.wt,notes (flam),prop new lfm,sample length
1.1,1,ABCO,HP,,,,,,0,,0,0,0,0,256.5,184.6,,,,,,,0,2021,August,,,,1,,NOGORI,,
1.2,1,ABCO,HP,,,,,,0,,0,0,0,0,251.7,183.9,,,,,,,0,2021,August,,,,1,,NOGORI,,
1.3,1,ABCO,HP,,,,,,0,,0,0,0,0,292.9,240.3,,,,,,,0,2021,August,,,,1,,NOGORI,,
1.4,1,ABCO,HP,,,,above 46,261,0,261,14,159,145,1,298.6,198.9,346,233.4,248.9,176.7,,,0,2021,August,,,,1,,,,
1.5,1,ABCO,HP,,,,44,138,0,138,21,103,82,1,234,180.7,341.6,244.3,250.1,171.4,,,0,2021,August,,,,1,,sample touching pilot flame,,
1.6,1,ABCO,HP,,,,,,0,,0,0,0,0,242.4,183.1,,,,,,,0,2021,August,,,,1,,NOGORI,,
2.1,1,ABCO,HP,,,,46,121,0,121,19,168,149,2,245.6,183.7,,,,,,,0,2021,August,,,,2,,sample touching pilot flame; thermocoupler off; second ignition - 13:05:14 to 13:05:30,,
2.2,1,ABCO,HP,,,,above 46,369,0,369,21,154,133,1,238.1,183.1,394,246.8,270.3,179.2,,,0,2021,August,,,,2,,sample touching pilot flame,,
2.3,1,ABCO,HP,,,,above 46,266,0,266,13,137,124,1,243.1,179.7,330.9,234.2,273.3,184.3,,,0,2021,August,,,,2,,,,
2.4,1,ABCO,HP,,,,,,0,,0,0,0,0,248.9,181.6,,,,,,,0,2021,August,,,,2,,NOGORI,,
1.1,2,ABCO,HP,-0.9,137.4386082,,,,0,,0,0,0,0,257.3,189.3,,,,,5,3.3621,0,2021,August,14.5271,17.8292,3.3021,1,12.1245,NOGORI,10,
1.2,2,ABCO,HP,-0.82,163.6499347,,41,91,43,134,44,169,82,1,267.7,212.2,352.4,277.1,276.7,210.5,60,6.3433,1,2021,August,14.3223,17.8303,3.508,1,12.1787,sample touching pilot flame,60,
1.3,2,ABCO,HP,-0.8,193.9663936,,,,0,,0,0,0,0,269.7,199.3,,,,,80,5.3351,0,2021,August,13.8715,17.1152,3.2437,1,12.1992,NOGORI,100,
1.4,2,ABCO,HP,-0.22,,,36,156,22,178,68,149,59,1,257.3,186.5,294.5,216.1,270.1,185.7,0,7.8265,1,2021,August,NA,19.4475,,1,12.0772,sample touching pilot flame,0,
1.5,2,ABCO,HP,-0.54,,,42,98,0,98,56,110,54,1,270.3,197.4,332.5,235.8,264.5,177.3,0,5.6918,0,2021,August,NA,NA,,1,12.2304,flame diminishes from 13:42:20 to 13:42:24 (subtract 4 seconds from flame duration?),0,
1.6,2,ABCO,HP,-0.38,164.7320835,,,,0,,0,0,0,0,245.8,188.6,,,,,60,3.6625,0,2021,August,13.5839,16.0618,2.4779,1,12.0797,NOGORI,50,
