"","bins10lfm","bins20lfm","bins40lfm","bins5lfm","bottle.wt","dry.wt","dw.flam.sample","fd","fh","fresh.wt","gd","gdw.gfw","gdw.gww","gdw.gww.saturated","glow","gr","gti","gww.gdw","gww.gdw.saturated","hydration","ignition","ignition.temp","individual","lfm","lfm.NAs.imputed","lfm.notes","lfm.outliers.out","max.mpa.sample","model","model.spp.gr","model.spp.gr.sample","month","mpa","n","pfg","prop.ignite","prop.new","ros","round","RWC","RWD","sample","sample.wt","site","spp","start.temp","temp.max","total","ttfg","tti","ttms","water.wt","ww.flam.sample","year","year.month","mean.wt","dry.norm.fh","dry.norm.gd","dry.norm.fd","dry.norm.pfg","dry.norm.ttfg","dry.norm.tti","dry.norm.gti","temp.change","PC1.norm","PC2.norm","PC3.norm","PC4.norm","PC5.norm","PC6.norm","PC7.norm","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"1","(150,160]","(140,160]","(120,160]","(155,160]",7.312,7.5903,2.67439904758348,76,37,8.0322,108,0.944983939642937,0.629780493324281,0.541882352941176,1,"(150,160]",31,1.587854833,1.845419019,"hydrated",1,252.2,"2020_October_ABCO_2.2",158.7854833,158.7854833,"0",158.7854833,-0.046,"HP","2020_October_HP_ABCO_(150,160]","2020_October_HP_ABCO_(150,160]_2.2","October",-2.262,12,1,3408,90,0.131578947368421,4,86.0430512881801,13.9569487118199,2.2,2.8301,"SEKI","ABCO",256.6,287.5,409,32,63,2,0.4419,0.155700952416523,2020,"2020_October",3.70336718504992,13.8348837782575,40.3829040014003,28.4175991120965,0.373915777790744,11.9653048893038,23.5566940008169,11.5913891115131,30.9,-0.553555246237089,-1.82793436886177,-0.291581618066917,-0.303071894858346,-0.116992452118958,0.126217344975201,-0.0116781726824241,-1.39244052601118,-1.4615047177681,0.213650867325843,0.551690529277112,-0.116820131580107,0.00369200962153993,0.0136088856318965,-0.000983840060190575
"2","(80,90]","(80,100]","(80,120]","(80,85]",12.158,12.6388,3.50181583162029,25,25,13.0372,26,0.969441291074771,1.20682730923695,0.596538985028194,0,"(80,90]",0.5,0.8286189684,1.676336375,"hydrated",1,238.1,"2020_October_ARPA_1.2",82.86189684,82.86189684,"0",82.86189684,-0.046,"HP","2020_October_HP_ARPA_(80,90]","2020_October_HP_ARPA_(80,90]_1.2","October",-4.9,12,1,3408,NA,0.4,6,49.4303518528613,50.5696481471387,1.2,3.6122,"SEKI","ARPA",252.6,337.9,409,32,32,7,0.3984,0.110384168379714,2020,"2020_October",3.70336718504992,7.13915328563482,7.42471941706021,7.13915328563482,0.285566131425393,9.13811620561257,9.13811620561257,0.142783065712696,85.3,-1.86902252942307,0.223099555031263,-0.394978699884538,-0.0157143695466024,-0.447871648342512,0.0379406242985082,0.150425128022971,-2.37270581485265,0.00328759182380846,0.235969828981367,0.971499214865201,-0.591845689603756,0.584867896170126,0.0398174818181992,-0.00137644155916384
"3","(100,110]","(100,120]","(80,120]","(100,105]",7.1971,7.6118,3.98552600241651,32,20,8.0281,40,0.948144641945168,0.996156617823684,0.914071856287425,0,"(100,110]",0.5,1.003858211,1.094005896,"hydrated",1,223.1,"2020_October_ARPA_2.4",100.3858211,100.3858211,"0",100.3858211,-0.046,"HP","2020_October_HP_ARPA_(100,110]","2020_October_HP_ARPA_(100,110]_2.4","October",-4.224,8,8,5112,NA,0.3125,2,91.7598538244075,8.24014617559246,2.4,4.2035,"SEKI","ARPA",219.2,260.1,409,47,47,24,0.4163,0.217973997583488,2020,"2020_October",3.70336718504992,5.01815820242386,10.0363164048477,8.02905312387818,2.00726328096954,11.7926717756961,11.7926717756961,0.125453955060597,40.9,5.64622018828251,-1.53648781551997,-1.03684263085623,-0.49929439070634,0.2146913411398,-0.138736393071185,-0.416852935188373,0.729938351276974,-3.13198294915611,-1.09382684226042,0.71825653598924,1.69816470566634,-0.161722214270802,-0.0537076951140398,-0.000437274191611966
"4","(110,120]","(100,120]","(80,120]","(115,120]",7.2073,7.7816,7.20533148854286,29,43,8.4707,40,0.918648990048048,0.833405891742853,0.669349429912811,0,"(110,120]",0.5,1.199895525,1.493987976,"hydrated",1,252.2,"2020_October_PIJE_1.8",119.9895525,119.9895525,"0",119.9895525,-0.046,"HP","2020_October_HP_PIJE_(110,120]","2020_October_HP_PIJE_(110,120]_1.8","October",-3.563,6,11,6817,100,0.344827586206897,6,80.3149385587826,19.6850614412174,1.8,7.8434,"SEKI","PIJE",271.3,347.3,409,66,66,12,0.6891,0.638068511457141,2020,"2020_October",3.70336718504992,5.96780315636747,5.5514447966209,4.02479747755015,1.52664731907075,9.15988391442449,9.15988391442449,0.0693930599577613,76,-1.04449685400723,-1.09781470165624,-0.874457338721489,0.853407407768683,0.252842439888328,0.0188805530513333,0.0767622358616402,-1.03887357117515,-0.69455302028326,1.40507929050341,-0.191243700673242,-1.15532634543309,0.428982085890335,-0.0160918159227835,-0.00107558412149183
"5","(130,140]","(120,140]","(120,160]","(130,135]",7.2358,7.4244,6.8860158945229,20,40,7.6756,33,0.967272916775236,0.75079617834395,0.573335644937587,0,"(130,140]",0.5,1.331919406,1.744179014,"hydrated",1,268.4,"2020_October_PIJE_1.2",133.1919406,133.1919406,"0",133.1919406,-0.046,"HP","2020_October_HP_PIJE_(130,140]","2020_October_HP_PIJE_(130,140]_1.2","October",-3.333,12,13,3408,100,0.5,6,76.3636871736837,23.6363128263163,1.2,7.119,"SEKI","PIJE",273.5,333.7,409,66,66,7,0.2512,0.232984105477096,2020,"2020_October",3.70336718504992,5.80887418976418,4.79232120655545,2.90443709488209,1.88788411167336,9.5846424131109,9.5846424131109,0.0726109273720523,60.2,-0.253185605154764,-0.323476366624707,-0.658719722949452,-1.18005270254144,0.640194958527414,-0.141676790066013,-0.106025041739424,1.48208848097535,-1.1688768737105,0.0663721377855812,0.566046628954496,0.126638406636934,0.93836552295931,-0.0621780460019405,-0.00105266417734382
"6","(120,130]","(120,140]","(120,160]","(120,125]",7.2006,7.7564,6.90464837165205,29,27,8.438,46,0.919222564588765,0.81543427230047,0.623787011694447,1,"(120,130]",1,1.22634041,1.603111288,"hydrated",1,253.1,"2020_October_PIJE_1.4",122.634041,122.634041,"0",122.634041,-0.046,"HP","2020_October_HP_PIJE_(120,130]","2020_October_HP_PIJE_(120,130]_1.4","October",-3.987,15,16,2727,100,0.344827586206897,5,76.4975219861342,23.5024780138658,1.4,7.5114,"SEKI","PIJE",263.5,348,409,64,65,8,0.6816,0.606751628347951,2020,"2020_October",3.70336718504992,3.910409125373,6.66217850989474,4.20006906058581,2.31727948170252,9.26911792681007,9.41394789441648,0.144829967606407,84.5,1.88976202707625,1.03158980363734,1.66125510497429,-0.964822852204515,0.414263379695075,0.0639820267456522,-0.186680620978603,-0.163060029999672,-0.275764763324579,-2.59055829310803,-0.0602010471514424,-0.464481436000749,0.0964597484767397,-0.0353332808405362,-0.000711143334377345
"7","(130,140]","(120,140]","(120,160]","(130,135]",7.2418,7.6823,5.78887036104013,28,40,8.2567,45,0.930432255017138,0.766887186629527,0.669349429912811,0,"(130,140]",0.5,1.303972758,1.493987976,"hydrated",1,252.6,"2020_October_PIJE_1.8",130.3972758,130.3972758,"0",130.3972758,-0.046,"HP","2020_October_HP_PIJE_(130,140]","2020_October_HP_PIJE_(130,140]_1.8","October",-2.232,12,17,3408,100,0.357142857142857,5,87.2813422161036,12.7186577838964,1.8,6.2217,"SEKI","PIJE",274.2,347.3,409,67,67,11,0.5744,0.432829638959875,2020,"2020_October",3.70336718504992,6.90981098302103,7.77353735589866,4.83686768811472,2.93666966778394,11.5739333965602,11.5739333965602,0.0863726372877629,73.1,0.442063209955894,-1.51672480373512,1.42506146252073,0.0521844207686305,-0.235418296166034,0.265541523539719,0.100475033514537,-0.652732626848485,-1.21501194032444,-0.612353953404289,-0.381794067632212,0.899806744559869,-0.914933720223607,0.0379348831317625,0.000197522442911093
"8","(110,120]","(100,120]","(80,120]","(110,115]",12.2025,12.8803,7.60423935923254,30,36,13.6555,50,0.943231664896928,0.874355005159958,0.611753371868979,0,"(110,120]",0.5,1.143700207,1.634645669,"hydrated",1,219.1,"2020_October_PIJE_1.6",114.3700207,114.3700207,"0",114.3700207,-0.046,"HP","2020_October_HP_PIJE_(110,120]","2020_October_HP_PIJE_(110,120]_1.6","October",-3.702,6,20,6817,100,0.333333333333333,7,69.9662458164198,30.0337541835802,1.6,8.0619,"SEKI","PIJE",275.4,510.5,409,74,74,15,0.7752,0.457660640767456,2020,"2020_October",3.70336718504992,4.73420131841211,6.57527960890571,3.94516776534343,2.63011184356229,9.73141382118046,9.73141382118046,0.0657527960890571,235.1,0.969613512414081,-1.53080707300686,-0.658756484796384,-0.409806300282976,0.60110101301317,0.00728090911527518,-0.0885789266114624,-0.82381650023469,-2.14524902559279,-0.316053172605914,1.25379295232164,-0.413745986588343,0.086110472640119,0.0184087276562085,-0.00153411483789306
"9","(90,100]","(80,100]","(80,120]","(95,100]",7.2163,7.5385,0.449094780639251,7,32,7.8592,28,0.959194320032573,1.00467726847521,0.655465759251385,0,"(90,100]",0.5,0.9953445065,1.525632706,"hydrated",1,271.3,"2020_October_QUKE_1.7",99.53445065,99.53445065,"0",99.53445065,-0.046,"HP","2020_October_HP_QUKE_(90,100]","2020_October_HP_QUKE_(90,100]_1.7","October",-5.016,7,21,5843,NA,1.42857142857143,8,65.24142426847,34.75857573153,1.7,0.4682,"SEKI","QUKE",275.8,268.8,409,11,11,1,0.3207,0.0191052193607492,2020,"2020_October",3.70336718504992,71.2544464543777,62.3476406475805,15.5869101618951,46.7607304856854,24.4937159686923,24.4937159686923,1.11335072584965,-7,0.0375547094997465,-0.342544141342311,-0.837528803988349,0.832882124147236,-0.952189679845539,-0.0150454055333665,0.123396210349218,-1.40867966411804,0.780242897379059,0.741063068989137,-0.402402878407779,0.984295254785326,-0.761949860398982,-0.0184579812650128,-0.000118574531923328
"10","(120,130]","(120,140]","(120,160]","(120,125]",7.2069,7.5225,5.14261927336165,21,51,7.9104,64,0.950963288834951,0.813611755607115,0.573335644937587,1,"(120,130]",21,1.229087452,1.744179014,"hydrated",1,286.2,"2020_October_PIJE_1.2",122.9087452,122.9087452,"0",122.9087452,-0.046,"HP","2020_October_HP_PIJE_(120,130]","2020_October_HP_PIJE_(120,130]_1.2","October",-3.716,15,22,2727,100,0.476190476190476,5,70.4679647062879,29.5320352937121,1.2,5.4078,"SEKI","PIJE",270.5,336.9,409,77,98,8,0.3879,0.265180726638349,2020,"2020_October",3.70336718504992,9.91712535753441,12.4450200565138,4.08352220604358,4.27797564442661,14.9729147554931,19.0564369615367,4.08352220604358,66.4,1.08496695714036,-0.21763377853516,1.5719696238689,1.01016329735012,-0.252322893449642,-0.163566928719645,0.0706028015480565,-1.24812081509303,0.393567101126882,-1.54203039211851,-1.42259057865687,-0.0334279712217842,-0.738063226331108,-0.0874670804693634,5.44979021855719e-05
