"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"1","2020_October_ARPA_1.1","2020_October",7.6286,"ARPA","HP",99.60955443,74.2333124306116,-0.072,-1.674,0.9960955443,1.341844398,8.0623,1,1.1
"2","2020_October_CECO_1.1","2020_October",7.4968,"CECO","EPI",90.92627599,82.1592796878562,-0.486,-2,0.9092627599,1.106707317,7.6892,1,1.1
"3","2020_October_CECO_1.1","2020_October",12.5005,"CECO","HP",51.42237876,46.4642981663778,-0.486,-7.354,0.5142237876,1.106707317,12.6903,1,1.1
"4","2020_October_QUKE_1.1","2020_October",12.3839,"QUKE","HP",72.09042702,52.8271818884608,-0.21,-6.166,0.7209042702,1.364646465,12.6422,1,1.1
"5","2020_October_PIJE_1.1","2020_October",12.4585,"PIJE","HP",96.41509434,56.7008350843655,-0.059,-3.31,0.9641509434,1.700417537,12.7651,1,1.1
"6","2020_October_ABCO_1.1","2020_October",7.646,"ABCO","HP",187.3278237,100,-0.208,-0.208,1.873278237,1.873278237,8.462,1,1.1
"7","2020_October_ARPA_1.1","2020_October",6.6265,"ARPA","EPI",115.8615538,86.344999444563,-0.072,-0.072,1.158615538,1.341844398,7.0918,1,1.1
"8","2020_October_PIJE_1.1","2020_October",12.5034,"PIJE","HP",149.3767591,87.8471056958994,-0.059,-2.039,1.493767591,1.700417537,12.8749,1,1.1
"9","2020_October_CADE_1.1","2020_October",12.8178,"CADE","HP",91.27261187,60.449686135958,-0.336,-2.323,0.9127261187,1.509893892,13.393,1,1.1
"10","2020_October_PIJE_1.1","2020_October",7.361,"PIJE","HP",106.4362336,62.5941754210454,-0.059,-3.804,1.064362336,1.700417537,7.5396,1,1.1
"11","2020_October_ARPA_1.1","2020_October",7.5839,"ARPA","EPI",134.1844398,100,-0.072,-3.432,1.341844398,1.341844398,8.0306,1,1.1
"12","2020_October_CECO_1.1","2020_October",12.4064,"CECO","EPI",82.1880651,74.2635960181331,-0.486,-3.827,0.821880651,1.106707317,12.5882,1,1.1
"13","2020_October_ARPA_1.1","2020_October",7.7536,"ARPA","EPI",110.3286385,82.2216336442908,-0.072,-2.051,1.103286385,1.341844398,8.3881,1,1.1
"14","2020_October_CECO_1.1","2020_October",7.3798,"CECO","HP",101.8812463,92.057985643552,-0.486,-1.005,1.018812463,1.106707317,7.5531,1,1.1
"15","2020_October_PIJE_1.1","2020_October",12.8318,"PIJE","HP",138.7149918,81.5770178686413,-0.059,-0.059,1.387149918,1.700417537,13.8422,1,1.1
"16","2020_October_QUKE_1.1","2020_October",12.2891,"QUKE","HP",75.14688602,55.0669260847717,-0.21,-4.251,0.7514688602,1.364646465,12.417,1,1.1
"17","2020_October_ARPA_1.1","2020_October",12.9289,"ARPA","EPI",76.06521441,56.6870603800069,-0.072,-4.802,0.7606521441,1.341844398,13.4841,1,1.1
"18","2020_October_QUKE_1.1","2020_October",7.3197,"QUKE","HP",123.6203091,90.5877912489225,-0.21,-1.777,1.236203091,1.364646465,7.4317,1,1.1
"19","2020_October_CADE_1.1","2020_October",7.5568,"CADE","HP",71.86846039,47.5983516264201,-0.336,-4.22,0.7186846039,1.509893892,7.7972,1,1.1
"20","2020_October_ARPA_1.1","2020_October",6.6265,"ARPA","HP",115.8615538,86.344999444563,-0.072,-0.072,1.158615538,1.341844398,7.0918,1,1.1
"21","2020_October_ABCO_1.1","2020_October",12.8031,"ABCO","HP",120.8792966,64.5282127408818,-0.208,-2.509,1.208792966,1.873278237,13.5592,1,1.1
"22","2020_October_PIJE_1.1","2020_October",7.5806,"PIJE","HP",119.6867322,70.3866724470273,-0.059,-2.587,1.196867322,1.700417537,7.9703,1,1.1
"23","2020_October_CECO_1.1","2020_October",12.7393,"CECO","HP",35.65905413,32.2208533206978,-0.486,-8.25,0.3565905413,1.106707317,12.9376,1,1.1
"24","2020_October_CADE_1.1","2020_October",12.7021,"CADE","HP",135.022700305071,89.4252907574987,-0.336,-0.596,1.35022700305071,1.509893892,13.5633,1,1.1
"25","2020_October_CADE_1.1","2020_October",13.1106,"CADE","HP",101.7971612,67.4200761651932,-0.336,-2.844,1.017971612,1.509893892,13.9999,1,1.1
"26","2020_October_ABCO_1.1","2020_October",12.9037,"ABCO","HP",129.6706458,69.2212417989032,-0.208,-3.227,1.296706458,1.873278237,13.8053,1,1.1
"27","2020_October_ABCO_1.1","2020_October",12.6961,"ABCO","HP",136.1752988,72.6935786208037,-0.208,-3.01,1.361752988,1.873278237,13.3797,1,1.1
"28","2020_October_CECO_1.1","2020_October",12.5005,"CECO","EPI",51.42237876,46.4642981663778,-0.486,-7.354,0.5142237876,1.106707317,12.6903,1,1.1
"29","2020_October_ABCO_1.1","2020_October",7.6714,"ABCO","HP",167.4635332,89.3959743365128,-0.208,-0.987,1.674635332,1.873278237,8.498,1,1.1
"30","2020_October_CECO_1.1","2020_October",12.4064,"CECO","HP",82.1880651,74.2635960181331,-0.486,-3.827,0.821880651,1.106707317,12.5882,1,1.1
"31","2020_October_QUKE_1.1","2020_October",12.2891,"QUKE","EPI",75.14688602,55.0669260847717,-0.21,-4.251,0.7514688602,1.364646465,12.417,1,1.1
"32","2020_October_PIJE_1.1","2020_October",12.5846,"PIJE","HP",170.0417537,100,-0.059,-1.014,1.700417537,1.700417537,13.2362,1,1.1
"33","2020_October_ABCO_1.1","2020_October",7.7071,"ABCO","HP",102.1890128,54.5508994775131,-0.208,-3.62,1.021890128,1.873278237,8.1926,1,1.1
"34","2020_October_ABCO_1.1","2020_October",7.8193,"ABCO","HP",143.9111262,76.8231453062037,-0.208,-2.187,1.439111262,1.873278237,8.6678,1,1.1
"35","2020_October_CECO_1.1","2020_October",12.4561,"CECO","HP",87.14517437,78.7427470943521,-0.486,-2.846,0.8714517437,1.106707317,12.671,1,1.1
"36","2020_October_CADE_1.1","2020_October",7.5583,"CADE","HP",150.9893892,100,-0.336,-0.336,1.509893892,1.509893892,8.0848,1,1.1
"37","2020_October_CADE_1.1","2020_October",12.9307,"CADE","HP",110.8921645,73.4436804384397,-0.336,-2.297,1.108921645,1.509893892,13.6454,1,1.1
"38","2020_October_CADE_1.1","2020_October",12.8819,"CADE","HP",87.37652528,57.8693150180649,-0.336,-2.875,0.8737652528,1.509893892,13.4834,1,1.1
"39","2020_October_ABCO_1.1","2020_October",7.6631,"ABCO","HP",182.6067812,97.4797964302619,-0.208,-0.698,1.826067812,1.873278237,8.4925,1,1.1
"40","2020_October_CADE_1.1","2020_October",7.7157,"CADE","HP",121.1375212,80.2291616926416,-0.336,-1.271,1.211375212,1.509893892,8.2865,1,1.1
"41","2020_October_CECO_1.1","2020_October",12.7393,"CECO","EPI",35.65905413,32.2208533206978,-0.486,-8.25,0.3565905413,1.106707317,12.9376,1,1.1
"42","2020_October_PIJE_1.1","2020_October",7.4009,"PIJE","HP",131.6837658,77.4420181717992,-0.059,-3.609,1.316837658,1.700417537,7.6191,1,1.1
"43","2020_October_ARPA_1.1","2020_October",12.6946,"ARPA","HP",88.39779006,65.8778247252481,-0.072,-4.008,0.8839779006,1.341844398,13.2866,1,1.1
"44","2020_October_ARPA_1.1","2020_October",7.758,"ARPA","HP",95.97623548,71.5256073081582,-0.072,-3.025,0.9597623548,1.341844398,8.1134,1,1.1
"45","2020_October_CECO_1.1","2020_October",7.4079,"CECO","HP",110.6707317,100,-0.486,-0.486,1.106707317,1.106707317,7.5894,1,1.1
"46","2020_October_ARPA_1.1","2020_October",7.7799,"ARPA","HP",71.06050532,52.9573365033343,-0.072,-5.761,0.7106050532,1.341844398,8.2074,1,1.1
"47","2020_October_ARPA_1.1","2020_October",12.9289,"ARPA","HP",76.06521441,56.6870603800069,-0.072,-4.802,0.7606521441,1.341844398,13.4841,1,1.1
